,,,,,,,,,,,,,,,
,,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,BMA,C&M,CEL,CMKA,ICON,IONE,,FMA,
,PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,99.38,0,99.3,99.28,99.25,99.27,99.87,0,,99.31,
,PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,99.23,0,99.4,99.23,99.25,99.22,100.23,0,,99.28,
,PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,98.8,0,99.25,98.99,99.1,98.92,100.74,0,,99.07,
,PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,98.51,0,99.05,98.79,98.95,98.79,100.54,0,,98.9,
,PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,98.55,0,99,98.49,98.75,98.78,100.52,0,,98.77,
,PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.48,0,98.85,98.48,98.6,98.63,100.57,0,,98.64,
,PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.46,0,98.6,98.3,98.5,98.35,100.62,0,,98.48,
,PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.35,0,98.7,98.28,98.4,98.43,100.76,0,,98.47,
,PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.45,0,98.65,98.38,98.5,98.54,100.76,0,,98.54,
,PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,98.77,0,99.2,98.52,99.15,99.15,100.76,0,,99.07,
,PIB-FRB-11,18-Jun-20,18-Jun-25,Half-Yearly,100,0,100.2,100.03,100.05,100,100.04,0,,100.03,
,PIB-FRB-12,18-Jun-20,18-Jun-30,Half-Yearly,99.98,0,100.15,99.96,100.1,100.16,100.72,0,,100.1,
,PIB-FRB-13,22-Oct-20,22-Oct-25,Quarterly,99.78,0,99.85,100.12,99.75,99.76,99.84,0,,99.81,
,PIB-FRB-14,22-Oct-20,22-Oct-30,Quarterly,96.53,0,96.17,94.98,96,96.15,97.67,0,,96.21,
,PIB-FRB-15,6-May-21,6-May-26,Half-Yearly,100.17,0,100.2,100.2,100.2,100.2,100.15,0,,100.19,
,PIB-FRB-16,8-Sep-22,8-Sep-25,Quarterly,99.93,0,100,100,99.97,99.93,99.95,0,,99.96,
,PIB-FRB-17,4-Nov-21,4-Nov-31,Half-Yearly,96.21,0,97.15,97.81,97.17,97.37,97.19,0,,97.22,
,PIB-FRB-18,17-Nov-22,17-Nov-27,Half-Yearly,98.74,0,99.05,98.84,98.84,98.95,99.36,0,,98.92,
,PIB-FRB-19,9-Feb-23,9-Feb-26,Quarterly,99.67,0,99.82,99.83,99.86,99.8,99.83,0,,99.82,
,PIB-FRB-20,6-Apr-23,6-Apr-28,Half-Yearly,98.72,0,99.15,99.26,99.14,99.14,99.14,0,,99.14,
,PIB-FRB-21,10-Aug-23,10-Aug-28,Half-Yearly,97.54,0,98.8,98.79,98.4,98.53,98.92,0,,98.63,
,PIB-FRB-22,21-Sep-23,21-Sep-25,Quarterly,99.77,0,100,99.96,99.95,99.9,99.91,0,,99.93,
