GOPFB Fixing,,,,,,,,,,
Government of Pakistan Floating Bond Rates,,,,,,,,,,
Updated at 17:15:00 Dated 2022-03-03,,,,,,,,,,
,,,,,,,,,,
User,Coupon Frequency,BMA,C&M,CMKA,IONE,JSCM,MCPL,SCPL,VCPL,Fma
GOPFB-31-05-2028,Half-Yearly,99.25,99.25,99.25,99.25,99.25,99.17,99.25,99.25,99.25
GOPFB-28-06-2028,Half-Yearly,99.23,99.23,99.24,99.25,99.24,99.24,99.25,99.21,99.24
GOPFB-09-08-2028,Half-Yearly,100.12,100.14,100.13,100.10,100.12,100.14,100.18,100.11,100.13
GOPFB-21-02-2029,Half-Yearly,100.13,100.14,100.14,100.10,99.52,100.14,100.19,100.11,100.13
GOPFB-21-03-2029,Half-Yearly,100.15,100.14,100.14,100.10,100.10,100.14,100.19,100.11,100.13
GOPFB-18-04-2029,Half-Yearly,100.14,100.14,100.14,100.15,100.14,100.14,100.19,100.12,100.14
GOPFB-30-05-2029,Half-Yearly,100.16,100.14,100.16,100.15,100.17,100.14,100.17,100.12,100.15
GOPFB-27-06-2029,Half-Yearly,100.44,100.38,100.40,100.40,100.35,100.38,100.42,100.35,100.39
GOPFB-25-07-2029,Half-Yearly,100.45,100.39,100.41,100.40,100.40,100.39,100.49,100.37,100.41
GOPFB-22-08-2029,Half-Yearly,100.39,100.40,100.41,100.40,100.38,100.43,100.49,100.39,100.40
GOPFB-19-06-2023,Half-Yearly,100.28,100.30,100.29,100.32,100.28,100.42,100.28,100.29,100.29
GOPFB-18-06-2025,Half-Yearly,100.20,100.10,100.18,100.35,100.25,100.10,100.07,100.17,100.17
GOPFB-18-06-2030,Half-Yearly,99.50,99.98,99.96,99.50,100.02,99.98,100.18,99.75,99.87
GOPFB-22-10-2023,Quarterly,99.16,99.15,99.15,99.25,99.14,99.15,99.12,99.15,99.15
GOPFB-22-10-2025,Quarterly,98.24,98.18,98.23,98.24,98.24,98.18,98.25,98.19,98.22
GOPFB-22-10-2030,Quarterly,95.86,96.27,96.02,95.85,96.00,96.27,96.27,95.85,96.05
GOPFB-05-11-2022,Quarterly,99.75,99.80,99.76,99.75,99.75,99.78,99.75,99.75,99.76
GOPFB-31-12-2023,Half-Yearly,98.96,98.99,98.96,98.85,99.00,98.96,98.95,98.90,98.95
GOPFB-06-05-2026,Half-Yearly,98.06,98.28,98.06,98.00,98.05,98.07,98.02,98.00,98.04
GOPFB-26-08-2023,Quarterly,99.35,99.37,99.32,99.30,99.35,99.30,99.35,99.30,99.33
GOPFB-07-10-2024,Quarterly,98.45,98.50,98.46,98.48,98.46,98.39,98.48,98.47,98.47
GOPFB-30-12-2023,Quarterly,99.17,99.20,99.17,99.12,99.12,99.17,99.18,99.15,99.16
