Bond Code,Price,Net Change,,,,
PIBFR10YQ2030-10-22,96.75,0.54,,,,
PIBFR10YQ2033-12-14,95.58,0.00,,,,
PIBFR10YS2028-05-31,99.30,0.02,,,,
PIBFR10YS2028-06-28,99.24,0.01,,,,
PIBFR10YS2028-08-09,99.00,-0.06,,,,
PIBFR10YS2029-02-21,98.83,-0.04,,,,
PIBFR10YS2029-03-21,98.67,-0.01,,,,
PIBFR10YS2029-04-18,98.57,0.01,,,,
PIBFR10YS2029-05-30,98.40,0.02,,,,
PIBFR10YS2029-06-27,98.38,0.02,,,,
PIBFR10YS2029-07-25,98.48,0.02,,,,
PIBFR10YS2029-08-22,98.84,-0.28,,,,
PIBFR10YS2030-06-18,100.53,0.03,,,,
PIBFR10YS2031-11-04,97.07,0.01,,,,
PIBFR10YS2034-02-07,95.54,0.03,,,,
PIBFR10YS2034-04-18,95.75,-0.01,,,,
PIBFR10YS2034-09-05,95.36,0.00,,,,
PIBFR10YS2034-10-03,95.53,0.04,,,,
PIBFR10YS2034-11-14,95.56,0.03,,,,
PIBFR10YS2034-12-12,95.42,0.03,,,,
PIBFR10YS2035-01-09,95.39,0.01,,,,
PIBFR10YS2035-04-17,95.45,0.03,,,,
PIBFR10YS2035-05-29,95.28,-0.01,,,,
PIBFR2YQ2025-09-21,99.89,-0.01,,,,
PIBFR2YS2026-10-03,99.76,0.00,,,,
PIBFR2YS2027-01-09,99.81,-0.03,,,,
PIBFR3YQ2025-09-08,99.95,0.00,,,,
PIBFR3YQ2026-02-09,99.79,-0.01,,,,
PIBFR3YQ2026-09-21,99.60,-0.02,,,,
PIBFR3YQ2026-10-19,99.56,0.02,,,,
PIBFR3YQ2027-02-07,99.29,0.07,,,,
PIBFR5YQ2025-10-22,99.78,0.01,,,,
PIBFR5YS2025-06-18,100.02,0.01,,,,
PIBFR5YS2026-05-06,100.18,0.00,,,,
PIBFR5YS2027-11-17,98.92,-0.08,,,,
PIBFR5YS2028-04-06,99.05,-0.02,,,,
PIBFR5YS2028-08-10,98.61,-0.06,,,,
PIBFR5YS2028-09-21,98.75,0.00,,,,
PIBFR5YS2028-10-19,98.77,-0.04,,,,
PIBFR5YS2028-12-14,98.46,-0.02,,,,
PIBFR5YS2029-02-07,98.33,0.00,,,,
PIBFR5YS2029-04-18,98.46,-0.01,,,,
PIBFR5YS2029-06-27,98.06,0.02,,,,
PIBFR5YS2029-09-05,98.35,0.01,,,,
PIBFR5YS2029-10-03,98.16,-0.02,,,,
PIBFR5YS2029-11-14,98.32,-0.03,,,,
PIBFR5YS2029-12-12,98.02,0.03,,,,
PIBFR5YS2030-01-09,97.88,-0.07,,,,
PIBFR5YS2030-04-17,98.14,0.00,,,,
