GOPFB Fixing,,,,,,,,,,
Government of Pakistan Floating Bond Rates,,,,,,,,,,
Updated at 17:15:00 Dated 2022-09-07,,,,,,,,,,
,,,,,,,,,,
User,Coupon Frequency,AHL,BMA,CEL,CMKA,ICON,IONE,MCPL,VCPL,Fma
GOPFB-31-05-2028,Half-Yearly,100.00,100.00,100.00,100.00,97.15,100.00,100.00,100.00,100.00
GOPFB-28-06-2028,Half-Yearly,100.00,100.00,100.00,100.00,97.17,100.00,100.00,100.00,100.00
GOPFB-09-08-2028,Half-Yearly,100.00,100.00,100.00,100.00,97.66,100.00,100.00,100.00,100.00
GOPFB-21-02-2029,Half-Yearly,100.00,100.00,100.00,100.00,97.51,100.00,100.00,100.00,100.00
GOPFB-21-03-2029,Half-Yearly,100.00,100.00,100.00,100.00,97.56,100.00,100.00,100.00,100.00
GOPFB-18-04-2029,Half-Yearly,100.00,100.00,100.00,100.00,97.61,100.00,100.00,100.00,100.00
GOPFB-30-05-2029,Half-Yearly,100.00,100.00,100.00,100.00,97.70,100.00,100.00,100.00,100.00
GOPFB-27-06-2029,Half-Yearly,100.00,100.00,100.00,100.00,97.93,100.00,100.00,100.00,100.00
GOPFB-25-07-2029,Half-Yearly,100.00,100.00,100.00,100.00,97.71,100.00,100.00,100.00,100.00
GOPFB-22-08-2029,Half-Yearly,100.00,100.00,100.00,100.00,97.63,100.00,100.00,100.00,100.00
GOPFB-19-06-2023,Half-Yearly,100.20,100.20,100.20,100.20,100.00,100.20,100.20,100.20,100.20
GOPFB-18-06-2025,Half-Yearly,99.96,99.95,99.95,99.95,99.37,99.95,99.95,99.93,99.95
GOPFB-18-06-2030,Half-Yearly,98.80,98.83,98.95,98.83,97.55,98.85,98.80,98.80,98.82
GOPFB-22-10-2023,Quarterly,99.30,99.25,99.20,99.22,99.55,99.25,99.25,99.25,99.25
GOPFB-22-10-2025,Quarterly,98.35,98.28,98.25,98.31,97.43,98.30,98.30,98.30,98.29
GOPFB-22-10-2030,Quarterly,96.65,96.59,96.60,96.59,94.03,96.60,96.55,96.60,96.59
GOPFB-05-11-2022,Quarterly,99.93,99.87,99.85,99.89,99.91,99.90,99.90,99.89,99.89
GOPFB-31-12-2023,Half-Yearly,99.00,99.00,99.00,99.00,98.73,99.00,99.00,98.99,99.00
GOPFB-06-05-2026,Half-Yearly,98.35,98.32,98.32,98.32,96.75,98.33,98.33,98.33,98.33
GOPFB-26-08-2023,Quarterly,99.40,99.37,99.33,99.39,99.39,99.38,99.38,99.35,99.38
GOPFB-07-10-2024,Quarterly,98.30,98.24,98.20,98.24,98.07,98.25,98.25,98.25,98.24
GOPFB-30-12-2023,Quarterly,99.23,99.25,99.25,99.23,99.27,99.25,99.24,99.25,99.25
GOPFB-07-04-2025,Quarterly,97.70,97.69,97.70,97.71,97.72,97.70,97.70,97.69,97.70
