,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,C&M,CEL,ICON,IONE,PCPL,VCPL,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,98.15,98.1,97.87,97.75,0,98.05,98,97.97,98
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,98.23,98.05,97.86,97.75,0,98,97.95,97.9,97.95
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,98.3,98.52,98.43,98.05,0,98.29,98.3,98.3,98.32
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,98.2,98.2,98.35,98.1,0,98.29,98.2,98.2,98.22
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,98.15,98.15,98.42,98.35,0,98.14,98.2,98.2,98.21
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.5,98.76,98.77,98.1,0,98.16,98.5,98.6,98.5
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.1,98.21,98.21,98.1,0,98.24,98.2,98.2,98.18
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.15,98.3,98.36,98.15,0,98.15,98.25,98.23,98.22
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.4,98.25,98.38,98.15,0,98.15,98.2,98.23,98.24
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,98.1,98.18,98.42,98.15,0,98.05,98.15,98.19,98.15
PIB-FRB-11,18-Jun-20,18-Jun-25,Half-Yearly,99.85,99.98,99.89,99.9,0,99.92,99.85,99.95,99.9
PIB-FRB-12,18-Jun-20,18-Jun-30,Half-Yearly,98.42,97.84,98.48,98.17,0,98.45,98.35,98.22,98.32
PIB-FRB-13,22-Oct-20,22-Oct-25,Quarterly,98.2,98.54,98.39,98.35,0,98.34,98.4,98.35,98.37
PIB-FRB-14,22-Oct-20,22-Oct-30,Quarterly,94.9,95.33,94.6,95,0,94.94,94.9,94.9,94.93
PIB-FRB-15,6-May-21,6-May-26,Half-Yearly,98.4,98.65,98.65,98.65,0,98.66,98.65,98.65,98.65
PIB-FRB-16,7-Oct-21,7-Oct-24,Quarterly,99.82,99.83,99.84,99.84,0,99.83,99.83,99.84,99.83
PIB-FRB-17,7-Apr-22,7-Apr-25,Quarterly,99.1,99.39,99.32,99.39,0,99.68,99.3,99.2,99.32
PIB-FRB-18,8-Sep-22,8-Sep-25,Quarterly,98.7,98.71,98.82,98.74,0,98.92,98.7,98.9,98.77
PIB-FRB-19,8-Sep-22,8-Sep-24,Quarterly,99.67,99.62,99.69,99.59,0,99.68,99.63,99.61,99.64
PIB-FRB-20,4-Nov-21,4-Nov-31,Half-Yearly,95.51,95.39,95.39,95.43,0,95.59,95.49,95.5,95.46
PIB-FRB-21,17-Nov-22,17-Nov-27,Half-Yearly,97.15,97.04,97.27,97.27,0,97.38,97.2,97.2,97.22
PIB-FRB-22,9-Feb-23,9-Feb-25,Quarterly,99.29,99.16,99.3,99.22,0,99.68,99.2,99.1,99.23
PIB-FRB-23,9-Feb-23,9-Feb-26,Quarterly,98.45,98.4,98.52,98.52,0,98.46,98.5,98.4,98.47
PIB-FRB-24,6-Apr-23,6-Apr-25,Quarterly,99.15,98.99,99.08,99.03,0,98.91,99.05,99.1,99.05
PIB-FRB-25,6-Apr-23,6-Apr-28,Semiannually,97,96.99,97.01,96.97,0,96.99,96.92,96.99,96.99
PIB-FRB-26,10-Aug-23,10-Aug-28,Semiannually,96.35,96.58,96.57,96.58,0,96.71,96.58,96.44,96.55
PIB-FRB-27,21-Sep-23,21-Sep-25,Quarterly,98.75,98.42,98.77,98.41,0,98.63,98.4,98.35,98.52
PIB-FRB-28,21-Sep-23,21-Sep-26,Quarterly,98.05,97.91,98.01,98.06,0,98.08,98.02,98.09,98.04
PIB-FRB-29,21-Sep-23,21-Sep-28,Semiannually,96.25,96.53,96.5,96.5,0,96.52,96.53,96.3,96.47
PIB-FRB-30,19-Oct-23,19-Oct-26,Quarterly,98.12,97.89,98.17,98.13,0,98.05,98.07,98.09,98.09
PIB-FRB-31,19-Oct-23,19-Oct-28,Semiannually,96.77,96.66,96.77,96.8,0,96.79,96.72,96.81,96.77
PIB-FRB-32,14-Dec-23,14-Dec-28,Semiannually,96.65,96.48,96.35,96.49,0,96.48,96.45,96.3,96.45
PIB-FRB-33,14-Dec-23,14-Dec-33,Semiannually,94.52,94.76,95,94,0,94.56,94.6,94.57,94.6
PIB-FRB-34,7-Feb-24,7-Feb-29,Semiannually,96.33,96.4,96.31,96.49,0,96.48,96.34,96.28,96.37
PIB-FRB-35,7-Feb-24,7-Feb-34,Semiannually,94.5,94.57,95.08,94.34,0,94.89,94.5,94.4,94.57
PIB-FRB-36,18-Apr-24,18-Apr-29,Semiannually,96.64,96.61,96.65,96.65,0,96.64,99.97,96.62,96.64
PIB-FRB-37,18-Apr-24,18-Apr-34,Semiannually,95.04,94.63,95.05,94.63,0,95.07,94.63,94.62,94.8
PIB-FRB-38,27-Jun-24,27-Jun-29,Semiannually,96.6,96.53,96.55,96.54,0,96.57,96.53,96.57,96.55
