Bond Code,Price,Net Change,,
PIBFR10YQ2030-10-22,95.63,0.01,,
PIBFR10YQ2033-12-14,93.30,0.04,,
PIBFR10YS2028-05-31,98.94,0.06,,
PIBFR10YS2028-06-28,98.92,0.06,,
PIBFR10YS2028-08-09,98.91,-0.07,,
PIBFR10YS2029-02-21,98.79,-0.04,,
PIBFR10YS2029-03-21,98.73,0.01,,
PIBFR10YS2029-04-18,98.60,0.02,,
PIBFR10YS2029-05-30,98.22,-0.01,,
PIBFR10YS2029-06-27,98.65,0.08,,
PIBFR10YS2029-07-25,98.38,0.01,,
PIBFR10YS2029-08-22,98.85,-0.15,,
PIBFR10YS2030-06-18,100.01,0.00,,
PIBFR10YS2031-11-04,95.31,0.00,,
PIBFR10YS2034-02-07,93.52,0.02,,
PIBFR10YS2034-04-18,93.69,0.05,,
PIBFR10YS2034-09-05,93.09,-0.09,,
PIBFR10YS2034-10-03,93.05,-0.01,,
PIBFR10YS2034-11-14,93.23,0.03,,
PIBFR10YS2034-12-12,93.20,0.03,,
PIBFR10YS2035-01-09,92.85,0.00,,
PIBFR2YQ2025-09-21,99.65,0.01,,
PIBFR2YS2026-10-03,99.77,0.00,,
PIBFR2YS2027-01-09,99.87,-0.02,,
PIBFR3YQ2025-09-08,99.85,0.01,,
PIBFR3YQ2026-02-09,99.59,0.00,,
PIBFR3YQ2026-09-21,99.19,0.05,,
PIBFR3YQ2026-10-19,99.11,0.00,,
PIBFR3YQ2027-02-07,98.77,-0.01,,
PIBFR5YQ2025-10-22,99.71,0.02,,
PIBFR5YS2025-06-18,100.11,-0.08,,
PIBFR5YS2026-05-06,99.72,0.00,,
PIBFR5YS2027-11-17,98.71,0.05,,
PIBFR5YS2028-04-06,97.89,0.00,,
PIBFR5YS2028-08-10,97.53,0.05,,
PIBFR5YS2028-09-21,97.53,-0.01,,
PIBFR5YS2028-10-19,97.49,0.02,,
PIBFR5YS2028-12-14,97.45,0.03,,
PIBFR5YS2029-02-07,97.14,0.04,,
PIBFR5YS2029-04-18,97.08,-0.06,,
PIBFR5YS2029-06-27,97.05,0.00,,
PIBFR5YS2029-09-05,96.83,-0.01,,
PIBFR5YS2029-10-03,96.86,0.02,,
PIBFR5YS2029-11-14,97.38,0.05,,
PIBFR5YS2029-12-12,96.92,0.00,,
PIBFR5YS2030-01-09,96.86,0.03,,
