(REVISED )                PKFRV 11 Aug 2023,,,,,,,,,,,,,,
,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,MAX,MIN,AVERAGE
PIB-FRB-1,43251,46904,Half-Yearly,95.15,95.3,95.56,95.25,95.58,95.07,95.29,95.56,95.58,95.07,95.35
PIB-FRB-2,43279,46932,Half-Yearly,94.95,94.9,95.56,94.92,94.92,94.85,95.29,94.92,95.56,94.85,94.98
PIB-FRB-3,43321,46974,Half-Yearly,95.55,95.5,96.39,95.5,95.52,95.25,95.99,95.52,96.39,95.25,95.6
PIB-FRB-4,43517,47170,Half-Yearly,95.55,95.25,95.57,95.3,95.26,95.35,95.33,95.26,95.57,95.25,95.34
PIB-FRB-5,43545,47198,Half-Yearly,95.5,95.45,95.58,95.4,95.48,95.35,95.42,95.48,95.58,95.35,95.46
PIB-FRB-6,43573,47226,Half-Yearly,95.55,95.5,95.63,95.5,95.58,95.35,95.47,95.58,95.63,95.35,95.53
PIB-FRB-7,43615,47268,Half-Yearly,95.55,95.5,95.58,95.6,95.63,95.35,95.58,95.63,95.63,95.35,95.57
PIB-FRB-8,43643,47296,Half-Yearly,95.35,95.3,95.74,95.35,95.24,95.35,95.45,95.24,95.74,95.24,95.34
PIB-FRB-9,43671,47324,Half-Yearly,95.35,95.2,96.02,95.35,95.16,95.35,95.59,95.16,96.02,95.16,95.33
PIB-FRB-10,43699,47352,Half-Yearly,95.45,95.6,95.52,95.5,95.89,95.25,95.51,95.89,95.89,95.25,95.58
PIB-FRB-11,44000,45826,Half-Yearly,98.7,98.64,98.42,98.6,98.6,98.57,98.59,98.6,98.7,98.42,98.6
PIB-FRB-12,44000,11127,Half-Yearly,96.43,95.35,95.28,95.4,96.44,95.2,95.44,96.44,96.44,95.2,95.72
PIB-FRB-13,44126,45221,Quarterly,99.9,99.89,99.88,99.9,99.87,99.89,99.88,99.87,99.9,99.87,99.89
PIB-FRB-14,44126,45952,Quarterly,97,97,97.56,96.9,96.94,96.89,96.98,96.94,97.56,96.89,96.96
PIB-FRB-15,44126,11253,Quarterly,93.8,93.65,93.64,93.65,93.72,93.5,93.64,93.72,93.8,93.5,93.67
PIB-FRB-16,44196,45291,Half-Yearly,99.2,99.2,99.24,99.2,99.49,98.75,99.15,99.48,99.49,98.75,99.25
PIB-FRB-17,44322,46148,Half-Yearly,96.69,96.71,96.75,96.7,96.67,96.67,96.7,96.66,96.75,96.66,96.69
PIB-FRB-18,44434,45164,Quarterly,99.82,99.89,99.85,99.82,99.83,99.87,99.88,99.84,99.89,99.82,99.85
PIB-FRB-19,44476,45572,Quarterly,98.69,98.69,98.73,98.56,98.53,98.5,98.58,98.54,98.73,98.5,98.6
PIB-FRB-20,44560,45290,Quarterly,99.72,99.75,99.74,99.74,99.75,99.74,99.74,99.75,99.75,99.72,99.74
PIB-FRB-21,44658,45754,Quarterly,97.75,97.8,97.95,97.85,97.81,97.7,97.81,97.8,97.95,97.7,97.8
PIB-FRB-22,44812,45908,Quarterly,97.44,97.44,97.56,97.45,97.44,97.45,97.44,97.44,97.56,97.44,97.44
PIB-FRB-23,44812,45543,Quarterly,99.28,99.3,99.32,99.29,99.3,99.31,99.31,99.3,99.32,99.28,99.3
PIB-FRB-24,44504,11631,Half-Yearly,93,92.9,92.46,92.9,93.03,92.79,92.87,93.03,93.03,92.46,92.92
PIB-FRB-25,44882,46708,Half-Yearly,95.1,94.9,94.93,94.9,94.92,95.03,94.93,94.92,95.1,94.9,94.94
PIB-FRB-26,44966,45697,Quarterly,98.65,98.89,98.83,98.9,98.74,98.91,98.85,98.74,98.91,98.65,98.83
PIB-FRB-27,44966,46062,Quarterly,97.1,97.39,97.4,97.22,97.22,97.43,97.4,97.22,97.43,97.1,97.31
PIB-FRB-28,45022,45753,Quarterly,98.64,98.69,98.68,98.61,98.66,98.67,98.69,98.66,98.69,98.61,98.67
PIB-FRB-29,45022,46849,Semiannually,94.68,94.7,94.69,94.75,94.61,94.75,94.69,94.6,94.75,94.6,94.69
PIB-FRB-30,45148,46975,Semiannually,94.77,94.82,94.82,94.77,94.61,94.82,94.82,94.6,94.82,94.6,94.77
