,Issue Date,Maturity dat,eoupon Frequenc,AHL,ALFA,BMA,C&M,CEL,CMKA,ICON,IONE,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,99.38,0,99.7,99.49,99.65,99.73,99.96,100.2,,99.71
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,99.25,0,99.8,99.49,99.7,99.73,100.09,100.22,,99.76
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,98.89,0,99.95,99.34,99.9,99.87,100.61,100.61,,99.93
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,98.61,0,99.85,99.15,99.8,99.84,100.41,100.82,,99.81
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,98.61,0,99.75,99.12,99.65,99.68,100.39,100.53,,99.72
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.53,0,99.75,98.81,99.6,99.66,100.39,100.53,,99.64
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.48,0,99.6,98.62,99.5,99.51,100.41,100.25,,99.5
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.37,0,99.64,98.61,99.5,99.67,100.59,100.43,,99.57
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.51,0,99.77,98.75,99.7,99.68,100.62,100.78,,99.7
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,99.53,0,100,98.91,100,99.98,100.61,100.44,,99.99
PIB-FRB-11,18-Jun-20,18-Jun-30,Half-Yearly,99.6,0,100.7,100.73,100.8,100.77,100.52,101,,100.7
PIB-FRB-12,22-Oct-20,22-Oct-25,Quarterly,99.88,0,99.97,99.97,99.95,99.97,99.94,97.47,,99.94
PIB-FRB-13,22-Oct-20,22-Oct-30,Quarterly,97.29,0,97.63,97.29,97.65,97.67,97.66,99.91,,97.58
PIB-FRB-14,6-May-21,6-May-26,Half-Yearly,100.11,0,100.15,100.18,100.21,100.17,100.1,100.13,,100.15
PIB-FRB-15,8-Sep-22,8-Sep-25,Quarterly,99.98,0,100,100,99.99,100,99.98,100,,99.99
PIB-FRB-16,4-Nov-21,4-Nov-31,Half-Yearly,97,0,97.3,97.18,97.41,97.22,97.2,97.61,,97.26
PIB-FRB-17,17-Nov-22,17-Nov-27,Half-Yearly,99.09,0,99.35,99.18,99.47,99.38,99.41,99.76,,99.36
PIB-FRB-18,9-Feb-23,9-Feb-26,Quarterly,99.76,0,99.85,99.83,99.88,99.88,99.9,99.82,,99.85
PIB-FRB-19,6-Apr-23,6-Apr-28,Half-Yearly,99.08,0,99.15,99.06,99.15,99.12,99.12,99.17,,99.12
PIB-FRB-20,10-Aug-23,10-Aug-28,Half-Yearly,98.88,0,98.75,98.43,98.76,98.7,99.02,98.7,,98.76
PIB-FRB-21,21-Sep-23,21-Sep-25,Quarterly,99.98,0,99.97,99.96,99.95,99.94,99.9,99.99,,99.96
PIB-FRB-22,21-Sep-23,21-Sep-26,Quarterly,99.37,0,99.7,99.69,99.65,99.68,99.73,99.69,,99.68
PIB-FRB-23,21-Sep-23,21-Sep-28,Half-Yearly,98.76,0,98.7,98.69,98.75,98.7,98.98,98.65,,98.72
PIB-FRB-24,19-Oct-23,19-Oct-26,Quarterly,99.28,0,99.64,99.67,99.6,99.66,99.72,99.6,,99.63
PIB-FRB-25,19-Oct-23,19-Oct-28,Half-Yearly,98.8,0,98.85,98.8,98.93,98.93,98.92,98.79,,98.86
PIB-FRB-26,14-Dec-23,14-Dec-28,Half-Yearly,98.61,0,98.7,98.74,98.74,98.69,98.88,98.45,,98.7
PIB-FRB-27,14-Dec-23,14-Dec-33,Half-Yearly,95.38,0,96.14,95.89,96,95.94,96.03,96.39,,96
PIB-FRB-28,7-Feb-24,7-Feb-29,Half-Yearly,98.58,0,98.53,98.03,98.58,98.53,98.7,98.58,,98.56
PIB-FRB-29,7-Feb-24,7-Feb-34,Half-Yearly,95.37,0,95.55,95.37,95.47,95.52,95.93,95.21,,95.46
PIB-FRB-30,18-Apr-24,18-Apr-29,Half-Yearly,98.66,0,98.63,98.56,98.65,98.65,98.65,98.62,,98.64
PIB-FRB-31,18-Apr-24,18-Apr-34,Half-Yearly,95.83,0,96,95.91,96.07,95.97,96.07,95.91,,95.97
PIB-FRB-32,27-Jun-24,27-Jun-29,Half-Yearly,98.59,0,98.6,98.59,98.6,98.62,98.74,98.77,,98.63
PIB-FRB-33,5-Sep-24,5-Sep-29,Half-Yearly,98.57,0,98.6,98.56,98.55,98.57,98.65,98.62,,98.58
PIB-FRB-34,5-Sep-24,5-Sep-34,Half-Yearly,95.44,0,95.75,95.68,95.7,95.75,95.89,95.94,,95.75
PIB-FRB-35,3-Oct-24,3-Oct-26,Half-Yearly,99.76,0,99.82,99.87,99.8,99.8,99.86,99.78,,99.81
PIB-FRB-36,3-Oct-24,3-Oct-29,Half-Yearly,98.53,0,98.55,98.52,98.53,98.53,98.62,98.61,,98.55
PIB-FRB-37,3-Oct-24,3-Oct-34,Half-Yearly,95.41,0,95.7,95.66,95.65,95.66,95.82,95.91,,95.7
PIB-FRB-38,7-Feb-24,7-Feb-27,Quarterly,99.33,0,99.5,99.62,99.45,99.52,99.59,98.8,,99.48
PIB-FRB-39,14-Nov-24,14-Nov-29,Half-Yearly,98.82,0,98.55,98.82,98.66,98.5,98.53,98.72,,98.66
PIB-FRB-40,14-Nov-24,14-Nov-34,Half-Yearly,95.42,0,95.7,95.78,95.67,95.67,95.83,95.32,,95.65
PIB-FRB-41,12-Dec-24,12-Dec-29,Half-Yearly,98.5,0,98.42,98.46,98.46,98.3,98.36,98.46,,98.43
PIB-FRB-42,12-Dec-24,12-Dec-34,Half-Yearly,95.11,0,95.6,95.52,95.45,95.53,95.63,95.79,,95.55
PIB-FRB-43,9-Jan-25,9-Jan-27,Half-Yearly,99.72,0,99.85,100,99.8,99.85,99.79,100,,99.86
