,,,,,,,,,,,,,
,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,95.55,0.00,96.73,95.30,96.03,95.50,0.00,95.80,,95.82
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,95.45,0.00,96.68,94.95,95.98,95.45,0.00,95.65,,95.69
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,95.55,0.00,97.51,96.35,96.58,96.40,0.00,95.99,,96.40
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,95.30,0.00,97.25,96.25,96.41,96.05,0.00,95.20,,96.08
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,95.10,0.00,97.67,95.50,96.62,96.00,0.00,95.20,,96.02
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,95.25,0.00,97.27,95.50,96.33,96.00,0.00,95.70,,96.01
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,95.08,0.00,96.99,95.55,96.22,95.80,0.00,95.60,,95.87
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,95.00,0.00,97.25,95.35,96.34,95.80,0.00,95.60,,95.89
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,95.10,0.00,97.42,95.25,96.40,95.80,0.00,95.40,,95.90
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,95.10,0.00,97.53,97.59,96.41,96.99,0.00,95.22,,96.47
PIB-FRB-11,18-Jun-20,18-Jun-25,Half-Yearly,98.65,0.00,98.64,98.68,98.60,98.57,0.00,98.60,,98.62
PIB-FRB-12,18-Jun-20,18-Jun-30,Half-Yearly,94.83,0.00,97.15,97.21,96.44,96.57,0.00,95.22,,96.24
PIB-FRB-13,22-Oct-20,22-Oct-23,Quarterly,99.90,0.00,99.93,99.93,99.94,99.94,0.00,99.90,,99.92
PIB-FRB-14,22-Oct-20,22-Oct-25,Quarterly,97.00,0.00,98.10,97.00,96.94,97.00,0.00,96.99,,97.17
PIB-FRB-15,22-Oct-20,22-Oct-30,Quarterly,94.82,0.00,94.50,93.65,93.72,93.70,0.00,93.70,,94.02
PIB-FRB-16,31-Dec-20,31-Dec-23,Half-Yearly,99.20,0.00,99.47,99.20,99.40,99.35,0.00,99.30,,99.32
PIB-FRB-17,6-May-21,6-May-26,Half-Yearly,97.96,0.00,97.91,97.91,97.51,97.91,0.00,95.83,,97.51
PIB-FRB-18,7-Oct-21,7-Oct-24,Quarterly,99.27,0.00,99.47,99.56,99.13,99.22,0.00,99.35,,99.33
PIB-FRB-19,30-Dec-21,30-Dec-23,Quarterly,99.75,0.00,99.76,99.75,99.75,99.76,0.00,99.75,,99.75
PIB-FRB-20,7-Apr-22,7-Apr-25,Quarterly,97.73,0.00,99.07,97.80,98.77,99.01,0.00,98.80,,98.53
PIB-FRB-21,8-Sep-22,8-Sep-25,Quarterly,98.50,0.00,98.61,99.21,98.76,98.91,0.00,98.65,,98.77
PIB-FRB-22,8-Sep-22,8-Sep-24,Quarterly,99.55,0.00,99.64,99.66,99.64,99.64,0.00,99.63,,99.63
PIB-FRB-23,4-Nov-21,4-Nov-31,Half-Yearly,92.95,0.00,93.59,92.94,93.44,93.59,0.00,93.40,,93.32
PIB-FRB-24,17-Nov-22,17-Nov-27,Half-Yearly,95.66,0.00,95.96,95.93,95.95,96.08,0.00,94.95,,95.76
PIB-FRB-25,9-Feb-23,9-Feb-25,Quarterly,99.19,0.00,99.41,99.40,99.57,99.41,0.00,99.50,,99.41
PIB-FRB-26,9-Feb-23,9-Feb-26,Quarterly,98.00,0.00,98.04,98.20,98.21,98.04,0.00,98.15,,98.11
PIB-FRB-27,6-Apr-23,6-Apr-25,Quarterly,99.14,0.00,99.32,99.31,99.41,99.32,0.00,99.20,,99.28
PIB-FRB-28,6-Apr-23,6-Apr-28,Semiannually,95.20,0.00,96.02,95.60,95.52,96.54,0.00,95.50,,95.73
PIB-FRB-29,10-Aug-23,10-Aug-28,Semiannually,94.95,0.00,95.86,95.99,95.79,96.13,0.00,95.40,,95.69
PIB-FRB-30,21-Sep-23,21-Sep-25,Quarterly,98.95,0.00,99.00,99.28,99.06,99.06,0.00,99.05,,99.07
PIB-FRB-31,21-Sep-23,21-Sep-26,Quarterly,97.81,0.00,97.92,97.85,97.81,98.01,0.00,97.82,,97.87
PIB-FRB-32,21-Sep-23,21-Sep-28,Semiannually,96.70,0.00,96.69,96.74,96.69,96.82,0.00,96.69,,96.72
