,Issue Date,Maturity date,Coupon Frequency,Price,
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,98.60,0.04
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,98.63,0.11
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,98.63,-0.05
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,98.51,-0.05
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,98.47,0.11
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.41,0.07
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.19,-0.02
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.62,0.13
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.35,0.03
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,98.50,-0.04
PIB-FRB-11,18-Jun-20,18-Jun-25,Half-Yearly,100.49,-0.01
PIB-FRB-12,18-Jun-20,18-Jun-30,Half-Yearly,99.98,0.03
PIB-FRB-13,22-Oct-20,22-Oct-25,Quarterly,99.32,0.07
PIB-FRB-14,22-Oct-20,22-Oct-30,Quarterly,95.35,0.06
PIB-FRB-15,6-May-21,6-May-26,Half-Yearly,99.74,-0.01
PIB-FRB-16,7-Apr-22,7-Apr-25,Quarterly,100.10,0.01
PIB-FRB-17,8-Sep-22,8-Sep-25,Quarterly,99.81,-0.03
PIB-FRB-18,4-Nov-21,4-Nov-31,Half-Yearly,94.86,-0.03
PIB-FRB-19,17-Nov-22,17-Nov-27,Half-Yearly,97.62,-0.01
PIB-FRB-20,9-Feb-23,9-Feb-25,Quarterly,99.92,-0.02
PIB-FRB-21,9-Feb-23,9-Feb-26,Quarterly,99.35,0.00
PIB-FRB-22,6-Apr-23,6-Apr-25,Quarterly,99.81,-0.03
PIB-FRB-23,6-Apr-23,6-Apr-28,Half-Yearly,97.72,0.02
PIB-FRB-24,10-Aug-23,10-Aug-28,Half-Yearly,97.88,0.00
PIB-FRB-25,21-Sep-23,21-Sep-25,Quarterly,99.51,-0.03
PIB-FRB-26,21-Sep-23,21-Sep-26,Quarterly,99.01,-0.02
PIB-FRB-27,21-Sep-23,21-Sep-28,Half-Yearly,98.02,-0.01
PIB-FRB-28,19-Oct-23,19-Oct-26,Quarterly,98.78,-0.01
PIB-FRB-29,19-Oct-23,19-Oct-28,Half-Yearly,97.41,0.00
PIB-FRB-30,14-Dec-23,14-Dec-28,Half-Yearly,97.42,-0.07
PIB-FRB-31,14-Dec-23,14-Dec-33,Half-Yearly,94.69,-0.04
PIB-FRB-32,7-Feb-24,7-Feb-29,Half-Yearly,97.96,-0.02
PIB-FRB-33,7-Feb-24,7-Feb-34,Half-Yearly,95.85,-0.07
PIB-FRB-34,18-Apr-24,18-Apr-29,Half-Yearly,98.41,1.47
PIB-FRB-35,18-Apr-24,18-Apr-34,Half-Yearly,93.53,0.07
PIB-FRB-36,27-Jun-24,27-Jun-29,Half-Yearly,98.62,1.43
PIB-FRB-37,5-Sep-24,5-Sep-29,Half-Yearly,97.78,-0.02
PIB-FRB-38,5-Sep-24,5-Sep-34,Half-Yearly,94.35,-0.06
PIB-FRB-39,3-Oct-24,3-Oct-26,Half-Yearly,99.70,-0.02
PIB-FRB-40,3-Oct-24,3-Oct-29,Half-Yearly,97.47,-0.02
PIB-FRB-41,3-Oct-24,3-Oct-34,Half-Yearly,93.80,-0.07
PIB-FRB-42,7-Feb-24,7-Feb-27,Quarterly,98.69,-0.06
PIB-FRB-43,14-Nov-24,14-Nov-29,Half-Yearly,96.71,0.00
PIB-FRB-44,14-Nov-24,14-Nov-34,Half-Yearly,92.99,0.00
