Financial Markets Association of Pakistan,,,,,,,,,,,,,
"April 12, 2023",,,,,,,,,,,,,
PKFRV,,,,,,,,,,,,,
Revaluation Rates for PIB Floating Rate Bond (FRB),,,,,,,,,,,,,
,Issue Date,Maturity date,Coupon Frequency,AHL,BMA,CEL,CMKA,ICON,IONE,MCPL,VCPL,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,95.10,94.75,94.75,94.69,92.71,94.68,94.75,94.60,,94.70
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,94.85,94.80,94.85,94.74,93.50,94.72,95.00,94.71,,94.78
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,95.55,95.10,95.25,95.33,94.20,95.21,95.40,95.21,,95.25
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,95.65,95.25,9.35,95.20,93.90,95.20,95.45,95.21,,95.04
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,95.60,95.20,95.35,95.32,93.61,95.45,95.30,95.21,,95.31
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,95.50,95.20,95.35,95.28,93.54,95.10,95.30,95.19,,95.24
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,95.40,95.25,95.35,95.18,93.43,95.10,95.25,95.12,,95.21
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,95.30,95.30,95.35,95.26,93.72,95.15,95.25,95.10,,95.23
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,95.20,95.35,95.35,95.23,93.68,95.20,95.40,95.15,,95.25
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,95.55,95.45,95.50,95.33,93.82,95.25,95.40,95.20,,95.36
PIB-FRB-11,18-Jun-20,18-Jun-23,Half-Yearly,98.92,98.92,98.88,98.90,98.89,98.89,98.90,98.93,,98.90
PIB-FRB-12,18-Jun-20,18-Jun-25,Half-Yearly,97.50,97.90,98.00,97.55,96.43,97.25,97.50,97.19,,97.48
PIB-FRB-13,18-Jun-20,18-Jun-30,Half-Yearly,94.75,94.20,91.24,94.16,93.06,93.25,94.40,93.97,,93.84
PIB-FRB-14,22-Oct-20,22-Oct-23,Quarterly,98.70,98.55,98.77,98.51,98.00,98.52,98.45,98.45,,98.53
PIB-FRB-15,22-Oct-20,22-Oct-25,Quarterly,95.89,96.80,96.89,96.62,95.90,96.84,96.65,96.65,,96.58
PIB-FRB-16,22-Oct-20,22-Oct-30,Quarterly,93.95,92.95,92.94,92.06,92.00,92.02,92.60,92.05,,92.44
PIB-FRB-17,31-Dec-20,31-Dec-23,Half-Yearly,99.25,98.90,98.50,98.90,99.18,98.86,98.95,98.48,,98.88
PIB-FRB-18,6-May-21,6-May-26,Half-Yearly,96.15,95.95,96.01,95.93,94.25,96.50,95.90,95.85,,95.97
PIB-FRB-19,26-Aug-21,26-Aug-23,Quarterly,99.85,99.86,99.86,99.86,99.86,99.86,99.81,99.85,,99.86
PIB-FRB-20,7-Oct-21,7-Oct-24,Quarterly,97.95,97.90,98.20,98.03,98.07,97.90,98.00,97.90,,97.98
PIB-FRB-21,30-Dec-21,30-Dec-23,Quarterly,99.45,99.39,99.38,99.36,99.37,99.36,99.38,99.38,,99.38
PIB-FRB-22,7-Apr-22,7-Apr-25,Quarterly,97.50,97.50,97.57,97.51,97.53,97.50,97.54,97.50,,97.51
PIB-FRB-23,8-Sep-22,8-Sep-25,Quarterly,97.25,97.20,98.00,97.20,97.17,97.20,97.20,97.20,,97.21
PIB-FRB-24,8-Sep-22,8-Sep-24,Quarterly,98.95,98.75,98.73,98.76,98.73,98.72,98.68,98.71,,98.73
PIB-FRB-25,4-Nov-21,4-Nov-31,Half-Yearly,93.50,93.25,91.22,97.20,89.31,92.04,92.40,92.05,,92.41
PIB-FRB-26,17-Nov-22,17-Nov-27,Half-Yearly,95.15,94.75,94.60,94.62,92.36,94.27,94.00,94.64,,94.48
PIB-FRB-27,9-Feb-23,9-Feb-25,Quarterly,98.48,98.46,98.51,98.48,98.50,98.47,98.45,98.45,,98.47
PIB-FRB-28,9-Feb-23,9-Feb-26,Quarterly,96.72,96.75,96.73,96.65,96.75,96.60,96.60,96.50,,96.68
