SECURI,TY,COUPN FRQ,AHL,ALFA,C&M,CEL,ICON,IONE,PCPL,VCPL,FMAP,DATE,TIME
,,,,,,,,,,,,,
GOPFB-,8-Sep-24,QRTLY,0,99.53,99.6,99.54,99.63,99.56,99.63,99.6,99.59,12-Jun-24,16:26
GOPFB-,7-Oct-24,QRTLY,0,99.68,99.65,99.64,99.96,99.68,99.65,99.68,99.67,12-Jun-24,16:26
GOPFB-,9-Feb-25,QRTLY,0,99.07,99.02,99.1,99.07,98.99,99.05,99.07,99.06,12-Jun-24,16:26
GOPFB-,6-Apr-25,QRTLY,0,98.88,98.81,98.83,98.88,98.78,98.83,98.85,98.84,12-Jun-24,16:26
GOPFB-,7-Apr-25,QRTLY,0,99.13,99.14,99.11,99.21,99.11,99.15,99.16,99.14,12-Jun-24,16:26
GOPFB-,18-Jun-25,SEMI ANN,0,99.91,99.89,99.85,99.67,99.92,99.88,99.9,99.89,12-Jun-24,16:26
GOPFB-,8-Sep-25,QRTLY,0,98.67,98.82,98.74,98.88,98.66,98.8,98.78,98.76,12-Jun-24,16:26
GOPFB-,21-Sep-25,QRTLY,0,98.37,98.3,98.46,98.37,98.23,98.33,98.35,98.34,12-Jun-24,16:26
GOPFB-,22-Oct-25,QRTLY,0,98.54,98.39,98.35,98.76,98.34,98.35,98.44,98.41,12-Jun-24,16:26
GOPFB-,9-Feb-26,QRTLY,0,98.34,98.52,98.52,98.41,98.41,98.5,98.38,98.44,12-Jun-24,16:26
GOPFB-,6-May-26,SEMI ANN,0,98.57,98.65,985.8,98.57,98.58,98.63,98.64,98.61,12-Jun-24,16:26
GOPFB-,21-Sep-26,QRTLY,0,97.9,98.01,98.06,98.07,97.95,97.98,97.95,97.99,12-Jun-24,16:26
GOPFB-,19-Oct-26,QRTLY,0,97.82,97.97,98.13,98,97.9,97.98,97.97,97.96,12-Jun-24,16:26
GOPFB-,17-Nov-27,SEMI ANN,0,97.27,97.19,97.39,97.39,97.28,97.35,97.24,97.31,12-Jun-24,16:26
GOPFB-,6-Apr-28,SEMI ANN,0,96.94,97,96.95,96.95,96.95,97.09,97.02,96.97,12-Jun-24,16:26
GOPFB-,31-May-28,SEMI ANN,0,98.17,97.87,97.75,98,98.05,98,98.13,98.01,12-Jun-24,16:26
GOPFB-,28-Jun-28,SEMI ANN,0,98.08,97.86,97.75,97.98,98.02,97.95,98.08,97.98,12-Jun-24,16:26
GOPFB-,9-Aug-28,SEMI ANN,0,98.52,98.43,98.05,98.37,98.29,98.4,98.4,98.38,12-Jun-24,16:26
GOPFB-,10-Aug-28,SEMI ANN,0,96.35,96.56,96.56,96.39,96.56,96.55,96.43,96.5,12-Jun-24,16:26
GOPFB-,21-Sep-28,SEMI ANN,0,96.57,99.55,96.49,96.44,96.49,96.52,96.39,96.5,12-Jun-24,16:26
GOPFB-,19-Oct-28,SEMI ANN,0,96.79,96.84,96.87,96.74,96.82,96.85,96.84,96.83,12-Jun-24,16:26
GOPFB-,14-Dec-28,SEMI ANN,0,96.7,96.61,96.44,96.79,96.83,96.65,96.41,96.64,12-Jun-24,16:26
GOPFB-,7-Feb-29,SEMI ANN,0,96.05,96.19,96.33,96.48,96.19,96.15,96.01,96.18,12-Jun-24,16:26
GOPFB-,21-Feb-29,SEMI ANN,0,98.18,98.35,98.1,98.24,98.29,98.3,98.19,98.24,12-Jun-24,16:26
