,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,MAX,MIN,AVERAGE
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,95.1,95.25,95.70,95.25,0,95.07,95.29,95.50,95.7,0,95.24
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,94.95,94.9,95.73,94.92,0,94.85,95.32,94.92,95.73,0,94.98
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,95.55,95.45,95.60,95.35,0,95.25,95.5,95.52,95.6,0,95.44
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,95.6,95.25,95.16,95.3,0,95.35,95.32,95.26,95.6,0,95.27
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,95.5,95.4,95.37,95.35,0,95.35,95.51,95.48,95.51,0,95.41
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,95.55,95.45,95.44,95.44,0,95.35,95.59,95.58,95.59,0,95.47
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,95.55,95.5,95.59,95.63,0,95.35,95.59,95.63,95.63,0,95.54
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,95.35,95.3,95.78,95.3,0,95.35,95.79,95.24,95.79,0,95.39
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,95.4,95.2,95.24,95.3,0,95.35,95.23,95.16,95.4,0,95.25
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,95.45,95.3,95.11,95.3,0,95.25,95.43,95.89,95.89,0,95.31
PIB-FRB-12,18-Jun-20,18-Jun-25,Half-Yearly,98.75,98.64,98.43,98.6,0,98.57,98.58,98.60,98.75,0,98.57
PIB-FRB-13,18-Jun-20,18-Jun-30,Half-Yearly,94.21,95.25,95.15,95.2,0,95.2,95.16,95.23,95.25,0,95.03
PIB-FRB-14,22-Oct-20,22-Oct-23,Quarterly,99.91,99.89,99.90,99.82,0,99.9,99.9,99.90,99.91,0,99.89
PIB-FRB-15,22-Oct-20,22-Oct-25,Quarterly,97,97,97.43,96.9,0,96.89,96.96,96.94,97.43,0,96.95
PIB-FRB-16,22-Oct-20,22-Oct-30,Quarterly,93.8,93.65,93.50,93.75,0,93.5,93.66,93.72,93.8,0,93.63
PIB-FRB-17,31-Dec-20,31-Dec-23,Half-Yearly,99.2,99.1,99.15,98.9,0,98.75,99.13,99.49,99.49,0,99.04
PIB-FRB-18,6-May-21,6-May-26,Half-Yearly,96.69,96.59,96.69,96.7,0,96.67,96.69,96.67,96.7,0,96.67
PIB-FRB-19,26-Aug-21,26-Aug-23,Quarterly,99.82,99.81,99.82,99.81,0,99.84,99.82,99.82,99.84,0,99.82
PIB-FRB-20,7-Oct-21,7-Oct-24,Quarterly,98.69,98.57,98.68,98.56,0,98.5,98.58,98.53,98.69,0,98.57
PIB-FRB-21,30-Dec-21,30-Dec-23,Quarterly,99.69,99.73,99.72,99.73,0,99.72,99.72,99.74,99.74,0,99.72
PIB-FRB-22,7-Apr-22,7-Apr-25,Quarterly,97.75,98.1,97.90,97.75,0,97.7,97.9,97.81,98.1,0,97.80
PIB-FRB-23,8-Sep-22,8-Sep-25,Quarterly,97.44,97.44,97.48,97.44,0,97.45,97.45,97.44,97.48,0,97.44
PIB-FRB-24,8-Sep-22,8-Sep-24,Quarterly,99.04,99.1,99.02,99.04,0,99.12,99.05,98.89,99.12,0,99.02
PIB-FRB-25,4-Nov-21,4-Nov-31,Half-Yearly,93,92.8,92.44,92.55,0,92.79,92.82,93.03,93.03,0,92.73
PIB-FRB-26,17-Nov-22,17-Nov-27,Half-Yearly,95.1,94.89,94.85,94.9,0,94.9,94.89,94.92,95.1,0,94.89
PIB-FRB-27,9-Feb-23,9-Feb-25,Quarterly,98.65,98.8,98.77,98.56,0,98.81,98.81,98.74,98.81,0,98.72
PIB-FRB-28,9-Feb-23,9-Feb-26,Quarterly,97.1,97.22,97.17,97.14,0,97.22,97.19,97.22,97.22,0,97.17
PIB-FRB-29,6-Apr-23,6-Apr-25,Quarterly,98.46,98.69,98.62,98.61,0,98.66,98.69,98.66,98.69,0,98.62
PIB-FRB-30,6-Apr-23,6-Apr-28,Semiannually,94.7,94.47,94.62,94.54,0,94.62,94.62,94.70,94.7,0,94.60
