GOPFB Fixing,,,,,,,,,,
Government of Pakistan Floating Bond Rates,,,,,,,,,,
Updated at 17:15:00 Dated 2022-02-15,,,,,,,,,,
User,Coupon Frequency,BMA,C&M,CMKA,IONE,JSCM,MCPL,SCPL,VCPL,Fma
GOPFB-31-05-2028,Half-Yearly,99.25,99.25,99.25,99.25,99.3,99.17,99.25,99.19,99.24
GOPFB-28-06-2028,Half-Yearly,99.23,99.23,99.23,99.25,99.24,99.24,99.25,99.21,99.24
GOPFB-09-08-2028,Half-Yearly,100.13,100.14,100.14,100.1,100.1,100.14,100.18,100.11,100.13
GOPFB-21-02-2029,Half-Yearly,100.1,100.14,100.14,100.1,100.1,100.14,100.19,100.11,100.12
GOPFB-21-03-2029,Half-Yearly,100.14,100.14,100.14,100.1,100.1,100.14,100.19,100.12,100.13
GOPFB-18-04-2029,Half-Yearly,100.14,100.14,100.14,100.15,100.14,100.14,100.19,100.12,100.14
GOPFB-30-05-2029,Half-Yearly,100.16,100.14,100.17,100.15,100.17,100.14,100.17,100.12,100.16
GOPFB-27-06-2029,Half-Yearly,100.45,100.38,100.37,100.4,100.33,100.38,100.42,100.35,100.38
GOPFB-25-07-2029,Half-Yearly,100.47,100.39,100.41,100.4,100.37,100.39,100.49,100.37,100.41
GOPFB-22-08-2029,Half-Yearly,100.44,100.43,100.41,100.4,100.38,100.43,100.49,100.39,100.42
GOPFB-19-06-2023,Half-Yearly,100.16,100.16,100.16,100.32,100.16,100.16,100.16,100.15,100.16
GOPFB-18-06-2025,Half-Yearly,100.1,100.1,100.08,100.35,100.1,100.1,100.07,100.11,100.1
GOPFB-18-06-2030,Half-Yearly,99.96,99.98,100.02,99.5,100.11,99.98,100.18,99.98,100.01
GOPFB-22-10-2023,Quarterly,99.14,99.15,99.13,99.25,99.14,99.15,99.12,99.13,99.14
GOPFB-22-10-2025,Quarterly,98.25,98.18,98.24,98.24,98.29,98.18,98.25,98.21,98.23
GOPFB-22-10-2030,Quarterly,95.9,96.27,95.9,95.85,95.84,96.27,95.82,95.85,95.94
GOPFB-05-11-2022,Quarterly,99.75,99.78,99.78,99.75,99.75,99.78,99.75,99.75,99.76
GOPFB-31-12-2023,Half-Yearly,98.97,98.96,98.95,98.85,99,98.96,98.95,98.9,98.95
GOPFB-06-05-2026,Half-Yearly,98.04,98.07,98.04,98,98.05,98.07,98.02,98,98.04
GOPFB-26-08-2023,Quarterly,99.35,99.3,99.35,99.3,99.35,99.3,99.35,99.3,99.33
GOPFB-07-10-2024,Quarterly,98.47,98.5,98.47,98.48,98.37,98.39,98.48,98.47,98.46
GOPFB-30-12-2023,Quarterly,99.14,99.17,99.14,99.12,99.12,99.17,99.18,99.13,99.15
