Bond Code,Price,Net Change,,,
PIBFR10YQ2030-10-22,96.04,0.22,,,
PIBFR10YQ2033-12-14,94.61,0.56,,,
PIBFR10YS2028-05-31,99.12,-0.13,,,
PIBFR10YS2028-06-28,99.18,-0.03,,,
PIBFR10YS2028-08-09,99.22,0.07,,,
PIBFR10YS2029-02-21,99.09,0.00,,,
PIBFR10YS2029-03-21,98.88,0.01,,,
PIBFR10YS2029-04-18,98.77,0.00,,,
PIBFR10YS2029-05-30,98.41,-0.01,,,
PIBFR10YS2029-06-27,98.62,-0.08,,,
PIBFR10YS2029-07-25,98.52,-0.03,,,
PIBFR10YS2029-08-22,99.12,0.14,,,
PIBFR10YS2030-06-18,100.09,-0.11,,,
PIBFR10YS2031-11-04,96.49,0.23,,,
PIBFR10YS2034-02-07,94.45,0.43,,,
PIBFR10YS2034-04-18,94.75,0.45,,,
PIBFR10YS2034-09-05,94.44,0.67,,,
PIBFR10YS2034-10-03,94.19,0.55,,,
PIBFR10YS2034-11-14,94.41,0.39,,,
PIBFR10YS2034-12-12,94.50,0.66,,,
PIBFR10YS2035-01-09,94.49,0.87,,,
PIBFR10YS2035-04-17,94.89,1.09,,,
PIBFR2YQ2025-09-21,99.94,0.06,,,
PIBFR2YS2026-10-03,99.71,-0.05,,,
PIBFR2YS2027-01-09,99.79,-0.02,,,
PIBFR3YQ2025-09-08,99.92,0.01,,,
PIBFR3YQ2026-02-09,99.77,0.02,,,
PIBFR3YQ2026-09-21,99.30,0.06,,,
PIBFR3YQ2026-10-19,99.43,-0.03,,,
PIBFR3YQ2027-02-07,99.07,0.07,,,
PIBFR5YQ2025-10-22,99.78,0.01,,,
PIBFR5YS2025-06-18,100.09,0.04,,,
PIBFR5YS2026-05-06,100.12,0.03,,,
PIBFR5YS2027-11-17,98.66,0.02,,,
PIBFR5YS2028-04-06,98.53,0.24,,,
PIBFR5YS2028-08-10,97.98,0.19,,,
PIBFR5YS2028-09-21,98.04,0.28,,,
PIBFR5YS2028-10-19,98.21,0.19,,,
PIBFR5YS2028-12-14,97.78,0.12,,,
PIBFR5YS2029-02-07,97.74,0.12,,,
PIBFR5YS2029-04-18,98.06,0.31,,,
PIBFR5YS2029-06-27,97.75,0.31,,,
PIBFR5YS2029-09-05,97.56,0.27,,,
PIBFR5YS2029-10-03,97.60,0.31,,,
PIBFR5YS2029-11-14,97.67,0.22,,,
PIBFR5YS2029-12-12,97.55,0.41,,,
PIBFR5YS2030-01-09,97.54,0.32,,,
PIBFR5YS2030-04-17,97.71,0.28,,,
