Government of Pakistan Floating Bond Rates,,,,,,,,,,
Updated at 17:15:00 Dated 2022-12-15,,,,,,,,,,
,,,,,,,,,,
User,Coupon Frequency,AHL,BMA,CEL,CMKA,ICON,IONE,MCPL,VCPL,Fma
GOPFB-31-05-2028,Half-Yearly,98.10,98.14,98.14,97.89,96.45,98.24,98.00,98.11,98.06
GOPFB-28-06-2028,Half-Yearly,98.10,98.12,98.12,97.83,96.74,98.15,97.80,98.10,98.01
GOPFB-09-08-2028,Half-Yearly,98.75,98.83,98.84,98.50,97.26,98.85,98.25,98.81,98.66
GOPFB-21-02-2029,Half-Yearly,99.00,98.78,99.00,98.42,97.12,99.21,98.75,99.00,98.83
GOPFB-21-03-2029,Half-Yearly,98.80,98.78,98.85,98.41,97.11,98.78,98.50,98.80,98.68
GOPFB-18-04-2029,Half-Yearly,98.80,98.79,98.80,98.40,97.10,98.79,98.25,98.80,98.64
GOPFB-30-05-2029,Half-Yearly,98.80,98.75,98.75,98.44,97.04,98.80,98.20,98.75,98.62
GOPFB-27-06-2029,Half-Yearly,98.95,98.92,98.90,98.60,97.20,98.96,98.20,98.90,98.75
GOPFB-25-07-2029,Half-Yearly,98.90,98.94,98.90,98.58,97.21,98.95,98.20,98.90,98.74
GOPFB-22-08-2029,Half-Yearly,99.00,98.90,98.90,98.82,97.19,98.93,98.30,98.90,98.79
GOPFB-19-06-2023,Half-Yearly,99.95,99.91,99.96,99.97,99.94,100.00,100.00,100.10,99.97
GOPFB-18-06-2025,Half-Yearly,99.50,99.96,99.95,99.67,98.53,99.95,99.50,99.90,99.75
GOPFB-18-06-2030,Half-Yearly,99.25,98.69,98.85,98.71,96.99,98.68,98.10,98.80,98.64
GOPFB-22-10-2023,Quarterly,98.50,99.26,99.38,99.36,99.33,99.35,99.20,99.25,99.29
GOPFB-22-10-2025,Quarterly,96.35,98.17,98.25,97.86,97.27,98.17,97.90,98.25,97.94
GOPFB-22-10-2030,Quarterly,97.00,96.61,96.60,96.07,93.97,96.70,96.00,96.60,96.43
GOPFB-31-12-2023,Half-Yearly,99.00,99.02,99.00,99.00,99.05,99.00,98.90,99.00,99.00
GOPFB-06-05-2026,Half-Yearly,96.75,96.74,96.73,96.65,96.50,96.44,96.10,96.60,96.61
GOPFB-26-08-2023,Quarterly,99.55,99.52,99.33,99.53,99.41,99.52,99.10,99.41,99.45
GOPFB-07-10-2024,Quarterly,98.30,98.29,98.34,98.30,98.41,98.35,98.10,98.26,98.31
GOPFB-30-12-2023,Quarterly,93.50,99.30,99.36,99.34,99.36,99.30,99.10,99.25,99.28
GOPFB-07-04-2025,Quarterly,97.90,97.90,97.82,97.90,97.95,97.89,97.80,97.80,97.87
GOPFB-08-09-2025,Quarterly,97.70,97.70,97.83,97.76,97.73,97.81,97.70,97.71,97.74
GOPFB-08-09-2024,Quarterly,98.95,98.94,98.99,98.97,98.97,99.01,98.94,98.94,98.96
GOPFB-04-11-2031,Half-Yearly,93.60,93.67,93.84,93.65,93.67,93.66,93.64,93.50,93.65
GOPFB-17-11-2027,Half-Yearly,95.42,95.42,95.49,95.42,95.36,95.42,96.42,95.51,95.45
