,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,,MAX,MIN,AVERAGE,,
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,95.100,95.000,95.590,95.050,94.460,95.070,95.050,94.460,,95.59,94.46,94.96,,
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,94.950,94.850,94.930,94.850,94.920,94.850,94.930,94.920,,94.95,94.85,94.90,,
PIB-FRB-3,09-Aug-18,09-Aug-28,Half-Yearly,95.550,95.400,95.530,95.300,95.520,95.250,95.430,95.520,,95.55,95.25,95.45,,
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,95.600,95.250,95.100,95.300,95.260,95.350,95.260,95.260,,95.6,95.1,95.28,,
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,95.500,95.300,95.330,95.350,95.480,95.350,95.480,95.480,,95.5,95.3,95.41,,
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,95.550,95.450,95.440,95.440,95.580,95.350,95.580,95.580,,95.58,95.35,95.51,,
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,95.550,95.350,95.630,95.300,95.630,95.350,95.630,95.630,,95.63,95.3,95.52,,
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,95.350,95.250,95.240,95.300,95.240,95.350,95.240,95.240,,95.35,95.24,95.27,,
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,95.400,95.250,95.160,95.300,95.160,95.350,95.160,95.160,,95.4,95.16,95.23,,
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,95.450,95.500,95.050,95.300,95.890,95.030,95.380,95.890,,95.89,95.03,95.43,,
PIB-FRB-11,18-Jun-20,18-Jun-23,Half-Yearly,99.910,99.950,0.000,99.900,99.940,99.950,99.950,99.940,,99.95,0,99.93,,
PIB-FRB-12,18-Jun-20,18-Jun-25,Half-Yearly,97.550,97.750,97.730,97.750,98.030,98.000,97.650,97.550,,98.03,97.55,97.74,,
PIB-FRB-13,18-Jun-20,18-Jun-30,Half-Yearly,94.750,94.500,94.320,94.400,95.230,94.440,94.500,95.230,,95.23,94.32,94.64,,
PIB-FRB-14,22-Oct-20,22-Oct-23,Quarterly,99.660,99.730,99.650,99.620,99.700,99.720,99.690,99.700,,99.73,99.62,99.69,,
PIB-FRB-15,22-Oct-20,22-Oct-25,Quarterly,97.000,97.000,97.230,96.900,96.940,96.890,96.970,96.940,,97.23,96.89,96.96,,
PIB-FRB-16,22-Oct-20,22-Oct-30,Quarterly,93.800,93.750,93.450,93.750,93.720,93.500,93.780,93.720,,93.8,93.45,93.70,,
PIB-FRB-17,31-Dec-20,31-Dec-23,Half-Yearly,99.200,99.000,99.040,98.900,98.920,98.500,98.940,98.920,,99.2,98.5,98.95,,
PIB-FRB-18,06-May-21,06-May-26,Half-Yearly,96.690,96.680,96.670,96.700,96.670,96.670,99.670,96.670,,99.67,96.67,96.68,,
PIB-FRB-19,26-Aug-21,26-Aug-23,Quarterly,99.760,99.760,99.760,99.730,99.760,99.790,99.770,99.760,,99.79,99.73,99.76,,
PIB-FRB-20,07-Oct-21,07-Oct-24,Quarterly,98.500,98.550,98.600,98.560,98.530,98.500,98.540,98.530,,98.6,98.5,98.54,,
PIB-FRB-21,30-Dec-21,30-Dec-23,Quarterly,99.520,99.560,99.550,99.520,99.560,99.580,99.550,99.570,,99.58,99.52,99.55,,
PIB-FRB-22,07-Apr-22,07-Apr-25,Quarterly,97.750,97.750,97.810,97.590,97.810,97.590,97.740,97.810,,97.81,97.59,97.74,,
PIB-FRB-23,08-Sep-22,08-Sep-25,Quarterly,97.250,97.420,97.440,97.440,97.440,97.600,97.440,97.440,,97.6,97.25,97.44,,
PIB-FRB-24,08-Sep-22,08-Sep-24,Quarterly,98.900,98.910,98.940,98.890,98.890,98.900,98.900,98.890,,98.94,98.89,98.90,,
PIB-FRB-25,04-Nov-21,04-Nov-31,Half-Yearly,93.000,92.750,92.460,92.550,93.030,92.490,92.800,93.030,,93.03,92.46,92.77,,
PIB-FRB-26,17-Nov-22,17-Nov-27,Half-Yearly,95.100,94.920,94.840,95.000,94.920,94.900,94.900,94.920,,95.1,94.84,94.93,,
PIB-FRB-27,09-Feb-23,09-Feb-25,Quarterly,98.500,98.580,98.620,98.560,98.560,98.620,98.580,98.560,,98.62,98.5,98.58,,
PIB-FRB-28,09-Feb-23,09-Feb-26,Quarterly,97.100,97.100,97.090,97.050,97.060,97.080,97.080,97.060,,97.1,97.05,97.08,,
PIB-FRB-29,06-Apr-23,06-Apr-25,Quarterly,98.460,98.520,98.540,98.510,98.490,98.540,98.540,98.490,,98.54,98.46,98.52,,
PIB-FRB-30,06-Apr-23,06-Apr-28,Semiannually,94.700,94.500,94.450,94.470,94.500,94.480,94.480,94.500,,94.7,94.45,94.49,,
