,Issue Date,Maturity date,Coupon Frequenc,AHL,ALFA,BMA,C&M,CEL,CMKA,ICON,IONE,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,99.96,0,99.95,99.73,99.96,99.73,100.07,100.07,,99.93
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,99.27,0,99.96,99.73,100.08,99.73,100.08,100.22,,99.92
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,98.9,0,100.46,99.97,100.46,100.11,100.46,100.46,,100.29
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,102.23,0,100.54,99.98,100.54,100.28,100.54,100.69,,100.52
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,98.67,0,100.55,100.27,100.55,99.68,100.55,100.53,,100.32
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.58,0,100.59,100.25,100.54,99.66,100.54,100.53,,100.3
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.51,0,100.6,99.96,100.55,99.66,100.55,100.25,,100.19
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.39,0,100.77,100.11,100.71,99.81,100.71,100.43,,100.35
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.52,0,100.74,100.43,100.74,99.98,100.77,100.78,,100.53
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,102.49,0,100.76,100.45,100.76,100.77,100.7,100.77,,100.75
PIB-FRB-11,18-Jun-20,18-Jun-30,Half-Yearly,99.6,0,100.68,100.68,100.68,100.68,100.5,101,,100.64
PIB-FRB-12,22-Oct-20,22-Oct-25,Quarterly,99.93,0,99.9,99.97,99.97,99.94,99.94,97.47,,99.94
PIB-FRB-13,22-Oct-20,22-Oct-30,Quarterly,97.32,0,97.85,97.29,97.88,97.7,97.7,99.96,,97.69
PIB-FRB-14,6-May-21,6-May-26,Half-Yearly,100.1,0,100.09,99.99,100.03,100.06,100.02,100.09,,100.06
PIB-FRB-15,4-Nov-21,4-Nov-31,Half-Yearly,97.04,0,97.45,97.46,97.65,97.49,97.45,97.62,,97.49
PIB-FRB-16,17-Nov-22,17-Nov-27,Half-Yearly,99.5,0,99.49,99.21,99.63,99.5,99.46,99.49,,99.49
PIB-FRB-17,9-Feb-23,9-Feb-26,Quarterly,99.97,0,99.9,99.95,99.95,99.95,99.95,99.89,,99.94
PIB-FRB-18,6-Apr-23,6-Apr-28,Half-Yearly,99.13,0,99.02,99.02,99.02,99.02,99.01,99.02,,99.02
