,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,98.10,0.00,98.11,98.05,98.05,97.75,97.88,98.00,,98.02
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,98.00,0.00,98.15,98.00,97.97,97.75,97.92,97.95,,97.97
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,97.90,0.00,98.75,98.45,98.47,98.10,98.42,98.45,,98.38
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,97.80,0.00,98.64,98.35,98.38,98.10,98.30,98.37,,98.30
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,97.70,0.00,99.08,98.35,98.43,98.35,98.43,98.40,,98.39
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.30,0.00,98.56,98.40,98.44,98.10,98.38,98.42,,98.39
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.05,0.00,98.43,98.40,98.44,98.10,98.39,98.42,,98.35
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.15,0.00,98.63,98.45,98.52,98.15,98.44,98.50,,98.41
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.47,0.00,98.70,98.50,98.49,98.15,98.46,98.49,,98.48
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,98.02,0.00,98.70,98.40,98.47,98.15,98.37,98.35,,98.35
PIB-FRB-11,18-Jun-20,18-Jun-25,Half-Yearly,99.32,0.00,99.44,99.40,99.32,99.35,99.31,99.32,,99.34
PIB-FRB-12,18-Jun-20,18-Jun-30,Half-Yearly,98.21,0.00,98.26,98.45,98.54,98.20,98.28,98.50,,98.34
PIB-FRB-13,22-Oct-20,22-Oct-25,Quarterly,97.00,0.00,98.58,98.45,98.43,98.35,98.41,98.42,,98.41
PIB-FRB-14,22-Oct-20,22-Oct-30,Quarterly,94.82,0.00,94.99,94.70,94.60,95.00,94.65,94.60,,94.75
PIB-FRB-15,6-May-21,6-May-26,Half-Yearly,98.52,0.00,98.45,98.35,98.48,98.46,98.39,98.47,,98.45
PIB-FRB-16,7-Oct-21,7-Oct-24,Quarterly,99.58,0.00,99.47,99.42,99.46,99.48,99.46,99.45,,99.46
PIB-FRB-17,7-Apr-22,7-Apr-25,Quarterly,99.05,0.00,99.06,99.00,99.02,98.97,99.02,99.01,,99.02
PIB-FRB-18,8-Sep-22,8-Sep-25,Quarterly,98.50,0.00,98.73,98.70,98.67,98.79,98.69,98.66,,98.69
PIB-FRB-19,8-Sep-22,8-Sep-24,Quarterly,99.16,0.00,99.44,99.25,99.29,99.27,99.32,99.28,,99.28
PIB-FRB-20,4-Nov-21,4-Nov-31,Half-Yearly,95.50,0.00,95.50,95.60,95.50,95.43,95.50,95.51,,95.50
PIB-FRB-21,17-Nov-22,17-Nov-27,Half-Yearly,97.32,0.00,97.32,97.10,97.39,96.82,97.34,97.38,,97.29
PIB-FRB-22,9-Feb-23,9-Feb-25,Quarterly,99.19,0.00,99.13,99.00,99.00,98.87,99.02,98.99,,99.03
PIB-FRB-23,9-Feb-23,9-Feb-26,Quarterly,98.39,0.00,98.49,98.40,98.43,98.27,98.36,98.40,,98.40
PIB-FRB-24,6-Apr-23,6-Apr-25,Quarterly,99.14,0.00,99.02,99.00,98.96,98.47,98.94,98.95,,98.97
PIB-FRB-25,6-Apr-23,6-Apr-28,Semiannually,97.15,0.00,97.40,97.25,97.39,97.26,97.27,97.38,,97.31
PIB-FRB-26,10-Aug-23,10-Aug-28,Semiannually,96.96,0.00,97.32,97.15,97.13,97.10,97.12,97.13,,97.13
PIB-FRB-27,21-Sep-23,21-Sep-25,Quarterly,99.02,0.00,98.69,98.65,98.66,98.66,98.67,98.66,,98.67
PIB-FRB-28,21-Sep-23,21-Sep-26,Quarterly,98.05,0.00,98.15,98.15,98.19,98.15,98.15,98.19,,98.16
PIB-FRB-29,21-Sep-23,21-Sep-28,Semiannually,97.45,0.00,97.41,97.50,97.33,97.43,97.38,97.33,,97.40
PIB-FRB-30,19-Oct-23,19-Oct-26,Quarterly,98.13,0.00,98.27,98.35,98.38,98.14,98.27,98.38,,98.28
PIB-FRB-31,19-Oct-23,19-Oct-28,Semiannually,97.12,0.00,97.22,97.25,97.22,97.24,97.22,97.22,,97.22
PIB-FRB-32,14-Dec-23,14-Dec-28,Semiannually,96.59,0.00,96.85,97.05,96.82,96.82,96.85,96.82,,96.83
PIB-FRB-33,14-Dec-23,14-Dec-33,Semiannually,94.67,0.00,94.59,94.60,94.60,94.49,94.59,94.60,,94.60
