PKFRV 18 July 2023,,,,,,,,,,,,,,
,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,MAX,MIN,AVERAGE
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,95.1,95.25,95.69,95.25,95.58,95.07,95.29,95.50,95.69,95.07,95.33
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,94.95,94.9,95.72,94.92,94.92,94.85,95.31,94.92,95.72,94.85,94.99
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,95.55,95.45,95.62,95.3,95.52,95.25,95.52,95.52,95.62,95.25,95.48
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,95.6,95.25,95.18,95.3,95.26,95.35,95.33,95.26,95.6,95.18,95.29
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,95.5,95.4,95.38,95.35,95.48,95.35,95.37,95.48,95.5,95.35,95.41
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,95.55,95.45,95.45,95.44,95.58,95.35,95.45,95.58,95.58,95.35,95.49
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,95.55,95.5,95.59,95.6,95.63,95.35,95.59,95.63,95.63,95.35,95.58
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,95.35,95.3,95.78,95.35,95.24,95.35,95.63,95.24,95.78,95.24,95.37
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,95.4,95.2,95.25,95.35,95.16,95.35,95.25,95.16,95.4,95.16,95.26
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,95.45,95.3,95.12,95.35,95.89,95.25,95.45,95.89,95.89,95.12,95.45
PIB-FRB-12,18-Jun-20,18-Jun-25,Half-Yearly,98.75,98.64,98.42,98.6,98.6,98.57,98.57,98.60,98.75,98.42,98.60
PIB-FRB-13,18-Jun-20,18-Jun-30,Half-Yearly,96.43,95.25,95.14,95.25,96.44,95.2,95.15,95.23,96.44,95.14,95.42
PIB-FRB-14,22-Oct-20,22-Oct-23,Quarterly,99.91,99.89,99.91,99.9,99.9,99.9,99.9,99.90,99.91,99.89,99.90
PIB-FRB-15,22-Oct-20,22-Oct-25,Quarterly,97,97,97.45,96.9,96.94,96.89,96.96,96.94,97.45,96.89,96.96
PIB-FRB-16,22-Oct-20,22-Oct-30,Quarterly,93.8,93.65,93.51,93.75,93.72,93.5,93.67,93.72,93.8,93.5,93.67
PIB-FRB-17,31-Dec-20,31-Dec-23,Half-Yearly,99.2,99.1,99.14,98.9,99.49,98.75,99.14,99.49,99.49,98.75,99.16
PIB-FRB-18,6-May-21,6-May-26,Half-Yearly,96.69,96.59,96.70,96.7,96.67,96.67,96.7,96.67,96.7,96.59,96.68
PIB-FRB-19,26-Aug-21,26-Aug-23,Quarterly,99.82,99.82,99.82,99.81,99.82,99.83,99.82,99.82,99.83,99.81,99.82
PIB-FRB-20,7-Oct-21,7-Oct-24,Quarterly,98.69,98.57,98.69,98.56,98.53,98.5,98.58,98.53,98.69,98.5,98.58
PIB-FRB-21,30-Dec-21,30-Dec-23,Quarterly,99.69,99.72,99.73,99.73,99.73,99.73,99.73,99.74,99.74,99.69,99.73
PIB-FRB-22,7-Apr-22,7-Apr-25,Quarterly,97.75,97.9,97.91,97.85,97.81,97.7,97.9,97.81,97.91,97.7,97.84
PIB-FRB-23,8-Sep-22,8-Sep-25,Quarterly,97.44,97.44,97.49,97.45,97.44,97.45,97.46,97.44,97.49,97.44,97.45
PIB-FRB-24,8-Sep-22,8-Sep-24,Quarterly,99.04,99.22,99.03,99.22,99.22,99.22,99.23,99.22,99.23,99.03,99.19
PIB-FRB-25,4-Nov-21,4-Nov-31,Half-Yearly,93,92.8,92.44,92.8,93.03,92.79,92.82,93.03,93.03,92.44,92.87
PIB-FRB-26,17-Nov-22,17-Nov-27,Half-Yearly,95.1,94.89,94.85,94.9,94.92,94.9,94.9,94.92,95.1,94.85,94.91
PIB-FRB-27,9-Feb-23,9-Feb-25,Quarterly,98.65,98.81,98.78,98.91,98.74,98.81,98.79,98.74,98.91,98.65,98.78
PIB-FRB-28,9-Feb-23,9-Feb-26,Quarterly,97.1,97.23,97.18,97.22,97.22,97.22,97.2,97.22,97.23,97.1,97.21
PIB-FRB-29,6-Apr-23,6-Apr-25,Quarterly,98.46,98.66,98.62,98.61,98.66,98.66,98.66,98.66,98.66,98.46,98.65
PIB-FRB-30,6-Apr-23,6-Apr-28,Semiannually,94.7,94.63,94.63,94.8,94.76,94.76,94.71,94.70,94.8,94.63,94.71
