PKFRV 20-06-2023,,,,,,,,,,,,,,
,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,MAX,MIN,AVERAGE
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,95.1,95,95.58,95.05,94.46,95.07,95.04,94.46,95.58,94.46,94.95
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,94.95,94.9,94.94,94.85,94.92,94.85,94.94,94.92,94.95,94.85,94.91
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,95.55,95.4,95.54,95.4,95.52,95.25,95.44,95.52,95.55,95.25,95.47
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,95.6,95.25,95.11,95.3,95.26,95.35,95.27,95.26,95.6,95.11,95.28
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,95.5,95.3,95.33,95.35,95.48,95.35,95.48,95.48,95.5,95.3,95.41
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,95.55,95.45,95.43,95.44,95.58,95.35,95.58,95.58,95.58,95.35,95.51
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,95.55,95.35,95.62,95.3,95.63,95.35,95.62,95.63,95.63,95.3,95.52
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,95.35,95.25,95.26,95.3,95.24,95.35,95.25,95.24,95.35,95.24,95.28
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,95.4,95.25,95.17,95.3,95.16,95.35,95.17,95.16,95.4,95.16,95.23
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,95.45,95.5,95.06,95.3,95.89,95.03,95.39,95.89,95.89,95.03,95.43
PIB-FRB-12,18-Jun-20,18-Jun-25,Half-Yearly,97.55,97.75,97.85,97.75,98.03,97.86,97.76,97.55,98.03,97.55,97.75
PIB-FRB-13,18-Jun-20,18-Jun-30,Half-Yearly,94.75,94.5,95.04,94.4,95.23,95.69,95.2,95.23,95.69,94.4,94.99
PIB-FRB-14,22-Oct-20,22-Oct-23,Quarterly,99.73,99.74,99.73,99.74,99.74,99.71,99.7,99.73,99.74,99.7,99.73
PIB-FRB-15,22-Oct-20,22-Oct-25,Quarterly,97,97,97.24,96.9,96.94,96.89,96.98,96.94,97.24,96.89,96.96
PIB-FRB-16,22-Oct-20,22-Oct-30,Quarterly,93.8,93.75,93.46,93.75,93.72,93.5,93.72,93.72,93.8,93.46,93.69
PIB-FRB-17,31-Dec-20,31-Dec-23,Half-Yearly,99.2,99,99.07,98.9,98.92,98.5,98.97,98.92,99.2,98.5,98.96
PIB-FRB-18,6-May-21,6-May-26,Half-Yearly,96.69,96.68,96.67,96.7,96.67,96.67,99.67,96.67,99.67,96.67,96.68
PIB-FRB-19,26-Aug-21,26-Aug-23,Quarterly,99.76,99.76,99.77,99.73,99.77,99.76,99.76,99.77,99.77,99.73,99.76
PIB-FRB-20,7-Oct-21,7-Oct-24,Quarterly,98.5,98.55,98.61,98.56,98.53,98.5,98.56,98.53,98.61,98.5,98.54
PIB-FRB-21,30-Dec-21,30-Dec-23,Quarterly,99.52,99.55,99.56,99.52,99.57,99.57,99.55,99.57,99.57,99.52,99.55
PIB-FRB-22,7-Apr-22,7-Apr-25,Quarterly,97.75,97.75,97.83,97.75,97.81,97.59,97.76,97.81,97.83,97.59,97.77
PIB-FRB-23,8-Sep-22,8-Sep-25,Quarterly,97.44,97.42,97.45,97.44,97.44,97.6,97.44,97.44,97.6,97.42,97.44
PIB-FRB-24,8-Sep-22,8-Sep-24,Quarterly,98.9,98.89,98.95,98.89,98.89,98.9,98.9,98.89,98.95,98.89,98.90
PIB-FRB-25,4-Nov-21,4-Nov-31,Half-Yearly,93,92.75,92.46,92.55,93.03,92.79,92.8,93.03,93.03,92.46,92.82
PIB-FRB-26,17-Nov-22,17-Nov-27,Half-Yearly,95.1,94.91,94.84,94.9,94.92,94.9,94.92,94.92,95.1,94.84,94.91
PIB-FRB-27,9-Feb-23,9-Feb-25,Quarterly,98.5,98.58,98.63,98.56,98.56,98.62,98.59,98.56,98.63,98.5,98.58
PIB-FRB-28,9-Feb-23,9-Feb-26,Quarterly,97.1,97.1,97.09,97.05,97.06,97.1,97.09,97.06,97.1,97.05,97.08
PIB-FRB-29,6-Apr-23,6-Apr-25,Quarterly,98.46,98.54,98.55,98.51,98.49,98.55,98.54,98.49,98.55,98.46,98.52
PIB-FRB-30,6-Apr-23,6-Apr-28,Semiannually,94.7,94.5,94.46,94.47,94.5,94.48,94.48,94.50,94.7,94.46,94.49
