,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,C&M,CEL,ICON,IONE,PCPL,VCPL,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,98.15,0,98.13,0,98.04,98.05,98.05,98.18,,98.1
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,98.23,0,98.11,0,97.99,98,98,98.23,,98.09
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,98.3,0,98.65,0,98.48,98.29,98.3,98.42,,98.41
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,98.2,0,98.59,0,98.37,98.29,98.2,98.32,,98.33
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,98.15,0,98.5,0,98.46,98.14,98.15,98.3,,98.28
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.5,0,98.47,0,98.4,98.16,98.4,98.52,,98.41
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.1,0,98.44,0,98.32,98.24,98.2,98.26,,98.26
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.15,0,98.57,0,98.41,98.15,98.15,98.22,,98.28
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.4,0,98.6,0,98.44,98.15,98.3,98.39,,98.38
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,98.1,0,98.64,0,98.42,98.05,98.35,98.42,,98.33
PIB-FRB-11,18-Jun-20,18-Jun-25,Half-Yearly,99.95,0,100.18,0,100.24,100.2,100.15,100.2,,100.15
PIB-FRB-12,18-Jun-20,18-Jun-30,Half-Yearly,98.42,0,98.48,0,98.9,98.74,98.5,98.74,,98.63
PIB-FRB-13,22-Oct-20,22-Oct-25,Quarterly,98.3,0,98.39,0,99.02,98.34,98.4,98.5,,98.49
PIB-FRB-14,22-Oct-20,22-Oct-30,Quarterly,94.9,0,94.95,0,95.41,94.94,95,95.31,,95.09
PIB-FRB-15,6-May-21,6-May-26,Half-Yearly,98.87,0,98.8,0,99.37,99.3,99.36,99.39,,99.18
PIB-FRB-16,7-Oct-21,7-Oct-24,Quarterly,99.94,0,99.94,0,99.96,99.99,99.93,99.98,,99.96
PIB-FRB-17,7-Apr-22,7-Apr-25,Quarterly,99.55,0,99.5,0,99.63,99.71,99.55,99.75,,99.62
PIB-FRB-18,8-Sep-22,8-Sep-25,Quarterly,99.35,0,99.18,0,99.34,99.47,99.38,99.32,,99.34
PIB-FRB-19,4-Nov-21,4-Nov-31,Half-Yearly,95.6,0,96.24,0,99.24,96.27,96.41,96.27,,96.67
PIB-FRB-20,17-Nov-22,17-Nov-27,Half-Yearly,97.3,0,97.55,0,97.8,97.9,97.52,97.62,,97.62
PIB-FRB-21,9-Feb-23,9-Feb-25,Quarterly,99.29,0,99.39,0,99.43,99.3,99.3,99.49,,99.37
PIB-FRB-22,9-Feb-23,9-Feb-26,Quarterly,98.55,0,98.73,0,98.84,99.04,98.73,98.82,,98.79
PIB-FRB-23,6-Apr-23,6-Apr-25,Quarterly,99.15,0,99.19,0,99.18,99.16,99.15,99.22,,99.18
PIB-FRB-24,6-Apr-23,6-Apr-28,Half-Yearly,97.23,0,97.24,0,97.31,97.35,97.04,97.3,,97.25
PIB-FRB-25,10-Aug-23,10-Aug-28,Half-Yearly,97.2,0,97.42,0,97.55,97.81,97.4,97.5,,97.48
PIB-FRB-26,21-Sep-23,21-Sep-25,Quarterly,98.75,0,98.8,0,98.66,98.82,98.78,98.8,,98.77
PIB-FRB-27,21-Sep-23,21-Sep-26,Quarterly,98.2,0,98.3,0,98.4,98.72,98.32,98.38,,98.39
PIB-FRB-28,21-Sep-23,21-Sep-28,Half-Yearly,97.6,0,97.45,0,97.57,97.52,97.62,97.46,,97.54
PIB-FRB-29,19-Oct-23,19-Oct-26,Quarterly,98.28,0,98.45,0,98.45,98.67,98.35,98.42,,98.44
PIB-FRB-30,19-Oct-23,19-Oct-28,Half-Yearly,96.77,0,96.95,0,97.08,97.07,96.72,96.82,,96.9
PIB-FRB-31,14-Dec-23,14-Dec-28,Half-Yearly,96.88,0,97.16,0,97.16,97.84,97.02,97.08,,97.19
PIB-FRB-32,14-Dec-23,14-Dec-33,Half-Yearly,94.52,0,94.85,0,94.89,95.17,94.65,94.62,,94.78
PIB-FRB-33,7-Feb-24,7-Feb-29,Half-Yearly,96.33,0,97.24,0,97.29,97.78,97.15,97.34,,97.19
PIB-FRB-34,7-Feb-24,7-Feb-34,Half-Yearly,94.5,0,95.08,0,94.79,95.29,94.65,94.85,,94.86
PIB-FRB-35,18-Apr-24,18-Apr-29,Half-Yearly,96.87,0,96.96,0,96.87,96.86,97,96.55,,96.85
PIB-FRB-36,18-Apr-24,18-Apr-34,Half-Yearly,95.08,0,94.85,0,95.1,95.69,94.9,95.84,,95.24
PIB-FRB-37,27-Jun-24,27-Jun-29,Half-Yearly,97.03,0,97.38,0,97.24,97.53,97.1,97.52,,97.3
PIB-FRB-38,5-Sep-24,5-Sep-29,Half-Yearly,96.77,0,97.13,0,97.13,97.43,97.44,97.19,,97.18
PIB-FRB-39,5-Sep-24,5-Sep-34,Half-Yearly,94.05,0,94.26,0,94.46,95.07,94.3,94.6,,94.46
