,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,BMA,C&M,CEL,CMKA,ICON,IONE,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,99.37,0,99.8,99.28,99.5,99.49,99.85,98.64,,99.49
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,99.25,0,100.15,99.23,99.6,99.5,100.1,98.6,,99.54
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,98.87,0,100.55,98.99,99.65,99.61,100.61,99.3,,99.62
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,98.57,0,100.45,98.79,99.53,99.41,100.4,99,,99.43
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,98.59,0,100.4,98.49,99.3,99.24,100.39,98.7,,99.24
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.51,0,100.45,98.48,99.25,99.23,100.39,98.55,,99.19
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.47,0,100.5,98.3,99.15,99.06,100.42,98.24,,99.08
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.36,0,100.6,98.28,98.9,99.21,100.6,98.2,,99.07
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.53,0,100.61,98.38,99.25,99.22,100.62,98.3,,99.2
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,99.51,0,100.65,98.52,99.8,99.66,100.6,99.62,,99.84
PIB-FRB-11,18-Jun-20,18-Jun-30,Half-Yearly,99.61,0,100.7,100.73,100.72,100.71,100.53,101.08,,100.68
PIB-FRB-12,22-Oct-20,22-Oct-25,Quarterly,99.86,0,100.1,100,99.99,100,99.91,99.55,,99.95
PIB-FRB-13,22-Oct-20,22-Oct-30,Quarterly,97.27,0,97.68,97.27,97.5,97.46,97.66,95.6,,97.43
PIB-FRB-14,6-May-21,6-May-26,Half-Yearly,100.12,0,100.2,100.18,100.23,100.14,100.1,100.15,,100.16
PIB-FRB-15,8-Sep-22,8-Sep-25,Quarterly,99.95,0,99.97,99.95,99.97,99.97,99.97,99.96,,99.96
PIB-FRB-16,4-Nov-21,4-Nov-31,Half-Yearly,96.98,0,97.39,97.18,97.39,97.2,96.98,97.39,,97.23
PIB-FRB-17,17-Nov-22,17-Nov-27,Half-Yearly,99.07,0,99.26,98.97,99.26,99.27,99.27,99.36,,99.23
PIB-FRB-18,9-Feb-23,9-Feb-26,Quarterly,99.73,0,99.87,99.83,99.86,99.86,99.89,99.82,,99.85
PIB-FRB-19,6-Apr-23,6-Apr-28,Half-Yearly,99.06,0,99.06,99.06,98.94,99.06,99.06,99.06,,99.06
PIB-FRB-20,10-Aug-23,10-Aug-28,Half-Yearly,98.74,0,98.7,98.43,98.59,98.68,98.91,98.7,,98.68
PIB-FRB-21,21-Sep-23,21-Sep-25,Quarterly,99.98,0,99.9,99.95,99.87,99.93,99.87,99.99,,99.93
PIB-FRB-22,21-Sep-23,21-Sep-26,Quarterly,99.35,0,99.7,99.69,99.6,99.67,99.72,99.69,,99.67
PIB-FRB-23,21-Sep-23,21-Sep-28,Half-Yearly,98.68,0,98.65,98.55,98.67,98.69,98.88,98.65,,98.67
PIB-FRB-24,19-Oct-23,19-Oct-26,Quarterly,99.26,0,99.7,99.67,99.6,99.66,99.71,99.6,,99.65
PIB-FRB-25,19-Oct-23,19-Oct-28,Half-Yearly,98.65,0,98.9,98.78,98.9,98.78,98.91,98.77,,98.83
PIB-FRB-26,14-Dec-23,14-Dec-28,Half-Yearly,98.6,0,98.6,98.46,98.46,98.49,98.85,98.45,,98.52
PIB-FRB-27,14-Dec-23,14-Dec-33,Half-Yearly,95.37,0,95.52,95.52,95.27,95.52,95.62,95.57,,95.5
PIB-FRB-28,7-Feb-24,7-Feb-29,Half-Yearly,98.58,0,98.45,97.96,98.42,98.43,98.58,98.4,,98.46
PIB-FRB-29,7-Feb-24,7-Feb-34,Half-Yearly,95.46,0,95.53,95.75,95.53,95.56,95.71,95.53,,95.57
PIB-FRB-30,18-Apr-24,18-Apr-29,Half-Yearly,98.5,0,98.55,98.44,98.49,98.5,98.64,98.62,,98.53
PIB-FRB-31,18-Apr-24,18-Apr-34,Half-Yearly,95.56,0,95.7,96.04,95.7,95.71,95.71,95.7,,95.7
PIB-FRB-32,27-Jun-24,27-Jun-29,Half-Yearly,98.43,0,98.43,98.43,98.37,98.4,98.4,98.42,,98.42
PIB-FRB-33,5-Sep-24,5-Sep-29,Half-Yearly,98.38,0,98.36,98.38,98.37,98.38,98.35,98.35,,98.37
PIB-FRB-34,5-Sep-24,5-Sep-34,Half-Yearly,95.16,0,95.4,95.63,95.4,95.41,95.52,95.34,,95.41
PIB-FRB-35,3-Oct-24,3-Oct-26,Half-Yearly,99.74,0,99.75,99.87,99.75,99.8,99.85,99.78,,99.79
PIB-FRB-36,3-Oct-24,3-Oct-29,Half-Yearly,98.35,0,98.33,98.26,98.26,98.23,98.23,98.33,,98.28
PIB-FRB-37,3-Oct-24,3-Oct-34,Half-Yearly,95.13,0,95.35,95.62,95.37,95.39,95.49,95.32,,95.38
PIB-FRB-38,7-Feb-24,7-Feb-27,Quarterly,99.3,0,99.55,99.62,99.44,99.44,99.55,98.8,,99.46
PIB-FRB-39,14-Nov-24,14-Nov-29,Half-Yearly,98.43,0,98.32,98.36,98.43,98.33,98.43,98.36,,98.38
PIB-FRB-40,14-Nov-24,14-Nov-34,Half-Yearly,95.15,0,95.51,95.93,95.66,95.57,95.57,95.66,,95.59
PIB-FRB-41,12-Dec-24,12-Dec-29,Half-Yearly,98.29,0,98.28,98.29,98.22,98.13,98.12,98.28,,98.24
PIB-FRB-42,12-Dec-24,12-Dec-34,Half-Yearly,95.1,0,95.09,95.78,95.09,95.2,95.2,95.41,,95.2
PIB-FRB-43,9-Jan-25,9-Jan-27,Half-Yearly,99.73,0,99.72,100,99.73,99.86,99.79,100,,99.82
PIB-FRB-44,9-Jan-25,9-Jan-30,Half-Yearly,98.28,0,98.21,98.11,98.18,98.11,98.11,97.96,,98.14
PIB-FRB-45,9-Jan-25,9-Jan-35,Half-Yearly,95.21,0,95.24,95.86,95.36,95.26,95.16,95.21,,95.26
PIB-FRB-46,17-Apr-25,17-Apr-30,Half-Yearly,98.21,0,98.19,98.18,98.2,98.2,98.03,98.19,,98.19
PIB-FRB-47,17-Apr-25,17-Apr-35,Half-Yearly,95.45,0,95.55,95.13,95.55,95.4,95.13,95.22,,95.35
PIB-FRB-48,29-May-25,29-May-35,Half-Yearly,95.37,0,95.15,95.09,95.04,95.15,94.93,95.19,,95.12
PIB-FRB-49,10-Jul-25,10-Jul-35,Half-Yearly,94.8,0,94.68,94.85,94.8,94.63,94.68,94.62,,94.72
