Financial Markets Association of Pakistan,,,,,,,,,,,,,
"July 25, 2022",,,,,,,,,,,,,
PKFRV,,,,,,,,,,,,,
Revaluation Rates for PIB Floating Rate Bond (FRB),,,,,,,,,,,,,
,Issue Date,Maturity date,Coupon Frequency,AHL,BMA,CEL,CMKA,ICON,IONE,MCPL,VCPL,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,100.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,,100.00
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,100.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,,100.00
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,100.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,,100.00
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,100.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,,100.00
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,100.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,,100.00
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,100.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,,100.00
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,100.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,,100.00
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,100.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,,100.00
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,100.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,,100.00
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,100.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,,100.00
PIB-FRB-11,18-Jun-20,18-Jun-23,Half-Yearly,100.20,100.20,100.20,0.00,0.00,100.15,0.00,0.00,,100.19
PIB-FRB-12,18-Jun-20,18-Jun-25,Half-Yearly,99.98,99.95,99.95,0.00,0.00,99.95,0.00,0.00,,99.96
PIB-FRB-13,18-Jun-20,18-Jun-30,Half-Yearly,98.80,98.90,98.95,0.00,0.00,98.75,0.00,0.00,,98.85
PIB-FRB-14,22-Oct-20,22-Oct-23,Quarterly,99.30,99.26,99.20,0.00,0.00,99.25,0.00,0.00,,99.25
PIB-FRB-15,22-Oct-20,22-Oct-25,Quarterly,98.35,98.35,98.25,0.00,0.00,98.25,0.00,0.00,,98.30
PIB-FRB-16,22-Oct-20,22-Oct-30,Quarterly,96.70,96.60,96.60,0.00,0.00,96.60,0.00,0.00,,96.63
PIB-FRB-17,5-Nov-20,5-Nov-22,Quarterly,99.90,99.87,99.85,0.00,0.00,99.85,0.00,0.00,,99.87
PIB-FRB-18,31-Dec-20,31-Dec-23,Half-Yearly,99.00,99.00,99.00,0.00,0.00,99.00,0.00,0.00,,99.00
PIB-FRB-19,6-May-21,6-May-26,Half-Yearly,98.40,98.34,98.32,0.00,0.00,98.32,0.00,0.00,,98.35
PIB-FRB-20,26-Aug-21,26-Aug-23,Quarterly,99.40,99.40,99.33,0.00,0.00,99.35,0.00,0.00,,99.37
PIB-FRB-21,7-Oct-21,7-Oct-24,Quarterly,98.40,98.30,98.20,0.00,0.00,98.25,0.00,0.00,,98.29
PIB-FRB-22,30-Dec-21,30-Dec-23,Quarterly,99.18,99.18,99.17,0.00,0.00,99.15,0.00,0.00,,99.17
PIB-FRB-23,7-Apr-22,7-Apr-25,Quarterly,97.75,97.80,97.82,0.00,0.00,97.75,0.00,0.00,,97.78
