,Issue Date,Maturity date,Coupon Frequency,BMA,C&M,CMKA,IONE,JSCM,MCPL,SCPL,VCPL,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,99.24,99.20,99.25,99.25,99.15,99.25,99.25,99.21,,99.23
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,99.24,99.23,99.25,99.25,99.15,99.24,99.25,99.18,,99.23
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,100.11,100.10,100.10,100.10,100.10,100.13,100.18,100.07,,100.11
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,100.11,100.11,100.10,100.10,100.10,100.13,100.19,100.07,,100.11
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,100.10,100.11,100.10,100.10,100.10,100.14,100.19,100.07,,100.11
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,100.10,100.13,100.11,100.10,100.10,100.14,100.19,100.06,,100.11
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,100.13,100.14,100.14,100.15,100.10,100.15,100.17,100.10,,100.14
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,100.34,100.34,100.35,100.35,100.15,100.38,100.42,100.31,,100.35
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,100.34,100.34,100.34,100.35,100.15,100.41,100.41,100.33,,100.35
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,100.35,100.36,100.35,100.35,100.15,100.41,100.40,100.33,,100.36
PIB-FRB-11,18-Jun-20,18-Jun-23,Half-Yearly,100.27,100.30,100.28,100.30,100.25,100.03,100.30,100.25,,100.28
PIB-FRB-12,18-Jun-20,18-Jun-25,Half-Yearly,100.15,100.10,100.15,100.15,100.10,100.18,100.20,100.13,,100.14
PIB-FRB-13,18-Jun-20,18-Jun-30,Half-Yearly,99.86,99.98,99.85,99.85,99.70,99.85,99.84,99.81,,99.84
PIB-FRB-14,22-Oct-20,22-Oct-23,Quarterly,99.20,99.27,99.20,99.20,99.10,99.20,99.12,99.12,,99.17
PIB-FRB-15,22-Oct-20,22-Oct-25,Quarterly,98.25,98.36,98.25,98.25,99.20,98.25,98.25,98.20,,98.27
PIB-FRB-16,22-Oct-20,22-Oct-30,Quarterly,96.20,96.68,96.20,96.20,96.30,96.06,95.90,96.12,,96.18
PIB-FRB-17,5-Nov-20,5-Nov-22,Quarterly,99.85,99.86,99.84,99.86,99.85,99.87,99.72,99.85,,99.85
PIB-FRB-18,31-Dec-20,31-Dec-23,Half-Yearly,98.95,98.99,98.96,98.95,98.90,98.95,98.95,98.90,,98.94
PIB-FRB-19,6-May-21,6-May-26,Half-Yearly,98.15,98.39,98.13,98.10,98.15,98.08,98.02,98.05,,98.11
PIB-FRB-20,26-Aug-21,26-Aug-23,Quarterly,99.27,99.44,99.27,99.25,99.05,99.34,99.36,99.20,,99.28
PIB-FRB-21,7-Oct-21,7-Oct-24,Quarterly,98.36,98.17,98.31,98.30,98.25,99.17,98.20,98.30,,98.29
PIB-FRB-22,30-Dec-21,30-Dec-23,Quarterly,99.12,99.14,99.11,99.10,99.05,99.12,99.20,99.11,,99.12
PIB-FRB-23,7-Apr-22,7-Apr-25,Quarterly,97.52,97.39,97.56,97.55,97.60,97.66,97.63,97.50,,97.56
