PKFRV 30 Aug 2023,,,,,,,,,,,,,,
,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,MAX,MIN,AVERAGE
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,95.15,95.3,95.58,95.35,95.58,95.35,95.31,95.45,95.58,95.15,95.39
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,94.95,94.9,95.56,95.1,94.92,94.85,95.29,94.95,95.56,94.85,95.02
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,95.55,96.36,96.34,96.25,95.52,95.5,95.94,95.52,96.36,95.5,95.85
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,95.55,95.25,96.19,96.15,95.26,95.35,95.62,95.25,96.19,95.25,95.53
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,95.5,95.45,95.64,95.5,95.48,95.45,95.49,95.47,95.64,95.45,95.48
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,95.55,95.5,95.67,95.6,95.58,95.5,95.52,95.58,95.67,95.5,95.56
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,95.55,95.5,95.59,95.58,95.63,95.55,95.59,95.62,95.63,95.5,95.58
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,95.35,95.3,95.73,95.4,95.24,95.4,95.44,95.25,95.73,95.24,95.36
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,95.35,95.2,95.98,95.4,95.16,95.35,95.54,95.15,95.98,95.15,95.33
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,95.88,95.59,96.18,96.15,96.47,95.5,95.59,96.10,96.47,95.5,95.92
PIB-FRB-11,18-Jun-20,18-Jun-25,Half-Yearly,98.7,98.64,98.43,98.6,98.6,98.57,98.6,98.60,98.7,98.43,98.60
PIB-FRB-12,18-Jun-20,18-Jun-30,Half-Yearly,96.43,95.75,95.27,95.5,96.44,95.6,95.59,96.20,96.44,95.27,95.85
PIB-FRB-13,22-Oct-20,22-Oct-23,Quarterly,99.9,99.84,99.82,99.85,99.85,99.84,99.87,99.85,99.9,99.82,99.85
PIB-FRB-14,22-Oct-20,22-Oct-25,Quarterly,97,97,97.57,97,96.94,96.89,96.94,96.95,97.57,96.89,96.97
PIB-FRB-15,22-Oct-20,22-Oct-30,Quarterly,93.8,93.65,93.65,93.65,93.72,93.5,93.65,93.73,93.8,93.5,93.68
PIB-FRB-16,31-Dec-20,31-Dec-23,Half-Yearly,99.2,99.2,99.26,99.2,99.49,98.75,99.27,99.40,99.49,98.75,99.26
PIB-FRB-17,6-May-21,6-May-26,Half-Yearly,96.69,96.71,96.80,96.7,96.67,96.57,96.7,96.65,96.8,96.57,96.69
PIB-FRB-18,7-Oct-21,7-Oct-24,Quarterly,98.69,98.64,98.73,98.65,98.53,98.77,98.77,98.60,98.77,98.53,98.68
PIB-FRB-19,30-Dec-21,30-Dec-23,Quarterly,99.73,99.7,99.70,99.71,99.69,99.7,99.7,99.70,99.73,99.69,99.70
PIB-FRB-20,7-Apr-22,7-Apr-25,Quarterly,97.75,97.8,98.07,97.85,97.81,98.2,97.88,97.85,98.2,97.75,97.88
PIB-FRB-21,8-Sep-22,8-Sep-25,Quarterly,97.44,97.44,97.70,97.45,97.44,97.45,97.46,97.45,97.7,97.44,97.45
PIB-FRB-22,8-Sep-22,8-Sep-24,Quarterly,99.28,99.27,99.29,99.29,99.3,99.32,99.32,99.30,99.32,99.27,99.30
PIB-FRB-23,4-Nov-21,4-Nov-31,Half-Yearly,93,92.9,92.49,92.95,93.03,92.79,92.93,93.00,93.03,92.49,92.93
PIB-FRB-24,17-Nov-22,17-Nov-27,Half-Yearly,95.1,94.94,94.96,94.95,94.92,95.03,94.96,94.95,95.1,94.92,94.97
PIB-FRB-25,9-Feb-23,9-Feb-25,Quarterly,98.94,98.86,98.85,98.9,98.95,98.91,98.83,98.90,98.95,98.83,98.89
PIB-FRB-26,9-Feb-23,9-Feb-26,Quarterly,97.35,97.39,97.36,97.36,97.34,97.34,97.36,97.35,97.39,97.34,97.35
PIB-FRB-27,6-Apr-23,6-Apr-25,Quarterly,98.68,98.69,98.71,98.72,98.69,98.7,98.69,98.70,98.72,98.68,98.70
PIB-FRB-28,6-Apr-23,6-Apr-28,Semiannually,94.68,94.74,94.73,94.75,94.71,94.77,94.75,94.71,94.77,94.68,94.73
PIB-FRB-29,10-Aug-23,10-Aug-28,Semiannually,94.62,94.61,94.60,94.6,94.51,94.61,94.6,94.60,94.62,94.51,94.60
