10:02 01FEB22    GOP Ijarah Sukuk Revaluation          PK99999            PKISRV,,,,,,,,,,
GOP IJARAH SUKUK:- <0#PKISRV=>                                                  ,,,,,,,,,,
,,,,,,,,,,
                 ,  BMA, C&M, CMK,  IONE,  JSCM, MCP,  SCPL, VCPL  ,Avg Rate,
,,,,,,,,,,
GOPIS 30-04-2025 ,96.50,96.42,96.40,96.00,96.40,96.50,96.50,96.35,96.43,
GOPIS 29-05-2025 ,100.20,100.20,100.20,100.20,100.20,100.20,100.00,100.20,100.20,
GOPIS 24-06-2025 ,100.10,100.10,100.10,99.90,100.00,100.10,100.10,100.10,100.08,
GOPISV-29-07-2025,100.20,100.10,100.10,100.40,100.50,99.80,100.00,100.10,100.16,
GOPISF-29-07-2025,96.00,96.00,96.00,95.75,95.75,96.00,96.00,96.00,95.96,
GOPISV-09-12-2025,100.50,100.40,100.50,100.75,100.70,100.25,100.45,100.65,100.54,
GOPISF-20-01-2026,97.00,97.00,97.00,96.75,97.00,97.00,97.00,97.00,97.00,
GOPISV-06-10-2026,99.25,99.26,99.25,99.15,99.20,99.40,99.40,99.35,99.29,
GOPISF-06-10-2026,98.00,97.90,98.00,99.75,98.00,98.00,98.25,98.00,98.04,
GOPISV-29-10-2026,99.60,99.45,99.50,99.40,99.50,99.52,99.65,99.65,99.54,
GOPISF-15-12-2026,102.20,102.00,102.00,102.50,102.20,102.25,102.75,102.50,102.28,
