10:03 01MAR23    GOP Ijarah Sukuk Revaluation          PK99999            PKISRV,,,,,,,,,,
GOP IJARAH SUKUK:- <0#PKISRV=>                                                  ,,,,,,,,,,
,,,,,,,,,,
                 ,  AHL, BMA, CEL,  CMKA,  ICON,IONE,  MCPL, VCPL  ,Avg Rate,
,,,,,,,,,,
GOPIS 30-04-2025 ,96.50,96.50,96.50,96.50,96.50,96.40,96.50,96.50,96.50,
GOPIS 29-05-2025 ,99.25,99.25,99.25,99.00,98.50,99.30,99.25,99.00,99.17,
GOPIS 24-06-2025 ,98.25,99.45,99.40,99.20,98.50,99.40,98.50,99.20,99.03,
GOPISV-29-07-2025,99.30,99.50,99.35,99.35,99.25,99.50,99.35,99.35,99.37,
GOPISF-29-07-2025,85.00,87.00,86.00,86.00,86.00,87.00,86.00,86.00,86.17,
GOPISV-09-12-2025,99.70,99.90,99.85,99.70,99.50,99.90,99.70,99.75,99.77,
GOPISV-05-01-2026,99.40,98.25,98.25,99.00,97.00,99.00,97.50,98.25,98.38,
GOPISF-20-01-2026,86.50,87.00,88.00,90.00,94.00,90.00,89.50,90.00,89.08,
GOPISV-06-10-2026,99.30,99.40,99.50,99.20,99.00,98.90,98.75,99.20,99.17,
GOPISF-06-10-2026,88.00,89.00,89.00,90.00,93.00,90.00,86.00,90.00,89.33,
GOPISV-29-10-2026,98.50,99.50,99.25,98.50,98.50,99.20,98.50,98.95,98.82,
GOPISF-15-12-2026,89.50,92.00,91.00,91.00,90.00,92.00,90.00,91.00,90.83,
GOPISF-27-04-2027,92.00,95.00,90.00,94.00,94.00,95.00,92.00,94.00,93.50,
GOPISV-27-04-2027,98.60,98.50,98.50,98.50,98.50,98.50,98.70,98.50,98.52,
GOPISV-26-10-2027,98.90,98.60,98.15,98.60,98.35,98.70,98.70,98.50,98.58,
GOPISF-16-11-2027,95.00,97.00,97.75,97.00,98.00,97.00,97.00,96.00,96.96,
                 ,      ,      ,       ,       ,      ,       ,       ,    <P,KNOTES>,
                 ,      ,      ,       ,       ,      ,       ,       ,      ,       ,
,,,,,,,,,,
,,,,,,,,,,
