,,,,,,,,,,
Name,,,AHL,C&M         ,CEL,ICON,IONE,PCPL,VCPL,Average
GOPISV-30-04-2025,,,100.95,100.85,100.9,100.65,0,100.9,100.5,100.79
GOPISV-29-05-2025,,,100.9,101,101,101,0,101,100.9,100.97
GOPISV-24-06-2025,,,101.1,101.2,101.2,101,0,101.2,101,101.12
GOPISV-29-07-2025,,,102.07,102.5,102.4,102.5,0,103,102.45,102.49
GOPISF-29-07-2025,,,98.15,97.8,97.5,98.5,0,98,98,97.99
GOPISV-09-12-2025,,,101.2,101,101,100.9,0,101.1,101,101.03
GOPISV-05-01-2026,,,100.95,101,101,100.5,0,101,100.95,100.9
GOPISF-20-01-2026,,,97.55,95,95.5,98,0,95.6,95.25,96.15
GOPISF-17-04-2026,,,107.68,107.5,107,108,0,108,107.75,107.66
GOPISF-26-06-2026,,,110.12,109,109.75,110,0,110,108.75,109.6
GOPISV-12-07-2026,,,102.5,102.5,103,101.5,0,102.7,102.75,102.49
GOPISV-06-10-2026,,,101.6,102,102.75,101.5,0,102.2,101.75,101.97
GOPISF-06-10-2026,,,97.17,95,94.5,95,0,95.2,95.25,95.35
GOPISV-29-10-2026,,,102.5,102.25,102.75,102,0,102.45,102.5,102.41
GOPISF-15-12-2026,,,101.54,101.25,101,101.1,0,101.1,101,101.17
GOPISF-27-04-2027,,,101.52,100.25,102,100.5,0,101.9,100.5,101.11
GOPISV-27-04-2027,,,103.5,103.5,103.1,103,0,103.25,103.5,103.31
GOPISV-26-10-2027,,,102.7,103,103.1,102.5,0,103.2,102.75,102.88
GOPISF-16-11-2027,,,101.37,99.5,99.75,100,0,99.85,99.75,100.04
GOPISV-26-06-2028,,,107,105.75,106,104.5,0,106,106,105.88
GOPISF-20-09-2028,,,111.86,110,110,109,0,110,110.25,110.19
GOPISV-04-12-2026,,,102.52,102.25,102,102,0,101.2,102.5,102.08
GOPISF-04-12-2026,,,106.62,106.5,106.5,107,0,106.7,106.75,106.68
GOPISV-04-12-2028,,,104.25,104.1,104,106,0,101.7,104.25,104.05
GOPISF-04-12-2028,,,110.78,109,109,108,0,112,109.25,109.67
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
