GOP Ijarah Sukuk Fixing,,,,,,,,,
GOP Ijarah Sukuk Rates,,,,,,,,,
Updated at 16:25:00 Dated 2022-02-03,,,,,,,,,
,,,,,,,,,
User,BMA,C&M,CMKA,IONE,JSCM,MCPL,SCPL,VCPL,Fma
GOPIS-20-30-04-2025,96.50,96.40,96.40,96.00,96.40,96.50,96.50,96.43,96.44
GOPIS-21-29-05-2025,100.20,100.20,100.20,100.20,100.20,100.20,100.00,100.20,100.20
GOPIS-22-24-06-2025,100.10,100.10,100.10,99.90,100.00,100.10,100.10,100.10,100.08
GOPIS-VRR-29-07-2025,100.40,100.13,100.15,100.15,100.30,100.30,99.75,100.10,100.19
GOPIS-FRR-29-07-2025,96.00,96.00,96.00,95.75,95.75,96.00,96.00,96.00,95.96
GOPIS-VRR-09-12-2025,100.60,100.50,100.50,100.60,100.60,100.50,100.45,100.60,100.55
GOPIS-FRR-20-01-2026,97.00,97.00,97.00,96.75,97.00,97.00,97.00,97.00,97.00
GOPIS-VRR-06-10-2026,99.40,99.25,99.30,99.15,99.20,99.40,99.40,99.35,99.32
GOPIS-FRR-06-10-2026,98.00,98.00,98.00,99.75,98.00,98.00,98.25,98.00,98.04
GOPIS-VRR-29-10-2026,99.30,99.35,99.50,99.35,99.35,99.35,99.40,99.35,99.36
GOPIS-FRR-15-12-2026,102.50,102.10,102.40,102.50,102.20,102.25,102.75,102.50,102.39
