08:04 04APR23    GOP Ijarah Sukuk Revaluation          PK99999            PKISRV,,,,,,,,,,
GOP IJARAH SUKUK:- <0#PKISRV=>         <PKNOTES>                                ,,,,,,,,,,
,,,,,,,,,,
                 ,  AHL, BMA, CEL,  CMKA,  ICON,IONE,  MCPL, VCPL  ,Avg Rate,
,,,,,,,,,,
GOPISV-20-02-2024,99.00,98.75,98.25,98.25,97.50,99.00,99.75,99.75,98.83,
GOPISF-20-02-2024,98.00,98.00,98.00,97.75,97.00,98.00,98.00,98.00,97.96,
GOPISV-08-03-2024,100.15,100.10,100.25,100.20,100.00,100.20,100.20,100.30,100.18,
GOPISF-08-03-2024,100.30,100.30,100.30,100.30,99.50,100.30,100.30,100.20,100.28,
GOPIS 30-04-2025 ,96.50,96.50,96.50,96.00,96.50,96.50,96.50,96.50,96.50,
GOPIS 29-05-2025 ,99.30,99.30,99.30,98.50,98.50,99.45,99.30,99.00,99.12,
GOPIS 24-06-2025 ,98.30,99.25,99.40,98.50,98.50,99.40,99.40,99.00,99.01,
GOPISV-29-07-2025,99.50,99.40,99.50,99.25,99.25,99.60,99.50,99.35,99.42,
GOPISF-29-07-2025,85.00,86.00,86.00,85.00,86.00,86.50,86.00,86.00,85.83,
GOPISV-09-12-2025,99.70,99.75,99.80,99.25,99.50,99.90,99.75,99.75,99.71,
GOPISV-05-01-2026,99.50,98.00,98.00,96.00,96.00,98.00,97.00,97.00,97.33,
GOPISF-20-01-2026,86.50,87.00,88.00,80.25,94.00,90.00,89.50,89.50,88.42,
GOPISV-06-10-2026,99.30,99.25,99.50,99.50,99.00,98.90,99.20,99.20,99.24,
GOPISF-06-10-2026,88.00,89.00,89.00,87.00,93.00,90.00,89.00,89.00,89.00,
GOPISV-29-10-2026,98.50,99.30,99.25,99.25,98.50,99.20,98.75,98.75,98.95,
GOPISF-15-12-2026,89.50,91.00,91.00,89.50,90.00,92.00,90.50,90.50,90.42,
GOPISF-27-04-2027,92.00,93.50,90.00,92.00,94.00,93.50,93.50,93.50,93.00,
GOPISV-27-04-2027,98.60,99.00,98.50,99.25,99.25,98.50,98.50,98.50,98.73,
GOPISV-26-10-2027,98.80,99.00,99.10,99.75,99.00,99.10,99.00,98.50,99.00,
GOPISF-16-11-2027,95.00,97.00,97.25,91.00,97.00,97.00,97.00,96.50,96.58,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
