PKISRV 5-July-2023,,,,,,,,,,,
,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,max,min,Avg Rate
GOPISV-20-02-2024,99,98.7,98.70,98.75,98.70,98.7,98.75,98.7,99,98.7,98.7167
GOPISF-20-02-2024,98,98,98.00,98,98.00,98,98.75,98,98.75,98,98.0000
GOPISV-08-03-2024,100.15,100.1,100.10,100.1,100.10,100.1,100.05,100.1,100.15,100.05,100.1000
GOPISF-08-03-2024,100.3,100.25,100.25,100.3,100.25,100.25,100,100.3,100.3,100,100.2667
GOPISV-17-04-2024,100.1,100.05,100.05,100.05,100.05,100,100.05,100.1,100.1,100,100.0583
GOPISF-17-04-2024,100.15,100.1,100.10,100.1,100.10,100.1,100.1,100.1,100.15,100.1,100.1000
GOPISV-22-05-2024,100.11,100.05,100.05,100.05,100.05,100.1,100.05,100.05,100.11,100.05,100.0583
GOPISF-22-05-2024,100,100,100.00,100,100.00,100,100,100,100,100,100.0000
GOPISV-26-06-2024,100.15,100,100.05,99.85,100.05,100,100.02,100.1,100.15,99.85,100.0367
GOPISF-26-06-2024,100,100,100.00,99.75,100,100,100.05,99.25,100.05,99.25,99.9583
GOPIS 30-04-2025,96.3,96.35,96.40,96.5,96.40,96.5,96.4,96.45,96.5,96.3,96.4167
GOPIS 29-05-2025,99.4,99.4,99.40,99.4,99.35,99.4,99.3,99.4,99.4,99.3,99.3917
GOPIS 24-06-2025,99.3,99.15,99.10,99.2,99.10,99,99.1,99.1,99.3,99,99.1250
GOPISV-29-07-2025,99.5,99.4,99.40,99.4,99.40,99.4,99.4,99.4,99.5,99.4,99.4000
GOPISF-29-07-2025,85,85.7,85.70,86,85.50,85.75,85.5,86,86,85,85.6917
GOPISV-09-12-2025,99.7,99.7,99.70,99.75,99.70,99.75,99.7,99.7,99.75,99.7,99.7083
GOPISV-05-01-2026,99,99,99.00,99,99.00,99,99,99,99,99,99.0000
GOPISF-20-01-2026,86.5,88,88.00,88,88,88,88,88,88,86.5,88.0000
GOPISF-17-04-2026,100,100,100.00,100,100.00,100,100,100,100,100,100.0000
GOPISF-26-06-2026,100,100,100.00,99.7,100.00,100,100,99.95,100,99.7,99.9917
GOPISV-06-10-2026,99.35,99.35,99.45,99.5,99.45,99.5,99.3,99.45,99.5,99.3,99.4250
GOPISF-06-10-2026,88,89,89.00,89,89.00,89,89,89,89,88,89.0000
GOPISV-29-10-2026,99.2,99.25,99.25,99.25,99.3,99.15,99.25,99.25,99.3,99.15,99.2417
GOPISF-15-12-2026,89.5,90,90.00,90.25,90,90.25,89.75,90.25,90.25,89.5,90.0417
GOPISF-27-04-2027,92,92.35,92.40,92.4,92.40,92.35,92.4,92.4,92.4,92,92.3833
GOPISV-27-04-2027,99.5,99.35,99.35,99.4,99.35,99.45,99.35,99.4,99.5,99.35,99.3833
GOPISV-26-10-2027,99.95,99.75,99.75,99.8,99.75,99.8,99.75,99.8,99.95,99.75,99.7750
GOPISF-16-11-2027,97.5,96.75,97,97,96.7,97,96.75,97,97.5,96.7,96.9167
GOPISV-26-06-2028,100.2,100,100.05,99.65,100.1,100,100.05,100.05,100.2,99.65,100.0417
