PKISRV 06-July-2023,,,,,,,,,,,
,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,max,min,Avg Rate
GOPISV-20-02-2024,99,98.7,98.70,98.75,98.70,98.7,98.76,98.7,99,98.7,98.7183
GOPISF-20-02-2024,98,98,98.00,98,98.00,98,98.76,98,98.76,98,98.0000
GOPISV-08-03-2024,100.15,100.1,100.05,100.1,100.10,100.1,100.06,100.1,100.15,100.05,100.0933
GOPISF-08-03-2024,100.3,100.25,100.00,100.3,100.25,100.25,100,100.3,100.3,100,100.2250
GOPISV-17-04-2024,100.1,100.05,100.05,100.05,100.05,100,100.06,100.1,100.1,100,100.0600
GOPISF-17-04-2024,100.15,100.1,100.10,100.1,100.10,100.1,100.11,100.1,100.15,100.1,100.1017
GOPISV-22-05-2024,100.11,100.05,100.05,100.05,100.05,100.1,100.06,100.05,100.11,100.05,100.0600
GOPISF-22-05-2024,100,100,100.00,100,100.00,100,100,100,100,100,100.0000
GOPISV-26-06-2024,100.1,100,99.75,99.85,100.05,100,100.03,100.1,100.1,99.75,100.0050
GOPISF-26-06-2024,100,100,99.75,99.75,100,100,100.06,99.25,100.06,99.25,99.9167
GOPIS 30-04-2025,96.3,96.35,96.40,96.5,96.40,96.5,96.41,96.45,96.5,96.3,96.4183
GOPIS 29-05-2025,99.4,99.4,99.40,99.4,99.35,99.4,99.31,99.4,99.4,99.31,99.3917
GOPIS 24-06-2025,99.3,99.15,99.10,99.2,99.10,99,99.11,99.1,99.3,99,99.1267
GOPISV-29-07-2025,99.5,99.4,99.40,99.4,99.40,99.4,99.41,99.4,99.5,99.4,99.4017
GOPISF-29-07-2025,85,85.7,85.70,85.75,85.50,85.75,85.51,86,86,85,85.6517
GOPISV-09-12-2025,99.7,99.7,99.70,99.75,99.70,99.75,99.71,99.7,99.75,99.7,99.7100
GOPISV-05-01-2026,99,99,99.00,99,99.00,99,99,99,99,99,99.0000
GOPISF-20-01-2026,86.5,88,88.00,88,88,88,88,88,88,86.5,88.0000
GOPISF-17-04-2026,100,100,100.00,100,100.00,100,100,100,100,100,100.0000
GOPISF-26-06-2026,100,100,99.75,99.7,100.00,100,100,99.95,100,99.7,99.9500
GOPISV-06-10-2026,99.35,99.35,99.45,99.5,99.45,99.5,99.31,99.45,99.5,99.31,99.4250
GOPISF-06-10-2026,88,89,89.00,89,89.00,89,89,89,89,88,89.0000
GOPISV-29-10-2026,99.2,99.25,99.25,99.25,99.3,99.15,99.26,99.25,99.3,99.15,99.2433
GOPISF-15-12-2026,89.5,90,90.00,90.25,90,90.25,89.76,90.25,90.25,89.5,90.0433
GOPISF-27-04-2027,92,92.35,92.40,92.4,92.35,92.35,92.41,92.4,92.41,92,92.3750
GOPISV-27-04-2027,99.5,99.35,99.35,99.4,99.35,99.45,99.36,99.4,99.5,99.35,99.3850
GOPISV-26-10-2027,99.95,99.75,99.75,99.8,99.75,99.8,99.76,99.8,99.95,99.75,99.7767
GOPISF-16-11-2027,97.5,97,97,97,96.7,97,96.76,97,97.5,96.7,96.9600
GOPISV-26-06-2028,100.1,100,99.75,99.65,100.05,100,100.06,100.05,100.1,99.65,99.9850
