10:07 07JUL22    GOP Ijarah Sukuk Revaluation          PK99999            PKISRV,,,,,,,,,,
GOP IJARAH SUKUK:- <0#PKISRV=>                                                  ,,,,,,,,,,
,,,,,,,,,,
                 ,  BMA, C&M, CMK,  IONE,  JSCM, MCP,  SCPL, VCPL  ,Avg Rate,
,,,,,,,,,,
GOPIS 30-04-2025 ,96.95,96.95,96.95,96.85,96.50,97.00,0.00,96.95,96.93,
GOPIS 29-05-2025 ,100.00,100.00,100.00,100.00,99.60,100.10,0.00,100.00,100.00,
GOPIS 24-06-2025 ,99.70,99.70,99.70,99.60,99.75,99.70,0.00,99.70,99.70,
GOPISV-29-07-2025,99.50,99.50,99.50,99.50,99.50,99.50,0.00,99.50,99.50,
GOPISF-29-07-2025,93.40,93.40,88.75,93.60,93.00,93.75,0.00,93.50,93.38,
GOPISV-09-12-2025,99.70,99.65,99.75,99.90,99.70,99.50,0.00,99.50,99.66,
GOPISF-20-01-2026,93.70,93.70,90.25,93.70,93.00,93.80,0.00,93.80,93.58,
GOPISV-06-10-2026,99.70,99.70,99.70,99.80,98.75,99.70,0.00,99.70,99.70,
GOPISF-06-10-2026,94.00,94.00,90.75,94.00,93.50,94.25,0.00,94.00,93.90,
GOPISV-29-10-2026,99.70,99.80,99.80,99.50,99.25,100.05,0.00,99.90,99.74,
GOPISF-15-12-2026,96.00,96.00,95.00,96.00,95.00,99.25,0.00,96.00,95.80,
GOPISF-27-04-2027,99.00,98.80,98.75,98.40,98.75,100.00,0.00,98.65,98.79,
GOPISV-27-04-2027,99.50,99.50,99.50,99.50,98.85,99.90,0.00,99.50,99.50,
