, GOP IJARAH SUKUK REVALUATION                                                   ,,,,,,,,,
 ,8-Oct-24,PK99999            PKISRV,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
DSPLY_NAME,MATUR_DATE,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1
SECURITY  ,MATURITY,  AHL     , ALFA     ,  C&M     ,  CEL     , ICON     ,IONE      ,  PCPL    ,  VCPL    ,AVG. RATE
GOPIS-VRR,9-Oct-24, 100.20 , 100.15 , 100.15 , 100.00 , 100.25 , 100.05 , 100.15 , 100.25 , 100.16 
GOPIS-FRR,9-Oct-24, 100.01 , 100.15 , 100.20 , 100.00 , 100.25 , 100.20 , 100.15 , 100.20 , 100.15 
GOPIS-VRR,4-Dec-24, 100.90 , 101.00 , 100.70 , 100.60 , 100.70 , 100.90 , 100.80 , 101.00 , 100.83 
GOPIS-VRR,30-Apr-25, 100.30 , 100.00 , 100.20 , 100.25 , 100.50 , 100.25 , 100.30 , 100.50 , 100.30 
GOPIS-VRR,29-May-25, 101.25 , 101.00 , 101.20 , 101.20 , 101.30 , 101.00 , 100.85 , 101.50 , 101.16 
GOPIS-VRR,24-Jun-25, 101.10 , 101.00 , 101.20 , 101.20 , 101.20 , 100.80 , 100.85 , 101.00 , 101.06 
GOPIS-VRR,29-Jul-25, 104.00 , 104.25 , 101.50 , 101.25 , 101.25 , 101.50 , 101.40 , 101.50 , 101.86 
GOPIS-FRR,29-Jul-25, 95.64 , 96.00 , 95.75 , 96.00 , 94.00 , 95.50 , 95.75 , 96.50 , 95.77 
GOPIS-VRR,9-Dec-25, 101.00 , 101.00 , 101.25 , 101.00 , 100.90 , 101.00 , 101.00 , 101.25 , 101.04 
GOPIS-VRR,5-Jan-26, 100.65 , 101.00 , 100.50 , 101.00 , 99.80 , 101.00 , 100.90 , 101.25 , 100.84 
GOPIS-FRR,20-Jan-26, 95.07 , 95.00 , 94.00 , 95.50 , 96.00 , 95.00 , 95.00 , 95.00 , 95.10 
GOPIS-FRR,17-Apr-26, 106.32 , 107.00 , 107.00 , 107.00 , 108.00 , 107.00 , 107.00 , 107.00 , 107.00 
GOPIS-FRR,26-Jun-26, 108.07 , 108.00 , 108.25 , 108.15 , 109.00 , 108.10 , 108.10 , 108.25 , 108.15 
GOPIS-VRR,12-Jul-26, 102.40 , 103.00 , 102.50 , 103.00 , 101.25 , 102.50 , 102.60 , 103.00 , 102.67 
GOPIS-VRR,6-Oct-26, 102.00 , 102.00 , 101.75 , 101.25 , 102.50 , 102.50 , 102.10 , 102.50 , 102.14 
GOPIS-FRR,6-Oct-26, 94.23 , 94.00 , 94.50 , 94.50 , 95.00 , 95.00 , 94.40 , 94.50 , 94.52 
GOPIS-VRR,29-Oct-26, 101.50 , 101.60 , 101.50 , 101.30 , 101.25 , 102.00 , 101.60 , 101.75 , 101.54 
GOPIS-VRR,4-Dec-26, 102.74 , 102.50 , 102.50 , 102.60 , 102.50 , 102.50 , 102.50 , 102.25 , 102.52 
GOPIS-FRR,4-Dec-26, 105.85 , 106.00 , 106.00 , 106.50 , 107.00 , 106.50 , 106.10 , 106.00 , 106.18 
GOPIS-FRR,15-Dec-26, 96.74 , 98.25 , 98.25 , 98.25 , 98.00 , 98.25 , 98.15 , 98.25 , 98.19 
GOPIS-VRR,27-Apr-27, 102.50 , 102.50 , 102.50 , 101.90 , 103.00 , 103.00 , 102.60 , 102.75 , 102.64 
GOPIS-FRR,27-Apr-27, 98.74 , 99.50 , 99.50 , 99.75 , 98.00 , 99.50 , 99.40 , 99.50 , 99.36 
GOPIS-VRR,26-Oct-27, 102.00 , 102.50 , 102.50 , 101.90 , 102.00 , 102.00 , 102.00 , 102.50 , 102.17 
GOPIS-FRR,16-Nov-27, 98.72 , 99.00 , 99.00 , 99.75 , 98.50 , 99.00 , 99.10 , 99.50 , 99.05 
