10:05 09MAY22    GOP Ijarah Sukuk Revaluation          PK99999            PKISRV,,,,,,,,,,
GOP IJARAH SUKUK:- <0#PKISRV=>                                                  ,,,,,,,,,,
,,,,,,,,,,
                 ,  BMA, C&M, CMK,  IONE,  JSCM, MCP,  SCPL, VCPL  ,Avg Rate,
,,,,,,,,,,
GOPIS 30-04-2025 ,96.60,96.80,96.60,97.00,98.00,0.00,96.60,96.60,96.72,
GOPIS 29-05-2025 ,100.00,99.80,99.80,99.75,99.50,0.00,99.80,99.75,99.78,
GOPIS 24-06-2025 ,100.00,99.80,99.75,99.50,99.00,0.00,99.75,99.75,99.71,
GOPISV-29-07-2025,99.60,99.40,99.50,99.00,99.00,0.00,99.00,99.25,99.23,
GOPISF-29-07-2025,94.40,94.30,94.25,94.00,94.50,0.00,93.00,94.00,94.19,
GOPISV-09-12-2025,99.60,99.50,99.50,99.25,98.50,0.00,99.50,99.50,99.45,
GOPISF-20-01-2026,94.20,94.20,94.15,94.00,94.00,0.00,93.80,94.00,94.07,
GOPISV-06-10-2026,99.90,99.70,99.75,100.00,99.25,0.00,98.75,99.50,99.62,
GOPISF-06-10-2026,94.50,94.35,94.35,94.25,94.25,0.00,94.00,94.25,94.29,
GOPISV-29-10-2026,99.80,100.15,99.90,100.10,100.10,0.00,100.20,99.75,100.01,
GOPISF-15-12-2026,99.50,99.20,99.40,99.00,98.75,0.00,99.00,99.25,99.17,
GOPISF-27-04-2027,100.00,100.00,100.00,100.00,99.50,0.00,100.00,99.95,99.99,
GOPISV-27-04-2027,100.00,99.90,99.90,99.50,99.85,0.00,99.75,99.90,99.86,
