,,,,,,,,,
,,,,,,,,,
,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL  ,Avg Rate
,,,,,,,,,
GOPISV-20-02-2024,100.15,0,100.1,100.2,100,99.9,0,98.7,99.84
GOPISF-20-02-2024,98,0,98,98,98,98,0,98,98
GOPISV-08-03-2024,101.6,0,101.65,101.65,101.65,101.5,0,101.6,101.61
GOPISF-08-03-2024,100.25,0,100.2,100.25,100.2,100.25,0,100.25,100.23
GOPISV-17-04-2024,101.3,0,101.2,101.25,101.15,101.25,0,101.2,101.23
GOPISF-17-04-2024,100.1,0,100.1,100.1,100.1,100.1,0,100.1,100.1
GOPISV-22-05-2024,100.5,0,100.45,100.6,100.75,100.75,0,100.5,100.59
GOPISF-22-05-2024,100,0,100,100,100,100,0,100,100
GOPISV-26-06-2024,100.3,0,100,100.3,100.2,100,0,100.2,100.17
GOPISF-26-06-2024,100.2,0,100.3,100.2,100.2,100.3,0,100.3,100.25
GOPISV-12-07-2024,100.4,0,100.3,100.4,100.3,100.3,0,100.3,100.33
GOPISF-12-07-2024,100,0,100,100,100,100,0,100,100
GOPISV-07-08-2024,100.7,0,100.7,100.7,100.75,101,0,100.7,100.76
GOPISF-07-08-2024,100,0,100,100,100,100,0,100,100
GOPISV-20-09-2024,99.99,0,99.9,100,100,99.9,0,100,99.97
GOPISF-20-09-2024,100,0,100,100,100,100,0,100,100
GOPISV-30-04-2025,96.5,0,96.45,96.45,96.45,96.5,0,96.45,96.47
GOPISV-29-05-2025,99.4,0,99.4,99.4,99.4,99.4,0,99.4,99.4
GOPISV-24-06-2025,99.2,0,99.1,99.15,99.1,99,0,99.1,99.11
GOPISV-29-07-2025,99.5,0,99.45,99.45,99.45,99.4,0,99.45,99.45
GOPISF-29-07-2025,85.6,0,85.7,85.75,85.7,85.75,0,85.75,85.71
GOPISV-09-12-2025,99.7,0,99.7,99.7,99.7,99.75,0,99.7,99.71
GOPISV-05-01-2026,99,0,99,99,99,99,0,99,99
GOPISF-20-01-2026,87.75,0,88,88,88,88,0,88,87.96
GOPISF-17-04-2026,100,0,100,100,100,100,0,100,100
GOPISF-26-06-2026,98.85,0,98.9,98.95,98.9,99.85,0,99.9,99.23
GOPISV-12-07-2026,100,0,100,100.75,100,100,0,100,100.13
GOPISV-06-10-2026,99.4,0,99.45,99.4,99.4,99.5,0,99.45,99.43
GOPISF-06-10-2026,88.75,0,89,89,89,89,0,89,88.96
GOPISV-29-10-2026,99.2,0,99.25,99.25,99.2,99.15,0,99.25,99.22
GOPISF-15-12-2026,90,0,90,90.1,90.1,90.25,0,90.25,90.12
GOPISF-27-04-2027,92.35,0,92.35,92.35,92.35,92.35,0,92.35,92.35
GOPISV-27-04-2027,99.5,0,99.35,99.35,99.35,99.45,0,99.4,99.4
GOPISV-26-10-2027,99.9,0,99.75,99.75,99.75,99.35,0,99.7,99.7
GOPISF-16-11-2027,97.3,0,97,97,97,97,0,97,97.05
GOPISV-26-06-2028,100,0,100,99.9,100,100,0,99.9,99.97
GOPISF-20-09-2028,100,0,100,100.2,100,100,0,100,100.03
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
10/11/2023 16:59,: PKISR,V for u,ser reu,ters at,REUTER,S,,,
[Printed by Refin,itiv Ei,kon],,,,,,P,age : 1
