SECURITY,MATURITY DT,AHL,ALFA,C&M,CEL,ICON,IONE,PCPL,VCPL,FMAP,DATE,TIME
,,,,,,,,,,,,
GOPIS-VRR,26-Jun-24,100,100.1,100.05,100.02,100.07,100.1,100.1,100,100.06,12-Jun-24,15:36
GOPIS-FRR,26-Jun-24,100.7,100,100.3,100,100.05,100,100.2,100.3,100.14,12-Jun-24,15:36
GOPIS-VRR,12-Jul-24,100.2,100.1,100.06,100.05,100.07,100.15,100.1,100.06,100.09,12-Jun-24,15:36
GOPIS-FRR,12-Jul-24,100,100.08,100.05,100.07,100.07,100,100.05,100.05,100.05,12-Jun-24,15:36
GOPIS-VRR,7-Aug-24,100.1,100.1,100.05,100.05,100.09,100.15,100.05,100.15,100.09,12-Jun-24,15:36
GOPIS-FRR,7-Aug-24,100,100.1,100,100.05,100.02,100.1,100,100,100.03,12-Jun-24,15:36
GOPIS-VRR,20-Sep-24,100,99.5,100,99.5,100.3,100.25,100,100,99.96,12-Jun-24,15:36
GOPIS-FRR,20-Sep-24,100,100.7,100.4,100.05,100.35,100.5,100.3,100.4,100.33,12-Jun-24,15:36
GOPIS-VRR,9-Oct-24,100.35,100.25,100.25,100.22,100.3,100.5,100.2,100.4,100.3,12-Jun-24,15:36
GOPIS-FRR,9-Oct-24,100.75,100.75,100.75,100.7,100.7,100.6,100.65,100.75,100.72,12-Jun-24,15:36
GOPIS-VRR,4-Dec-24,100.15,100.25,100.2,100.12,100.4,100.5,100.2,100.15,100.23,12-Jun-24,15:36
GOPIS-VRR,30-Apr-25,98.95,99.5,99.25,99.2,100,99.45,99.4,99.25,99.34,12-Jun-24,15:36
GOPIS-VRR,29-May-25,99.4,99.75,99.8,99.9,100.25,99.6,99.65,99.8,99.75,12-Jun-24,15:36
GOPIS-VRR,24-Jun-25,99.25,99.65,99.8,100.4,100.2,99.8,99.7,99.8,99.83,12-Jun-24,15:36
GOPIS-VRR,29-Jul-25,101,99.9,99.89,99.9,100.2,99.9,100.15,99.89,99.99,12-Jun-24,15:36
GOPIS-FRR,29-Jul-25,83.02,89,86,89.15,86,85.6,86,86,86.43,12-Jun-24,15:36
GOPIS-VRR,9-Dec-25,101,100,100.85,100.2,100.9,100.5,100.7,100.85,100.67,12-Jun-24,15:36
GOPIS-VRR,5-Jan-26,99,99.5,99,99.5,99.8,99.25,99.3,99,99.26,12-Jun-24,15:36
GOPIS-FRR,20-Jan-26,83,85,84,88.9,85.5,84,84.5,84,84.5,12-Jun-24,15:36
GOPIS-FRR,17-Apr-26,98.5,100.5,100.5,101.5,100.7,100.4,100.15,100.5,100.46,12-Jun-24,15:36
GOPIS-FRR,26-Jun-26,103.6,103.5,103,103.6,103.5,103.47,103.5,103.5,103.51,12-Jun-24,15:36
GOPIS-VRR,12-Jul-26,100,100.25,100,100.3,100.5,100.5,100.2,100,100.21,12-Jun-24,15:36
GOPIS-VRR,6-Oct-26,101,100,100.25,100,100.6,100.35,100.4,100.25,100.31,12-Jun-24,15:36
GOPIS-FRR,6-Oct-26,83,84,84,85.5,83.5,84,84,84,83.92,12-Jun-24,15:36
GOPIS-VRR,29-Oct-26,101.2,101.5,100.4,101.5,101,100.5,100.3,100.45,100.84,12-Jun-24,15:36
GOPIS-VRR,4-Dec-26,99.65,100,99.75,99.8,100.2,99.75,99.75,99.75,99.8,12-Jun-24,15:36
GOPIS-FRR,4-Dec-26,100.4,100.15,100,100,100.2,100,100.2,100,100.09,12-Jun-24,15:36
GOPIS-FRR,15-Dec-26,85,88,88,88,87,88,88,88,87.83,12-Jun-24,15:36
GOPIS-VRR,27-Apr-27,101.5,100.6,100.45,100.6,100.75,100.6,100.5,100.45,100.58,12-Jun-24,15:36
GOPIS-FRR,27-Apr-27,87,89,88,89,89,88.5,88.15,88,88.44,12-Jun-24,15:36
GOPIS-VRR,26-Oct-27,100.25,101,100.45,101,100.8,100.6,100.45,100.45,100.63,12-Jun-24,15:36
GOPIS-FRR,16-Nov-27,87.5,88,89,88,88,89,89,89,88.5,12-Jun-24,15:36
GOPIS-VRR,26-Jun-28,103.55,103,103,103,103.25,103.1,103.2,102.95,103.09,12-Jun-24,15:36
GOPIS-FRR,20-Sep-28,101.75,99.5,101.75,101.5,101.7,101.6,101.75,101.35,101.61,12-Jun-24,15:36
GOPIS-VRR,4-Dec-28,100,100,100.2,100.1,100.4,100.5,100.2,100.2,100.18,12-Jun-24,15:36
GOPIS-FRR,4-Dec-28,101.5,101.5,100.5,101.25,100.75,101.79,101.5,101.5,101.33,12-Jun-24,15:36
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
06/12/202,4 16:04 : 0#PKISRV= f,or use,r reuters,at REUTERS,,,,,,,,
[Printed,by Refinitiv Eikon],,,,,Page,: 1,,,,,
