10:02,13-Feb-23,GOP,Ijarah,Sukuk,Revaluation,PK99999,PKISRV,,
,,,,,,,,,
GOP,IJARAH,SUKUK:-,<0#PKISRV=>,,,,,,
,AHL,BMA,CEL,CMKA,ICON,IONE,MCPL,VCPL,Avg Rate
================================================================================,,,,,,,,,
GOPIS30-04-2025,96.5,96.8,96.5,96.45,96.5,0,96.4,99.4,96.55
GOPIS29-05-2025,99.5,99.5,99.25,99,98.5,0,99.45,99.25,99.29
GOPIS24-06-2025,99.45,99.5,99.4,99.45,99.5,0,99.4,99.4,99.44
GOPISV-29-07-2025,99.5,99.75,99.5,99.4,99.4,0,99.4,99.5,99.46
GOPISF-29-07-2025,87.5,87.5,87.5,86,86,0,87.5,87,87.1
GOPISV-09-12-2025,99.9,99.9,99.85,99.9,99.5,0,99.9,99.9,99.89
GOPISV-05-01-2026,99.6,99.65,98.25,99.25,97,0,98,98.5,98.72
GOPISF-20-01-2026,99,93,98,90,94,0,99.25,98.5,96.5
GOPISV-06-10-2026,92.6,99.4,99.5,99.4,99,0,99.6,99,99.26
GOPISF-06-10-2026,99.5,91,93,90.25,93,0,99.4,93,93.88
GOPISV-29-10-2026,92.6,99.5,99.25,99.25,98.5,0,99.5,99.4,99.18
GOPISF-15-12-2026,995,94.8,91,93.5,90,0,99.5,99,95.56
GOPISF-27-04-2027,98,98.3,98,95,94,0,95,94.75,96.15
GOPISV-27-04-2027,94.8,99.5,94.85,98.75,98,0,94,98.75,97.03
GOPISV-26-10-2027,98.8,99.2,98,98.5,98.25,0,99.5,99,98.75
GOPISF-16-11-2027,98.8,97,98.75,97,98,0,98.75,97,97.9
