GOP Ijarah Sukuk Fixing,,,,,,,,,
GOP Ijarah Sukuk Rates,,,,,,,,,
Updated at 14:25:00 Dated 2023-04-13,,,,,,,,,
,,,,,,,,,
User,AHL,BMA,CEL,CMKA,ICON,IONE,MCPL,VCPL,Fma
GOPIS-20-30-04-2025,96.50,96.50,96.50,96.50,0.00,96.50,96.50,96.50,96.50
GOPIS-21-29-05-2025,99.30,99.30,99.30,99.00,0.00,99.30,99.30,99.25,99.29
GOPIS-22-24-06-2025,98.30,99.25,99.40,98.50,0.00,99.40,99.40,99.25,99.16
GOPIS-VRR-29-07-2025,99.50,99.40,99.47,99.30,0.00,99.60,99.50,99.35,99.44
GOPIS-FRR-29-07-2025,85.00,86.00,86.00,85.00,0.00,86.50,86.00,86.00,85.80
GOPIS-VRR-09-12-2025,99.70,99.75,99.80,99.70,0.00,99.90,99.75,99.75,99.75
GOPIS-FRR-20-01-2026,86.50,87.00,88.00,82.00,0.00,90.00,89.50,88.25,87.85
GOPIS-VRR-06-10-2026,99.35,99.60,99.50,100.00,0.00,99.50,99.50,99.60,99.54
GOPIS-FRR-06-10-2026,88.00,89.00,89.00,87.00,0.00,90.00,89.00,89.00,88.80
GOPIS-VRR-29-10-2026,99.35,99.35,99.25,99.30,0.00,99.30,99.35,99.35,99.33
GOPIS-FRR-15-12-2026,89.50,91.00,91.00,89.50,0.00,92.00,90.50,90.50,90.50
GOPIS-FRR-27-04-2027,92.00,93.50,90.00,92.00,0.00,93.50,93.50,93.50,92.90
GOPIS-VRR-27-04-2027,99.35,99.50,99.65,99.60,0.00,99.35,99.25,99.70,99.49
GOPIS-VRR-26-10-2027,99.85,99.85,99.70,99.60,0.00,99.85,99.75,99.70,99.77
GOPIS-FRR-16-11-2027,95.00,97.00,97.25,92.00,0.00,97.00,97.00,96.50,96.50
GOPIS-VRR-05-01-2026,99.50,98.00,98.00,96.00,0.00,98.00,98.00,97.75,97.95
GOPIS-VRR-20-02-2024,99.00,98.75,98.25,98.75,0.00,99.00,99.75,99.50,99.00
GOPIS-FRR-20-02-2024,98.00,98.00,98.00,97.75,0.00,98.00,98.00,98.00,98.00
GOPIS-VRR-08-03-2024,100.15,100.10,100.25,100.20,0.00,100.20,100.20,100.30,100.20
GOPIS-FRR-08-03-2024,100.30,100.30,100.30,100.30,0.00,100.30,100.30,100.20,100.30
