10:02 15FEB23    GOP Ijarah Sukuk Revaluation          PK99999            PKISRV,,,,,,,,,,
GOP IJARAH SUKUK:- <0#PKISRV=>                                                  ,,,,,,,,,,
,,,,,,,,,,
                 ,  AHL, BMA, CEL,  CMKA,  ICON,IONE,  MCPL, VCPL  ,Avg Rate,
,,,,,,,,,,
GOPIS 30-04-2025 ,96.50,96.80,96.50,96.40,96.50,96.40,96.40,99.40,96.52,
GOPIS 29-05-2025 ,99.50,99.50,99.25,99.00,98.50,99.50,99.45,99.25,99.33,
GOPIS 24-06-2025 ,99.45,99.50,99.40,99.45,99.50,99.40,99.40,99.40,99.43,
GOPISV-29-07-2025,99.50,99.75,99.50,99.40,99.00,99.70,99.40,99.50,99.50,
GOPISF-29-07-2025,85.00,87.50,86.50,86.00,86.00,87.00,87.50,87.00,86.67,
GOPISV-09-12-2025,99.90,99.90,99.85,99.90,99.50,99.90,99.90,99.90,99.89,
GOPISV-05-01-2026,99.60,99.25,98.25,98.60,97.00,99.00,98.75,97.00,98.48,
GOPISF-20-01-2026,87.00,93.00,93.00,90.00,94.00,98.50,98.50,98.50,94.50,
GOPISV-06-10-2026,99.50,99.40,99.50,99.40,99.00,98.50,99.50,98.50,99.22,
GOPISF-06-10-2026,89.00,91.00,92.00,90.25,93.00,99.00,93.00,99.00,93.04,
GOPISV-29-10-2026,99.25,99.50,99.25,99.25,98.50,99.20,99.50,93.00,99.16,
GOPISF-15-12-2026,90.00,94.80,91.50,93.50,90.00,98.80,95.50,99.40,94.02,
GOPISF-27-04-2027,92.00,98.30,95.00,95.00,94.00,98.00,95.00,99.00,95.88,
GOPISV-27-04-2027,98.25,99.50,98.00,98.00,98.00,99.50,98.75,94.75,98.42,
GOPISV-26-10-2027,99.00,99.20,98.00,98.50,98.25,98.00,99.25,98.75,98.62,
GOPISF-16-11-2027,95.00,97.00,97.75,97.00,98.00,97.00,98.75,99.00,97.58,
                 ,      ,      ,       ,       ,      ,       ,       ,    <P,KNOTES>,
                 ,      ,      ,       ,       ,      ,       ,       ,      ,       ,
,,,,,,,,,,
,,,,,,,,,,
