10:03 15MAR23    GOP Ijarah Sukuk Revaluation          PK99999            PKISRV,,,,,,,,,,
GOP IJARAH SUKUK:- <0#PKISRV=>         <PKNOTES>                                ,,,,,,,,,,
,,,,,,,,,,
                 ,  AHL, BMA, CEL,  CMKA,  ICON,IONE,  MCPL, VCPL  ,Avg Rate,
,,,,,,,,,,
GOPISV-20-02-2024,99.00,99.00,98.25,98.10,97.50,99.00,98.50,99.75,98.64,
GOPISF-20-02-2024,98.00,98.00,98.00,97.75,97.00,98.00,98.00,98.00,97.96,
GOPISV-08-03-2024,100.10,100.10,100.25,100.20,99.50,100.20,100.20,100.20,100.17,
GOPISF-08-03-2024,100.30,100.30,100.30,100.25,99.50,100.30,100.30,100.00,100.24,
GOPIS 30-04-2025 ,96.50,96.50,96.50,90.50,96.50,96.50,96.50,96.50,96.50,
GOPIS 29-05-2025 ,99.30,99.30,99.30,92.25,98.50,99.35,99.25,99.00,99.11,
GOPIS 24-06-2025 ,98.25,99.45,99.40,94.10,98.50,99.40,98.50,99.00,98.84,
GOPISV-29-07-2025,99.50,99.50,99.50,95.50,99.25,99.60,99.50,99.35,99.43,
GOPISF-29-07-2025,85.00,87.00,86.00,81.25,86.00,86.50,96.00,86.00,86.08,
GOPISV-09-12-2025,99.70,99.90,99.85,92.50,99.50,99.90,99.70,99.75,99.73,
GOPISV-05-01-2026,99.50,98.25,98.00,92.60,96.00,98.50,98.25,97.00,97.67,
GOPISF-20-01-2026,86.50,87.00,88.00,80.25,94.00,90.00,90.00,89.50,88.50,
GOPISV-06-10-2026,99.30,99.40,99.50,89.50,99.00,98.90,99.20,99.20,99.17,
GOPISF-06-10-2026,88.00,89.00,89.00,83.25,93.00,90.00,89.00,89.00,89.00,
GOPISV-29-10-2026,98.50,99.50,99.25,88.75,98.50,99.20,98.50,98.75,98.78,
GOPISF-15-12-2026,89.50,92.00,91.00,87.00,90.00,92.00,90.00,90.50,90.50,
GOPISF-27-04-2027,92.00,95.00,90.00,89.50,94.00,95.00,92.00,93.50,92.75,
GOPISV-27-04-2027,98.60,98.50,98.50,88.00,98.50,98.50,98.50,98.50,98.50,
GOPISV-26-10-2027,98.80,98.85,98.70,87.25,98.35,98.90,98.80,98.50,98.67,
GOPISF-16-11-2027,95.00,97.00,97.25,89.50,97.00,97.00,97.00,96.50,96.58,
