10:08 15AUG22    GOP Ijarah Sukuk Revaluation          PK99999            PKISRV,,,,,,,,,,
GOP IJARAH SUKUK:- <0#PKISRV=>                                                  ,,,,,,,,,,
,,,,,,,,,,
                 ,  AHL, BMA, CEL,  CMKA,  ICON, ION,  MCPL, VCPL  ,Avg Rate,
,,,,,,,,,,
GOPIS 30-04-2025 ,96.90,97.00,97.00,96.95,96.80,97.00,96.85,96.95,96.94,
GOPIS 29-05-2025 ,100.00,100.10,100.00,100.00,100.00,100.10,100.00,100.00,100.03,
GOPIS 24-06-2025 ,99.75,99.80,99.70,99.75,99.80,100.20,99.70,99.70,99.75,
GOPISV-29-07-2025,99.90,100.00,100.00,99.95,100.00,100.10,99.80,99.85,99.96,
GOPISF-29-07-2025,93.60,93.70,93.60,93.60,93.75,93.50,93.75,93.60,93.64,
GOPISV-09-12-2025,99.75,99.75,99.80,99.75,99.55,99.50,99.80,99.75,99.73,
GOPISF-20-01-2026,93.60,93.80,93.70,90.50,93.65,93.80,93.80,93.60,93.69,
GOPISV-06-10-2026,99.70,99.75,99.80,99.75,99.70,99.70,99.75,99.75,99.73,
GOPISF-06-10-2026,93.45,94.00,94.00,90.75,91.00,94.00,94.00,93.75,93.37,
GOPISV-29-10-2026,99.75,100.10,99.50,100.10,100.10,99.80,99.90,99.85,99.92,
GOPISF-15-12-2026,96.00,96.00,96.00,95.00,96.00,96.25,96.00,96.00,96.00,
GOPISF-27-04-2027,98.80,98.75,98.70,98.75,98.70,99.00,98.70,98.70,98.73,
GOPISV-27-04-2027,99.50,99.55,99.60,99.55,99.60,99.55,99.50,99.55,99.55,
