GOP Ijarah Sukuk Rates,,,,,,,,,
Updated at 16:25:00 Dated 2022-12-15,,,,,,,,,
,,,,,,,,,
User,AHL,BMA,CEL,CMKA,ICON,IONE,MCPL,VCPL,Fma
GOPIS-20-30-04-2025,97.01,97.00,96.75,96.50,96.40,96.25,96.85,96.50,96.67
GOPIS-21-29-05-2025,99.40,99.75,99.70,99.00,99.75,99.50,99.75,99.00,99.52
GOPIS-22-24-06-2025,99.60,99.60,99.60,99.55,99.40,99.40,99.70,99.60,99.56
GOPIS-VRR-29-07-2025,100.00,100.00,99.80,99.50,100.00,100.00,100.00,99.50,99.88
GOPIS-FRR-29-07-2025,86.00,88.50,88.50,86.25,88.00,86.30,88.50,88.00,87.59
GOPIS-VRR-09-12-2025,99.50,100.00,99.90,99.75,100.00,100.00,99.75,99.50,99.82
GOPIS-FRR-20-01-2026,86.70,93.00,93.00,87.00,93.00,93.00,93.70,93.00,92.00
GOPIS-VRR-06-10-2026,99.21,99.60,99.60,99.30,99.45,99.00,99.50,99.20,99.38
GOPIS-FRR-06-10-2026,86.50,90.50,92.00,88.25,90.50,92.50,91.00,91.00,90.54
GOPIS-VRR-29-10-2026,99.30,99.50,99.50,99.25,99.50,99.25,99.70,99.25,99.38
GOPIS-FRR-15-12-2026,92.25,95.75,95.75,93.25,95.50,94.00,96.00,93.00,94.54
GOPIS-FRR-27-04-2027,95.20,98.40,98.50,95.50,98.40,98.00,98.50,98.50,97.88
GOPIS-VRR-27-04-2027,99.50,99.60,99.60,99.55,99.60,99.55,99.60,99.55,99.58
GOPIS-VRR-26-10-2027,99.50,99.60,99.60,99.50,99.70,99.50,99.50,99.50,99.53
