                 ,  AHL, ALFA, BCAP,  BMA ,  C&M ,CEL ,  CMKA, MCPL  ,,max,min,Avg Rate,,
,,,,,,,,,,,,,,
GOPISV-20-02-2024,99.000,99.000,98.750,98.750,98.000,98.700,98.750,98.750,,99,98,98.7833,,
GOPISF-20-02-2024,98.000,98.000,98.000,98.000,100.000,98.000,98.000,98.000,,100,98,98.0000,,
GOPISV-08-03-2024,100.150,100.100,100.100,100.100,100.100,100.150,100.100,100.100,,100.15,100.1,100.1083,,
GOPISF-08-03-2024,100.300,100.250,100.300,100.300,100.250,100.300,100.300,100.300,,100.3,100.25,100.2917,,
GOPISV-17-04-2024,100.100,100.100,100.080,100.050,100.050,100.080,100.050,100.080,,100.1,100.05,100.0733,,
GOPISF-17-04-2024,100.150,100.150,100.100,100.100,100.100,100.150,100.100,100.100,,100.15,100.1,100.1167,,
GOPISV-22-05-2024,100.110,100.110,100.100,100.080,100.070,100.100,100.100,100.100,,100.11,100.07,100.0983,,
GOPISF-22-05-2024,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,,100,100,100.0000,,
GOPIS 30-04-2025 ,96.300,96.250,96.500,96.500,96.400,96.500,96.450,96.500,,96.5,96.25,96.4417,,
GOPIS 29-05-2025 ,99.400,99.600,99.400,99.300,99.250,99.500,99.300,99.500,,99.6,99.25,99.4000,,
GOPIS 24-06-2025 ,99.300,99.000,99.000,99.250,99.100,99.000,99.300,99.450,,99.45,99,99.1583,,
GOPISV-29-07-2025,99.500,99.450,99.400,99.400,99.400,99.400,99.400,99.400,,99.5,99.4,99.4083,,
GOPISF-29-07-2025,85.000,85.500,85.750,86.000,85.500,86.000,85.500,86.000,,86,85,85.7083,,
GOPISV-09-12-2025,99.700,99.900,99.750,99.750,99.700,99.800,99.700,99.700,,99.9,99.7,99.7333,,
GOPISV-05-01-2026,99.000,99.000,99.000,99.000,99.000,99.000,99.000,99.000,,99,99,99.0000,,t
GOPISF-20-01-2026,86.500,88.000,88.000,88.000,88.000,88.000,88.000,88.000,,88,86.5,88.0000,,
GOPISF-17-04-2026,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,,100,100,100.0000,,
GOPISV-06-10-2026,99.350,98.000,99.500,99.500,99.450,99.500,99.500,99.500,,99.5,98,99.4667,,
GOPISF-06-10-2026,88.000,89.000,89.000,89.000,89.000,89.000,89.000,89.000,,89,88,89.0000,,
GOPISV-29-10-2026,99.200,99.250,99.300,99.250,99.300,99.250,99.300,99.300,,99.3,99.2,99.2750,,
GOPISF-15-12-2026,89.500,89.750,90.000,90.250,90.000,90.250,90.000,90.500,,90.5,89.5,90.0417,,
GOPISF-27-04-2027,92.000,92.250,92.500,92.400,92.400,92.500,92.400,92.400,,92.5,92,92.3917,,
GOPISV-27-04-2027,99.250,99.250,99.400,99.400,99.350,99.500,99.400,99.400,,99.5,99.25,99.3667,,
GOPISV-26-10-2027,99.950,99.950,99.750,99.750,99.500,99.800,99.700,99.800,,99.95,99.5,99.7917,,
GOPISF-16-11-2027,95.000,96.750,96.700,97.000,96.700,97.000,96.750,97.000,,97,95,96.8167,,
