0#PKISRV=,GOP,IJARAH,SUKUK,REVALUATION,Info,Page,:,<PKNOTES>,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
SECURITY,MATURITY,DT,AHL,ALFA,C&M,CEL,ICON,IONE,PCPL,VCPL,FMAP,DATE,TIME
,,,,,,,,,,,,,
GOPIS-VRR,20-Sep-24,100,100.02,100,100,100.3,0,100.4,100,100.06,16-Sep-24,15:36,
GOPIS-FRR,20-Sep-24,100.1,100.5,100.4,100.7,100.35,0,100.6,100.45,100.46,16-Sep-24,15:36,
GOPIS-VRR,9-Oct-24,100.35,100.15,100.33,100.1,100.3,0,100.7,100.3,100.29,16-Sep-24,15:36,
,,,,,,,,,,,,,
GOPIS-FRR,9-Oct-24,100.7,100.25,100.6,100.25,100.7,0,100.75,100.6,100.57,16-Sep-24,15:36,
GOPIS-VRR,4-Dec-24,101.6,100.8,100.7,100.7,100.7,0,100.8,100.7,100.74,16-Sep-24,15:36,
GOPIS-VRR,30-Apr-25,99,99.5,99.37,99.25,100,0,100.7,99.25,99.47,16-Sep-24,15:36,
GOPIS-VRR,29-May-25,99.5,99.75,100,100.2,100.5,0,100.7,99.7,100.03,16-Sep-24,15:36,
,,,,,,,,,,,,,
GOPIS-VRR,24-Jun-25,99.35,99.65,100,99.65,100,0,100.6,99.65,99.79,16-Sep-24,15:36,
GOPIS-VRR,29-Jul-25,101,101.5,101.25,101.25,101.25,0,102.2,101,101.25,16-Sep-24,15:36,
GOPIS-FRR,29-Jul-25,90.5,93,91,91,90,0,99.7,90.5,91.2,16-Sep-24,15:36,
GOPIS-VRR,9-Dec-25,101,101,100.85,100.6,100.9,0,101.1,100.85,100.92,16-Sep-24,15:36,
,,,,,,,,,,,,,
GOPIS-VRR,5-Jan-26,99,99.5,99,99,99.8,0,99.1,99,99.12,16-Sep-24,15:36,
GOPIS-FRR,20-Jan-26,88.6,92,89,89,91,0,90,88.75,89.55,16-Sep-24,15:36,
GOPIS-FRR,17-Apr-26,101.35,104,101.5,101.5,102,0,101.8,101.35,101.63,16-Sep-24,15:36,
GOPIS-FRR,26-Jun-26,106,105.95,105.5,106,104.5,0,105,105.75,105.64,16-Sep-24,15:36,
,,,,,,,,,,,,,
GOPIS-VRR,12-Jul-26,100.2,102.5,101.25,102.25,101.25,0,100.5,101.25,101.3,16-Sep-24,15:36,
GOPIS-VRR,6-Oct-26,101,101.2,101,101.2,102,0,100.75,101,101.08,16-Sep-24,15:36,
GOPIS-FRR,6-Oct-26,87,90,88,90,83.5,0,88.5,97,88.7,16-Sep-24,15:36,
GOPIS-VRR,29-Oct-26,101.1,101.2,101.2,101.2,101.75,0,101.5,101,101.24,16-Sep-24,15:36,
,,,,,,,,,,,,,
GOPIS-VRR,4-Dec-26,100.5,102,101,101.25,100.5,0,102.5,100.75,101.1,16-Sep-24,15:36,
GOPIS-FRR,4-Dec-26,100.7,102,101,102,100.9,0,101.3,101,101.24,16-Sep-24,15:36,
GOPIS-FRR,15-Dec-26,98.9,95,94.5,94,96,0,93.5,95,94.9,16-Sep-24,15:36,
GOPIS-VRR,27-Apr-27,102.75,102.5,102.7,102.45,103,0,103.5,102.7,102.73,16-Sep-24,15:36,
,,,,,,,,,,,,,
GOPIS-FRR,27-Apr-27,90.5,94,91,93.5,91,0,91.5,91,91.6,16-Sep-24,15:36,
GOPIS-VRR,26-Oct-27,100.35,102.75,101.75,102.4,102,0,100.75,102.25,101.83,16-Sep-24,15:36,
GOPIS-FRR,16-Nov-27,90.45,92,90.5,90.5,91,0,91,90.5,90.7,16-Sep-24,15:36,
GOPIS-VRR,26-Jun-28,106.25,106.85,105.25,105.5,104,0,103.2,106.5,105.5,16-Sep-24,15:36,
,,,,,,,,,,,,,
GOPIS-FRR,20-Sep-28,101.75,102.5,102,102,101.7,0,104,101.75,102,16-Sep-24,15:36,
GOPIS-VRR,4-Dec-28,104.25,103.5,104.5,104.5,105,0,104.75,104.75,104.55,16-Sep-24,15:36,
GOPIS-FRR,4-Dec-28,101.5,103.5,101.5,101,101.5,0,101.8,101.5,101.56,16-Sep-24,15:36,
