FMA Code,SBP Code,Price,Change
GOPIS-20-30-04-2025,GIS (VRR) -18,100.55,-0.01
GOPIS-21-29-05-2025,GIS (VRR) -19,100.67,-0.01
GOPIS-22-24-06-2025,GIS (VRR) -20,100.48,-0.05
GOPIS-23-29-07-2025,GIS (VRR) -21,100.96,-0.06
GOPIS-24-29-07-2025,GIS (FRR) -04,98.42,0.02
GOPIS-25-09-12-2025,GIS (VRR) -22,100.67,-0.05
GOPIS-26-20-01-2026,GIS (FRR) -07,97.54,0.01
GOPIS-27-06-10-2026,GIS (FRR) -08,96.63,0.03
GOPIS-28-06-10-2026,GIS (VRR) -23,102.08,-0.05
GOPIS-29-29-10-2026,GIS (VRR) -24,101.87,-0.04
GOPIS-30-15-12-2026,GIS (FRR) -11,101.19,0.04
GOPIS-31-27-04-2027,GIS (VRR) -25,103.50,0.00
GOPIS-32-27-04-2027,GIS (FRR) -12,101.78,-0.06
GOPIS-33-26-10-2027,GIS (VRR) - 26,102.96,0.03
GOPIS-34-16-11-2027,GIS (FRR) - 14,101.00,-0.04
GOPIS-35-05-01-2026,GIS (VRR) - 27,100.45,-0.12
GOPIS-43-17-04-2026,GIS (FRR) - 21,107.86,0.00
GOPIS-48-26-06-2026,GIS (FRR) - 24,109.94,0.00
GOPIS-54-12-07-2026,GIS (VRR) - 36,102.01,0.08
GOPIS-55-26-06-2028,GIS (VRR) - 34,104.50,-0.04
GOPIS-61-20-09-2028,GIS (FRR) - 31,111.05,-0.41
GOPIS-65-04-12-2026,GIS (VRR) - 41,101.88,0.02
GOPIS-66-04-12-2028,GIS (VRR) - 42,104.10,-0.01
GOPIS-67-04-12-2026,GIS (FRR) - 33,106.82,-0.22
GOPIS-68-04-12-2028,GIS (FRR) - 34,110.86,0.14
