10:02,17-Feb-23,GOP,Ijarah,Sukuk,Revaluation,PK99999,PKISRV,,,
,,,,,,,,,,
GOP,IJARAH,SUKUK:-,<0#PKISRV=>,,,,,,,
,AHL,BMA,CEL,CMKA,ICON,IONE,MCPL,VCPL,Avg,Rate
================================================================================,,,,,,,,,,
GOPIS-30-04-2025,0,96.5,96.5,96.5,96.5,96.4,96.4,99.4,96.48,
GOPIS-29-05-2025,0,99.5,99.25,99,98.5,99.5,99.45,99.25,99.29,
GOPIS-24-06-2025,0,99.5,99.4,99.45,99.5,99.4,99.4,99.4,99.43,
GOPISV-29-07-2025,0,99.6,99.5,99.5,99,99.5,99.5,99.5,99.5,
GOPISF-29-07-2025,0,87.5,86.5,86,86,87,87.5,86.75,86.75,
GOPISV-09-12-2025,0,99.9,99.85,99.9,99.5,99.9,99.9,99.9,99.89,
GOPISV-05-01-2026,0,99,98.25,98.5,97,99,98.75,98.5,98.6,
GOPISF-20-01-2026,0,93,93,90,94,90,90,94,92,
GOPISV-06-10-2026,0,99.4,99.5,99.4,99,98.5,99.5,99,99.26,
GOPISF-06-10-2026,0,91,92,90,93,90,91,93,91.4,
GOPISV-29-10-2026,0,99.5,99.25,99.25,98.5,99.2,99.5,99.25,99.29,
GOPISF-15-12-2026,0,94.8,91.5,93,90,92,93,95,92.86,
GOPISF-27-04-2027,0,98.3,95,95,94,95,95,95,95,
GOPISV-27-04-2027,0,99.5,98,98,98,99.5,98.5,98.75,98.55,
GOPISV-26-10-2027,0,99.2,98,98.5,98.25,98,99.25,98.75,98.54,
GOPISF-16-11-2027,0,97,97.75,97,98,97,97,97.25,97.2,
