09:04 18APR22    GOP Ijarah Sukuk Revaluation          PK99999            PKISRV,,,,,,,,,,
GOP IJARAH SUKUK:- <0#PKISRV=>                                                  ,,,,,,,,,,
,,,,,,,,,,
                 ,  BMA, C&M, CMK,  IONE,  JSCM, MCP,  SCPL, VCPL  ,Avg Rate,
,,,,,,,,,,
GOPIS 30-04-2025 ,96.20,96.20,0.00,96.20,96.00,96.20,0.00,96.20,96.17,
GOPIS 29-05-2025 ,100.20,100.20,0.00,100.20,99.80,100.20,0.00,100.00,100.10,
GOPIS 24-06-2025 ,100.05,100.05,0.00,100.05,99.80,100.05,0.00,100.00,100.00,
GOPISV-29-07-2025,99.90,99.90,0.00,99.80,99.80,99.90,0.00,99.90,99.87,
GOPISF-29-07-2025,95.00,94.50,0.00,94.50,94.50,95.50,0.00,94.75,94.79,
GOPISV-09-12-2025,100.10,99.90,0.00,99.95,99.85,100.15,0.00,99.95,99.98,
GOPISF-20-01-2026,95.00,94.50,0.00,95.00,95.00,95.00,0.00,94.50,94.83,
GOPISV-06-10-2026,100.10,100.00,0.00,100.15,100.40,100.00,0.00,100.00,100.11,
GOPISF-06-10-2026,94.50,94.60,0.00,94.50,95.00,94.50,0.00,94.50,94.60,
GOPISV-29-10-2026,100.00,100.01,0.00,100.00,100.00,100.00,0.00,100.00,100.00,
GOPISF-15-12-2026,100.00,99.80,0.00,99.95,100.00,99.90,0.00,99.95,99.93,
