,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,max,min,Avg Rate
GOPISV-20-02-2024, 99.00 , 98.75 , 98.75 , 98.75 , 98.70 , 98.70 , 98.75 , 98.75 , 99.00 , 98.70 , 98.74 
GOPISF-20-02-2024, 98.00 , 98.00 , 98.00 , 98.00 , 98.00 , 98.00 , 98.00 , 98.00 , 98.00 , 98.00 , 98.00 
GOPISV-08-03-2024, 100.15 , 100.10 , 100.10 , 100.10 , 100.10 , 100.15 , 100.10 , 100.10 , 100.15 , 100.10 , 100.11 
GOPISF-08-03-2024, 100.30 , 100.25 , 100.30 , 100.30 , 100.25 , 100.30 , 100.30 , 100.30 , 100.30 , 100.25 , 100.29 
GOPISV-17-04-2024, 100.10 , 100.07 , 100.05 , 100.05 , 100.00 , 100.08 , 100.05 , 100.08 , 100.10 , 100.00 , 100.06 
GOPISF-17-04-2024, 100.15 , 100.15 , 100.10 , 100.10 , 100.10 , 100.15 , 100.10 , 100.10 , 100.15 , 100.10 , 100.12 
GOPISV-22-05-2024, 100.11 , 100.07 , 100.10 , 100.08 , 100.00 , 100.10 , 100.10 , 100.10 , 100.11 , 100.00 , 100.09 
GOPISF-22-05-2024, 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 
GOPIS 30-04-2025, 96.30 , 96.25 , 96.50 , 96.50 , 96.40 , 96.50 , 96.45 , 96.50 , 96.50 , 96.25 , 96.44 
GOPIS 29-05-2025, 99.40 , 99.50 , 99.40 , 99.30 , 99.25 , 99.50 , 99.40 , 99.50 , 99.50 , 99.25 , 99.42 
GOPIS 24-06-2025, 99.30 , 99.00 , 99.00 , 99.25 , 99.10 , 99.00 , 99.15 , 99.45 , 99.45 , 99.00 , 99.13 
GOPISV-29-07-2025, 99.50 , 99.45 , 99.40 , 99.40 , 99.40 , 99.40 , 99.40 , 99.40 , 99.50 , 99.40 , 99.41 
GOPISF-29-07-2025, 85.00 , 85.50 , 85.75 , 86.00 , 85.50 , 86.00 , 85.50 , 86.00 , 86.00 , 85.00 , 85.71 
GOPISV-09-12-2025, 99.70 , 99.90 , 99.75 , 99.75 , 99.70 , 99.80 , 99.70 , 99.70 , 99.90 , 99.70 , 99.73 
GOPISV-05-01-2026, 99.00 , 99.00 , 99.00 , 99.00 , 99.00 , 99.00 , 99.00 , 99.00 , 99.00 , 99.00 , 99.00 
GOPISF-20-01-2026, 86.50 , 88.00 , 88.00 , 88.00 , 88.00 , 88.00 , 88.00 , 88.00 , 88.00 , 86.50 , 88.00 
GOPISF-17-04-2026, 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 
GOPISV-06-10-2026, 99.35 , 98.00 , 99.50 , 99.50 , 99.45 , 99.50 , 99.50 , 99.50 , 99.50 , 98.00 , 99.47 
GOPISF-06-10-2026, 88.00 , 89.00 , 89.00 , 89.00 , 89.00 , 89.00 , 89.00 , 89.00 , 89.00 , 88.00 , 89.00 
GOPISV-29-10-2026, 99.20 , 99.25 , 99.30 , 99.25 , 99.30 , 99.25 , 99.30 , 99.30 , 99.30 , 99.20 , 99.28 
GOPISF-15-12-2026, 89.50 , 89.75 , 90.00 , 90.25 , 90.00 , 90.25 , 90.00 , 90.50 , 90.50 , 89.50 , 90.04 
GOPISF-27-04-2027, 92.00 , 92.25 , 92.50 , 92.40 , 92.40 , 92.50 , 92.40 , 92.40 , 92.50 , 92.00 , 92.39 
GOPISV-27-04-2027, 99.25 , 99.25 , 99.40 , 99.40 , 99.35 , 99.50 , 99.40 , 99.40 , 99.50 , 99.25 , 99.37 
GOPISV-26-10-2027, 99.95 , 99.75 , 99.75 , 99.75 , 99.50 , 99.80 , 99.80 , 99.80 , 99.95 , 99.50 , 99.78 
GOPISF-16-11-2027, 95.00 , 96.75 , 96.70 , 97.00 , 96.70 , 97.00 , 96.75 , 97.00 , 97.00 , 95.00 , 96.82 
