GOP,IJARAH,SUKUK:-,<0#PKISRV=>,,,,,,,
,,,,,,,,,,
,AHL,BMA,CEL,CMKA,ICON,IONE,MCPL,VCPL,Avg,Rate
================================================================================,,,,,,,,,,
GOPIS,30/04/2025,96.7,96.95,96.85,97.2,96.8,97.05,97,96.85,96.92
GOPIS,29/05/2025,100,100,100,100,100.05,100.1,100.1,100,100.03
GOPIS,24/06/2025,99.7,99.7,99.6,99.7,99.75,99.7,99.7,99.6,99.68
GOPISV-29-07-2025,99.7,99.8,100,100,99.9,99.5,100.1,99.85,99.88,
GOPISF-29-07-2025,93.45,93.6,93.6,93.6,93.5,93.75,93.75,93.5,93.59,
GOPISV-09-12-2025,99.9,99.8,99.9,99.8,99.8,99.5,99.5,99.75,99.76,
GOPISF-20-01-2026,93.5,93.6,93.7,90.25,93.8,93.8,93.8,93.7,93.68,
GOPISV-06-10-2026,99.75,99.8,99.8,99.6,99.75,99.7,99.7,99.75,99.74,
GOPISF-06-10-2026,94,94,94,90.75,91,94.25,94.25,94,93.54,
GOPISV-29-10-2026,99.7,99.9,99.5,99.9,99.9,100.05,100.05,99.85,99.88,
GOPISF-15-12-2026,95.9,96,96,95,96,96.25,99.25,96,96.03,
GOPISF-27-04-2027,98.7,98.8,98.4,98.8,98.7,100,100,98.65,98.94,
GOPISV-27-04-2027,99.5,99.6,99.6,99.45,99.65,99.4,99.9,99.5,99.55,
