10:10,19-Oct-23,GOP,Ijarah,Sukuk,Revaluation,PK99999,PKISRV,,
,,,,,,,,,
GOP,IJARAH,SUKUK:-,<0#PKISRV=>,<PKNOTES>,Contd..<PKISRV1>,,,,
,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,Avg Rate
===============================================================================,,,,,,,,,
GOPISV-20-02-2024,100.15,100.2,100.1,100.2,100.15,100,99.9,100.1,100.12
GOPISF-20-02-2024,98,98,98.42,98,98,98,98,98,98
GOPISV-08-03-2024,101.6,101.65,101.65,101.65,101.6,101.55,101.6,101.65,101.63
GOPISF-08-03-2024,100.25,100.25,99.39,100,100.2,100.25,100.2,100.25,100.19
GOPISV-17-04-2024,101.5,101.4,101.2,101.25,101.3,101.3,101.25,101.25,101.29
GOPISF-17-04-2024,100.1,100.25,99.68,100,100.1,100.1,100.1,100.1,100.08
GOPISV-22-05-2024,100.5,101,100.75,100.6,100.9,101,100.6,100.5,100.73
GOPISF-22-05-2024,100,100,99.57,100,100,100,100,100,100
GOPISV-26-06-2024,100.3,100.4,99.47,100.25,100.2,100.3,100.2,100.2,100.24
GOPISF-26-06-2024,100.2,99.5,100.3,100.2,100.25,100.25,100.2,100.3,100.23
GOPISV-12-07-2024,100.4,100.5,100.3,100.4,100.4,100.45,100.35,100.3,100.38
GOPISF-12-07-2024,100,99.5,99.99,99,100,100.1,100,100,99.92
GOPISV-07-08-2024,101,101.4,100.9,101.35,101.3,101.3,101,101,101.16
GOPISF-07-08-2024,100,100,99.93,100,100,100,100,100,100
GOPISV-20-09-2024,99.99,99.95,99.9,100,100,100,99.9,100,99.97
GOPISF-20-09-2024,100,100.25,100.72,100,100,100,100,100,100.04
GOPISV-09-10-2024,100.4,100.45,100.42,100.35,100.4,100.45,100.35,100.36,100.4
GOPISF-09-10-2024,100.1,100.3,100.42,100.4,100.3,100.5,100.3,100.4,100.35
GOPISV-30-04-2025,96.5,96.5,96.45,96.45,96.5,96.5,97,96.45,96.48
GOPISV-29-05-2025,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4
GOPISV-24-06-2025,99.2,99.15,99.1,99.15,99.1,99,99.1,99.1,99.12
GOPISV-29-07-2025,99.5,99.45,99.45,99.45,99.45,99.4,99.45,99.45,99.45
GOPISF-29-07-2025,83,82.27,83.88,83,83.5,85.75,80.7,85.75,83.57
GOPISV-09-12-2025,99.7,99.7,99.7,99.7,99.7,99.75,99.7,99.7,99.7
GOPISV-05-01-2026,99,99,99,99,99,99,98,99,99
GOPISF-20-01-2026,83,81.7,82.92,85,85,88,82.25,88,84.36
GOPISF-17-04-2026,98.5,97.57,99.98,98,99,100,100,100,99.25
GOPISF-26-06-2026,99.57,98.85,100.71,99.9,99.9,100.25,98.8,99.9,99.73
GOPISV-12-07-2026,100,100,100,100.75,100,100,100,100,100
GOPISV-06-10-2026,99.4,99.35,99.45,99.4,99.4,99.5,99.4,99.45,99.42
GOPISF-06-10-2026,83,89,82.03,84,86.5,89,79,89,85.59
GOPISV-29-10-2026,99.2,99.25,99.25,99.25,99.2,99.15,99.2,99.25,99.23
GOPISF-15-12-2026,85,87.5,86.05,83.5,87,90.25,87.5,90.25,87.22
GOPISV-27-04-2027,99.5,99.35,99.35,99.35,99.35,99.45,99.35,99.4,99.38
GOPISF-27-04-2027,87,85.9,89.11,89,89,92.35,89,92.35,89.24
GOPISV-26-10-2027,99.9,99.75,99.75,99.75,99.75,99.35,99.6,99.7,99.72
GOPISF-16-11-2027,87.5,86.15,90.02,88,92,97,88,97,90.42
GOPISV-26-06-2028,100,99.9,100,99.9,100.1,100,100,100,99.98
GOPISF-20-09-2028,100,100.1,102.63,100,100,100,100,100,100.02
