FMA Code,SBP Code,Price,Change,,,,
GOPIS-20-30-04-2025,GIS (VRR) -18,100.17,-0.04,,,As Per the SECP Direction 24 of 2024,
GOPIS-21-29-05-2025,GIS (VRR) -19,100.22,-0.05,,,Tenor,PKISRV Rates (Yields)
GOPIS-22-24-06-2025,GIS (VRR) -20,100.42,0.09,,,1 - Month,10.73%
GOPIS-23-29-07-2025,GIS (VRR) -21,100.00,0.00,,,3 - Month,10.22%
GOPIS-24-29-07-2025,GIS (FRR) -04,98.94,0.01,,,6 - Month,11.30%
GOPIS-25-09-12-2025,GIS (VRR) -22,100.60,0.09,,,9 - Month,11.59%
GOPIS-26-20-01-2026,GIS (FRR) -07,98.31,0.01,,,1 - Year,11.07%
GOPIS-27-06-10-2026,GIS (FRR) -08,97.10,-0.06,,,,
GOPIS-28-06-10-2026,GIS (VRR) -23,100.85,0.24,,,,
GOPIS-29-29-10-2026,GIS (VRR) -24,100.96,0.23,,,,
GOPIS-30-15-12-2026,GIS (FRR) -11,100.94,-0.02,,,,
GOPIS-31-27-04-2027,GIS (VRR) -25,101.49,0.36,,,,
GOPIS-32-27-04-2027,GIS (FRR) -12,101.56,-0.07,,,,
GOPIS-33-26-10-2027,GIS (VRR) - 26,101.51,0.29,,,,
GOPIS-34-16-11-2027,GIS (FRR) - 14,101.02,-0.10,,,,
GOPIS-35-05-01-2026,GIS (VRR) - 27,100.49,0.11,,,,
GOPIS-43-17-04-2026,GIS (FRR) - 21,107.61,-0.02,,,,
GOPIS-48-26-06-2026,GIS (FRR) - 24,108.93,0.22,,,,
GOPIS-54-12-07-2026,GIS (VRR) - 36,101.50,0.10,,,,
GOPIS-55-26-06-2028,GIS (VRR) - 34,103.92,0.54,,,,
GOPIS-61-20-09-2028,GIS (FRR) - 31,111.85,0.20,,,,
GOPIS-65-04-12-2026,GIS (VRR) - 41,100.86,0.18,,,,
GOPIS-66-04-12-2028,GIS (VRR) - 42,101.83,0.43,,,,
GOPIS-67-04-12-2026,GIS (FRR) - 33,106.92,0.07,,,,
GOPIS-68-04-12-2028,GIS (FRR) - 34,111.13,0.16,,,,
