10:07 20JUL22    GOP Ijarah Sukuk Revaluation          PK99999            PKISRV,,,,,,,,,,
GOP IJARAH SUKUK:- <0#PKISRV=>                                                  ,,,,,,,,,,
,,,,,,,,,,
                 ,  AHL, BMA, CEL,  CMKA,  ICON, ION,  MCPL, VCPL  ,Avg Rate,
,,,,,,,,,,
GOPIS 30-04-2025 ,96.85,96.95,97.20,0.00,96.90,97.00,96.85,96.95,96.93,
GOPIS 29-05-2025 ,100.00,100.00,100.00,0.00,100.10,100.10,100.00,100.00,100.02,
GOPIS 24-06-2025 ,99.70,99.70,99.70,0.00,99.65,99.70,99.70,99.70,99.70,
GOPISV-29-07-2025,99.75,99.80,100.00,0.00,100.10,100.10,99.80,99.85,99.91,
GOPISF-29-07-2025,93.50,93.60,93.60,0.00,93.80,93.75,93.75,93.50,93.64,
GOPISV-09-12-2025,99.85,99.80,99.80,0.00,99.50,99.50,99.80,99.75,99.73,
GOPISF-20-01-2026,93.40,93.60,93.70,0.00,93.60,93.80,93.80,93.70,93.68,
GOPISV-06-10-2026,99.75,99.80,99.80,0.00,99.80,99.70,99.75,99.75,99.77,
GOPISF-06-10-2026,93.90,94.00,94.00,0.00,91.00,94.25,94.00,93.00,93.78,
GOPISV-29-10-2026,99.70,99.90,99.50,0.00,99.90,99.80,99.90,99.85,99.83,
GOPISF-15-12-2026,96.00,96.00,96.00,0.00,96.00,96.25,96.00,96.00,96.00,
GOPISF-27-04-2027,98.90,98.90,98.40,0.00,98.75,100.00,98.70,98.65,98.78,
GOPISV-27-04-2027,99.50,99.60,99.60,0.00,99.65,99.55,99.50,99.50,99.55,
