PKISRV 20 July 2023,,,,,,,,,,,
,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,max,min,Avg Rate
GOPISV-20-02-2024,99,98.7,98.70,98.75,98.70,98.7,98.7,98.7,99,98.7,98.7083
GOPISF-20-02-2024,98,98,98.00,98,98.00,98,98,98,98,98,98.0000
GOPISV-08-03-2024,100.1,100.1,100.05,100.1,100.10,100.1,100.1,100.1,100.1,100.05,100.1000
GOPISF-08-03-2024,100.25,100.2,100.20,100.25,100.25,100.25,100.2,100.25,100.25,100.2,100.2333
GOPISV-17-04-2024,100.05,100.05,100.05,100.05,100.05,100,100.05,100.05,100.05,100,100.0500
GOPISF-17-04-2024,100.1,100.1,100.10,100.1,100.10,100.1,100.1,100.1,100.1,100.1,100.1000
GOPISV-22-05-2024,100,100.05,100.05,100.05,100.05,100.1,100.05,100.05,100.1,100,100.0500
GOPISF-22-05-2024,100,100,100.00,100,100.00,100,100,100,100,100,100.0000
GOPISV-26-06-2024,100.05,100,99.95,99.9,100.00,100,100,100,100.05,99.9,99.9917
GOPISF-26-06-2024,100,99.95,99.90,99.9,99.9,100,99.95,100,100,99.9,99.9500
GOPISV-12-07-2024,100.1,100.1,100.00,100.1,100.00,100,100.1,100.1,100.1,100,100.0667
GOPISF-12-07-2024,100,100,100.00,100,100.00,100,100,100,100,100,100.0000
GOPIS 30-04-2025,96.3,96.4,96.40,96.5,98.70,96.5,96.4,96.45,98.7,96.3,96.4417
GOPIS 29-05-2025,99.4,99.4,99.40,99.4,98.00,99.4,99.4,99.4,99.4,98,99.4000
GOPIS 24-06-2025,99.2,99.15,99.10,99.2,100.10,99,99.1,99.1,100.1,99,99.1417
GOPISV-29-07-2025,99.6,99.45,99.40,99.4,100.25,99.4,99.6,99.6,100.25,99.4,99.5083
GOPISF-29-07-2025,85.5,85.7,85.70,85.75,100.05,85.75,85.7,85.75,100.05,85.5,85.7250
GOPISV-09-12-2025,99.7,99.7,99.70,99.75,100.1,99.75,99.7,99.7,100.1,99.7,99.7167
GOPISV-05-01-2026,99,99,99.00,99,100.05,99,99,99,100.05,99,99.0000
GOPISF-20-01-2026,86.5,88,88.00,88,100.00,88,88,88,100,86.5,88.0000
GOPISF-17-04-2026,100,100,100.00,100,100.00,100,100,100,100,100,100.0000
GOPISF-26-06-2026,99.95,99.9,99.80,99.9,99.90,100,99.9,99.95,100,99.8,99.9167
GOPISV-12-07-2026,100,100,100.00,100,100,100,100,100,100,100,100.0000
GOPISV-06-10-2026,99.35,99.35,99.45,99.5,99.45,99.5,99.4,99.45,99.5,99.35,99.4333
GOPISF-06-10-2026,86.5,89,89.00,89,89.00,89,89,89,89,86.5,89.0000
GOPISV-29-10-2026,99.2,99.25,99.25,99.25,99.2,99.15,99.25,99.25,99.25,99.15,99.2333
GOPISF-15-12-2026,89.75,90,90.00,90.25,90,90.25,90,90.25,90.25,89.75,90.0833
GOPISF-27-04-2027,92.1,92.35,92.40,92.4,92.35,92.35,92.35,92.4,92.4,92.1,92.3667
GOPISV-27-04-2027,99.4,99.35,99.35,99.4,99.35,99.45,99.4,99.4,99.45,99.35,99.3833
GOPISV-26-10-2027,99.9,99.75,99.75,99.8,99.75,99.8,99.75,99.8,99.9,99.75,99.7750
GOPISF-16-11-2027,97.4,97,97.00,97,97,97,97,97,97.4,97,97.0000
GOPISV-26-06-2028,100,100,99.95,99.9,99.9,100,100,100.05,100.05,99.9,99.9750
