10:09 21SEP22    GOP Ijarah Sukuk Revaluation          PK99999            PKISRV,,,,,,,,,,
GOP IJARAH SUKUK:- <0#PKISRV=>                                                  ,,,,,,,,,,
,,,,,,,,,,
                 ,  AHL, BMA, CEL,  CMKA,  ICON,IONE,  MCPL, VCPL  ,Avg Rate,
,,,,,,,,,,
GOPIS 30-04-2025 ,96.90,97.00,97.00,96.90,96.80,0.00,96.85,96.85,96.90,
GOPIS 29-05-2025 ,100.10,100.10,100.10,99.75,100.10,0.00,100.00,100.10,100.08,
GOPIS 24-06-2025 ,99.75,99.75,99.70,99.75,99.80,0.00,99.70,99.70,99.73,
GOPISV-29-07-2025,101.10,101.10,100.30,100.25,101.10,0.00,101.25,101.20,100.97,
GOPISF-29-07-2025,93.60,93.60,93.60,88.50,93.75,0.00,93.75,93.00,93.51,
GOPISV-09-12-2025,99.75,99.75,99.80,99.75,99.55,0.00,99.75,99.75,99.75,
GOPISF-20-01-2026,93.70,93.70,93.70,90.75,93.65,0.00,93.80,93.70,93.69,
GOPISV-06-10-2026,99.75,99.75,99.80,99.75,99.70,0.00,99.75,99.75,99.75,
GOPISF-06-10-2026,93.50,93.50,94.00,90.15,91.00,0.00,94.00,93.00,93.00,
GOPISV-29-10-2026,99.90,99.90,99.80,99.80,99.85,0.00,99.90,99.90,99.87,
GOPISF-15-12-2026,96.00,96.00,96.00,95.25,96.00,0.00,96.00,96.00,96.00,
GOPISF-27-04-2027,98.75,98.70,98.70,98.70,98.70,0.00,98.70,98.70,98.70,
GOPISV-27-04-2027,99.55,99.55,99.60,99.60,99.80,0.00,99.50,99.55,99.57,
