10:01 24JAN23    GOP Ijarah Sukuk Revaluation          PK99999            PKISRV,,,,,,,,,,
GOP IJARAH SUKUK:- <0#PKISRV=>                                                  ,,,,,,,,,,
,,,,,,,,,,
                 ,  AHL, BMA, CEL,  CMKA,  ICON,IONE,  MCPL, VCPL  ,Avg Rate,
,,,,,,,,,,
GOPIS 30-04-2025 ,0.00,96.75,96.50,96.50,96.40,0.00,96.50,96.40,96.51,
GOPIS 29-05-2025 ,0.00,99.70,99.60,99.50,99.75,0.00,99.70,99.45,99.62,
GOPIS 24-06-2025 ,0.00,99.50,99.40,99.45,99.40,0.00,99.50,99.40,99.44,
GOPISV-29-07-2025,0.00,100.20,100.00,100.00,100.00,0.00,100.00,100.00,100.04,
GOPISF-29-07-2025,0.00,88.00,86.30,86.50,88.00,0.00,88.50,87.50,87.47,
GOPISV-09-12-2025,0.00,100.00,100.00,99.90,100.00,0.00,99.90,99.90,99.95,
GOPISF-20-01-2026,0.00,93.00,93.00,87.00,93.00,0.00,93.50,93.00,92.08,
GOPISV-06-10-2026,0.00,99.60,99.40,99.40,99.45,0.00,99.50,99.40,99.46,
GOPISF-06-10-2026,0.00,91.00,90.90,88.25,90.50,0.00,91.00,91.00,90.44,
GOPISV-29-10-2026,0.00,99.50,99.25,99.45,99.50,0.00,99.60,99.50,99.47,
GOPISF-15-12-2026,0.00,95.00,94.85,93.50,95.50,0.00,95.00,94.75,94.77,
GOPISF-27-04-2027,0.00,98.25,98.00,97.00,98.40,0.00,98.50,98.25,98.07,
GOPISV-27-04-2027,0.00,99.60,99.55,99.55,99.60,0.00,99.60,99.55,99.58,
GOPISV-26-10-2027,0.00,99.50,99.25,99.25,99.70,0.00,99.40,99.25,99.39,
