10:10,24-Oct-23,GOP,Ijarah,Sukuk,Revaluation,PK99999,PKISRV,,,
,,,,,,,,,,
GOP,IJARAH,SUKUK:-,<0#PKISRV=>,<PKNOTES>,Contd..<PKISRV1>,,,,,
,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,Avg,Rate
===============================================================================,,,,,,,,,,
GOPISV-20-02-2024,100.15,100.2,100.1,100.2,100.15,100,0,100.1,100.14,
GOPISF-20-02-2024,98,98,98.51,98,98,98,0,98,98,
GOPISV-08-03-2024,101.6,101.65,101.65,101.65,101.6,101.55,0,101.65,101.63,
GOPISF-08-03-2024,100.25,100.25,99.44,100.2,100.2,100.25,0,100.25,100.23,
GOPISV-17-04-2024,101.5,101.4,101.2,101.25,101.3,101.35,0,101.25,101.31,
GOPISF-17-04-2024,100.1,100.25,99.72,100,100.1,100.1,0,100.1,100.08,
GOPISV-22-05-2024,100.5,101,100.75,100.75,100.75,101,0,100.5,100.75,
GOPISF-22-05-2024,100,100,99.67,100,100,100,0,100,100,
GOPISV-26-06-2024,100.3,100.3,100.3,100.25,100.2,100.3,0,100.3,100.29,
GOPISF-26-06-2024,100.2,99.5,99.54,100.2,100.25,100.25,0,100.2,100.08,
GOPISV-12-07-2024,100.4,100.5,100.4,100.4,100.4,100.45,0,100.3,100.41,
GOPISF-12-07-2024,100,99.5,100.05,99,100,100,0,100,99.9,
GOPISV-07-08-2024,101,101.4,100.9,101.35,101.25,101.3,0,101,101.18,
GOPISF-07-08-2024,100,100,99.96,100,100,100,0,100,100,
GOPISV-20-09-2024,99.99,99.95,99.9,100,100,100,0,100,99.99,
GOPISF-20-09-2024,100,100.25,100.73,100,100,100,0,100,100.05,
GOPISV-09-10-2024,100.4,100.5,100.55,100.35,100.5,100.5,0,100.36,100.45,
GOPISF-09-10-2024,100.1,100.5,100.44,100.4,100.3,100.5,0,100.4,100.41,
GOPISV-30-04-2025,96.5,96.5,96.45,96.45,96.5,96.5,0,96.45,96.48,
GOPISV-29-05-2025,99.4,99.4,99.4,99.4,99.4,99.4,0,99.4,99.4,
GOPISV-24-06-2025,99.2,99.15,99.1,99.15,99.1,99,0,99.1,99.12,
GOPISV-29-07-2025,99.5,99.45,99.45,99.45,99.45,99.5,0,99.45,99.46,
GOPISF-29-07-2025,83,82.27,84.31,83,83.5,83.5,0,85.75,83.46,
GOPISV-09-12-2025,99.7,99.7,99.7,99.7,99.7,99.75,0,99.7,99.7,
GOPISV-05-01-2026,99,99,99,99,99,99,0,99,99,
GOPISF-20-01-2026,83,81.7,83.95,84.5,85,85,0,88,84.29,
GOPISF-17-04-2026,98.5,97.57,100.06,98,99,99.5,0,100,99,
GOPISF-26-06-2026,101,100.2,100.91,99.75,100,99.75,0,99.9,100.15,
GOPISV-12-07-2026,100,100,100,100,100,100,0,100,100,
GOPISV-06-10-2026,99.4,99.35,99.45,99.4,99.4,99.5,0,99.45,99.42,
GOPISF-06-10-2026,83,83,82.38,84,86,86,0,89,84.4,
GOPISV-29-10-2026,99.2,99.25,99.25,99.25,99.2,99.15,0,99.25,99.23,
GOPISF-15-12-2026,85,85,86.1,84,87,87.75,0,90.25,86.17,
GOPISV-27-04-2027,99.5,99.35,99.35,99.35,99.35,99.45,0,92.35,99.37,
GOPISF-27-04-2027,87,85.9,89.63,89,89,89,0,99.4,88.73,
GOPISV-26-10-2027,99.9,99.75,99.75,99.75,99.75,99.7,0,99.7,99.74,
GOPISF-16-11-2027,87.5,86.15,90.46,88,90,91,0,97,89.39,
GOPISV-26-06-2028,100,99.9,100,99.9,100,100,0,100,99.98,
GOPISF-20-09-2028,100,100.1,102.62,100,100,100,0,100,100.02,
