10:11,24-Nov-22,GOP,Ijarah,Sukuk,Revaluation,PK99999,PKISRV,,
,,,,,,,,,
GOP,IJARAH,SUKUK:-,<0#PKISRV=>,,,,,,
,AHL,BMA,CEL,CMKA,ICON,IONE,MCPL,VCPL,Avg Rate
================================================================================,,,,,,,,,
GOPIS-30-04-2025,97,96.9,97,96.9,96.8,96.8,96.85,96.85,96.88
GOPIS-29-05-2025,100.15,100.2,100.1,100.1,100.1,100.2,100.1,100.1,100.13
GOPIS-24-06-2025,99.75,99.75,99.7,99.75,99.8,99.9,99.7,99.7,99.74
GOPISV-29-07-2025,100.3,100.3,100.25,100.25,100.3,100.3,100.25,100.25,100.28
GOPISF-29-07-2025,89,89,88.5,88.5,89,88.5,89,89,88.83
GOPISV-09-12-2025,99.8,99.75,99.85,99.75,99.75,99.82,99.75,99.75,99.77
GOPISF-20-01-2026,93.7,93.7,93.7,91,93.65,93.7,93.7,93.7,93.69
GOPISV-06-10-2026,99.8,99.75,99.8,99.75,99.7,99.75,99.75,99.75,99.76
GOPISF-06-10-2026,93,93,94,90.15,91,93,93,92,92.5
GOPISV-29-10-2026,99.95,99.9,99.8,99.9,99.85,99.9,99.9,99.9,99.89
GOPISF-15-12-2026,96,96,96,96,96,96,96,96,96
GOPISF-27-04-2027,98.7,98.7,98.7,98.7,98.7,98.7,98.7,98.7,98.7
GOPISV-27-04-2027,100.1,100.1,100.1,100.1,99.85,100.1,100.1,100.1,100.1
GOPISV-26-10-2027,100.05,100.1,100.05,100.05,100,100.15,100.05,100.05,100.06
NOTE:-1)Updation of page depends upon data available from the source.,,,,,,,,,
"2) In case any revision in data from the source,Page & RICs will be re-updated with some delay.",,,,,,,,,
3) Page & RICs updated as the data received from the source.,,,,,,,,,
4) Refer Page <ALERTPKRFIX> for fixing related issue.,,,,,,,,,
5) Data on page we will modify as per the changes done by source.,,,,,,,,,
6) For contributors name in fullform please refer page <PKCSRV>.,,,,,,,,,
