10:10 25OCT23    GOP Ijarah Sukuk Revaluation          PK99999            PKISRV,,,,,,,,,,,
GOP IJARAH SUKUK:- <0#PKISRV=>         <PKNOTES>                Contd..<PKISRV1>,,,,,,,,,,,
,,,,,,,,,,,
                 ,  AHL, ALF, BCA,  BMA ,  C&M ,CEL ,  CMKA, MCPL  ,Avg Rate,,
,,,,,,,,,,,
GOPISV-20-02-2024,100.10,100.20,100.10,100.20,100.10,100.00,0.00,100.10,100.14,,
GOPISF-20-02-2024,98.00,98.00,98.51,98.00,98.00,98.00,0.00,98.00,98.00,,
GOPISV-08-03-2024,101.60,101.65,101.65,101.65,101.60,101.55,0.00,101.65,101.63,,
GOPISF-08-03-2024,100.20,100.25,99.44,100.20,100.20,100.25,0.00,100.25,100.23,,
GOPISV-17-04-2024,101.50,101.40,101.50,101.25,101.50,101.35,0.00,101.48,101.45,,
GOPISF-17-04-2024,100.10,100.25,99.72,100.00,100.10,100.10,0.00,100.10,100.08,,
GOPISV-22-05-2024,100.50,100.10,100.75,100.75,100.70,101.00,0.00,100.50,100.65,,
GOPISF-22-05-2024,100.00,100.00,99.67,100.00,100.00,100.00,0.00,100.00,100.00,,
GOPISV-26-06-2024,100.30,100.30,100.30,100.25,100.20,100.30,0.00,100.20,100.27,,
GOPISF-26-06-2024,100.20,99.50,99.54,100.20,100.20,100.25,0.00,100.30,100.09,,
GOPISV-12-07-2024,100.40,100.50,100.40,100.40,100.40,100.45,0.00,100.30,100.41,,
GOPISF-12-07-2024,100.00,99.50,100.05,99.00,100.00,100.00,0.00,100.00,99.90,,
GOPISV-07-08-2024,101.00,101.40,100.90,101.35,101.20,101.30,0.00,101.00,101.18,,
GOPISF-07-08-2024,100.00,100.00,99.96,100.00,100.00,100.00,0.00,100.00,100.00,,
GOPISV-20-09-2024,99.99,99.95,99.90,100.00,100.00,100.00,0.00,100.00,99.99,,
GOPISF-20-09-2024,100.00,100.25,100.73,100.00,100.00,100.00,0.00,100.00,100.05,,
GOPISV-09-10-2024,101.00,100.50,100.60,100.35,100.50,100.50,0.00,100.36,100.49,,
GOPISF-09-10-2024,100.10,100.50,100.44,100.40,100.30,100.50,0.00,100.40,100.41,,
GOPISV-30-04-2025,96.50,96.50,96.45,96.45,96.50,96.50,0.00,96.45,96.48,,
GOPISV-29-05-2025,99.40,99.40,99.40,99.40,99.40,99.40,0.00,99.40,99.40,,
GOPISV-24-06-2025,99.20,99.15,99.10,99.15,99.10,99.00,0.00,99.10,99.12,,
GOPISV-29-07-2025,99.50,99.45,99.45,99.45,99.45,99.50,0.00,99.45,99.46,,
GOPISF-29-07-2025,83.00,82.27,84.31,83.00,83.50,83.50,0.00,85.75,83.46,,
GOPISV-09-12-2025,99.70,99.70,99.70,99.70,99.70,99.75,0.00,99.70,99.70,,
GOPISV-05-01-2026,99.00,99.00,99.00,99.00,99.00,99.00,0.00,99.00,99.00,,
GOPISF-20-01-2026,83.00,81.70,83.95,84.50,85.00,85.00,0.00,88.00,84.29,,
GOPISF-17-04-2026,98.50,97.57,100.06,98.00,99.00,99.50,0.00,100.00,99.00,,
GOPISF-26-06-2026,101.00,100.20,100.91,99.75,101.00,99.75,0.00,101.00,100.57,,
GOPISV-12-07-2026,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,,
GOPISV-06-10-2026,99.40,99.35,99.45,99.40,99.40,99.50,0.00,99.45,99.42,,
GOPISF-06-10-2026,83.00,83.00,82.38,84.00,86.00,86.00,0.00,89.00,84.40,,
GOPISV-29-10-2026,99.20,99.25,99.25,99.25,99.20,99.15,0.00,99.25,99.23,,
GOPISF-15-12-2026,85.00,85.00,86.10,84.00,87.00,87.75,0.00,90.25,86.17,,
GOPISV-27-04-2027,99.50,99.35,99.35,99.35,99.35,99.45,0.00,99.40,99.38,,
GOPISF-27-04-2027,87.00,85.90,89.63,89.00,89.00,89.00,0.00,92.35,88.73,,
GOPISV-26-10-2027,99.90,99.75,99.75,99.75,99.75,99.70,0.00,99.70,99.74,,
GOPISF-16-11-2027,87.50,86.15,90.46,88.00,90.00,91.00,0.00,97.00,89.39,,
GOPISV-26-06-2028,100.00,99.90,100.00,99.90,100.00,100.00,0.00,100.00,99.98,,
GOPISF-20-09-2028,100.00,100.10,102.62,100.00,100.00,100.00,0.00,100.00,100.02,,
                 ,      ,      ,       ,       ,      ,       ,       ,      ,       ,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
