FMA Code,SBP Code,Price
GOPIS-20-30-04-2025,GIS (VRR) -18,100.33
GOPIS-21-29-05-2025,GIS (VRR) -19,100.95
GOPIS-22-24-06-2025,GIS (VRR) -20,101.07
GOPIS-23-29-07-2025,GIS (VRR) -21,102.27
GOPIS-24-29-07-2025,GIS (FRR) -04,97.68
GOPIS-25-09-12-2025,GIS (VRR) -22,101.00
GOPIS-26-20-01-2026,GIS (FRR) -07,95.18
GOPIS-27-06-10-2026,GIS (FRR) -08,95.00
GOPIS-28-06-10-2026,GIS (VRR) -23,102.02
GOPIS-29-29-10-2026,GIS (VRR) -24,102.32
GOPIS-30-15-12-2026,GIS (FRR) -11,98.90
GOPIS-31-27-04-2027,GIS (VRR) -25,102.76
GOPIS-32-27-04-2027,GIS (FRR) -12,99.81
GOPIS-33-26-10-2027,GIS (VRR) - 26,102.85
GOPIS-34-16-11-2027,GIS (FRR) - 14,99.52
GOPIS-35-05-01-2026,GIS (VRR) - 27,100.99
GOPIS-43-17-04-2026,GIS (FRR) - 21,107.26
GOPIS-48-26-06-2026,GIS (FRR) - 24,108.57
GOPIS-54-12-07-2026,GIS (VRR) - 36,102.68
GOPIS-55-26-06-2028,GIS (VRR) - 34,106.00
GOPIS-61-20-09-2028,GIS (FRR) - 31,110.00
GOPIS-64-04-12-2024,GIS (VRR) - 40,100.39
GOPIS-65-04-12-2026,GIS (VRR) - 41,102.56
GOPIS-66-04-12-2028,GIS (VRR) - 42,103.98
GOPIS-67-04-12-2026,GIS (FRR) - 33,106.51
GOPIS-68-04-12-2028,GIS (FRR) - 34,108.98
