10:04 26APR23    GOP Ijarah Sukuk Revaluation          PK99999            PKISRV,,,,,,,,,,
GOP IJARAH SUKUK:- <0#PKISRV=>         <PKNOTES>                Contd..<PKISRV1>,,,,,,,,,,
,,,,,,,,,,
                 ,  AHL, BMA, CEL,  CMKA,  ICON,IONE,  MCPL, VCPL  ,Avg Rate,
,,,,,,,,,,
GOPISV-20-02-2024,99.00,98.75,0.00,98.75,97.50,0.00,99.75,99.50,98.88,
GOPISF-20-02-2024,98.00,98.00,0.00,98.00,97.00,0.00,98.00,98.00,97.83,
GOPISV-08-03-2024,100.10,100.10,0.00,100.20,100.00,0.00,100.20,100.30,100.16,
GOPISF-08-03-2024,100.30,100.30,0.00,100.30,100.00,0.00,100.30,100.20,100.23,
GOPISV-17-04-2024,100.30,100.75,0.00,100.40,100.10,0.00,100.50,100.50,100.43,
GOPISF-17-04-2024,100.10,100.30,0.00,100.25,100.20,0.00,100.25,100.25,100.23,
GOPIS 30-04-2025 ,96.30,96.50,0.00,96.50,96.50,0.00,96.50,96.50,96.47,
GOPIS 29-05-2025 ,99.30,99.30,0.00,99.00,98.50,0.00,99.30,99.25,99.11,
GOPIS 24-06-2025 ,98.50,99.25,0.00,98.50,98.50,0.00,99.40,99.25,98.90,
GOPISV-29-07-2025,99.50,99.40,0.00,99.45,99.25,0.00,99.50,99.35,99.41,
GOPISF-29-07-2025,85.00,86.00,0.00,85.00,86.00,0.00,86.00,86.00,85.67,
GOPISV-09-12-2025,99.70,99.75,0.00,99.75,99.50,0.00,99.75,99.75,99.70,
GOPISV-05-01-2026,99.00,99.00,0.00,99.00,98.00,0.00,99.00,99.00,98.83,
GOPISF-20-01-2026,86.50,98.00,0.00,88.00,94.00,0.00,89.50,88.25,90.71,
GOPISF-17-04-2026,100.00,100.10,0.00,100.00,100.10,0.00,100.00,100.00,100.03,
GOPISV-06-10-2026,99.35,99.60,0.00,99.55,99.60,0.00,99.50,99.60,99.53,
GOPISF-06-10-2026,88.00,89.00,0.00,89.00,93.00,0.00,90.00,89.00,89.67,
GOPISV-29-10-2026,99.35,99.50,0.00,99.30,98.50,0.00,99.35,99.35,99.23,
GOPISF-15-12-2026,89.50,91.00,0.00,89.50,90.00,0.00,90.50,90.50,90.17,
GOPISF-27-04-2027,92.00,93.50,0.00,92.00,94.00,0.00,93.50,93.50,93.00,
GOPISV-29-07-2025,99.50,99.40,0.00,99.45,99.25,0.00,99.50,99.35,99.41,
GOPISV-29-10-2026,99.35,99.50,0.00,99.30,98.50,0.00,99.35,99.35,99.23,
GOPISV-27-04-2027,99.35,99.60,0.00,99.40,99.25,0.00,99.25,99.50,99.39,
GOPISV-26-10-2027,99.85,99.85,0.00,99.50,99.50,0.00,99.75,99.70,99.69,
GOPISF-16-11-2027,95.00,97.00,0.00,93.00,97.00,0.00,97.00,96.50,95.92,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
