10:02 28FEB23    GOP Ijarah Sukuk Revaluation          PK99999            PKISRV,,,,,,,,,,,
GOP IJARAH SUKUK:- <0#PKISRV=>                                                  ,,,,,,,,,,,
,,,,,,,,,,,
                 ,  AHL, BMA, CEL,  CMKA,  ICON,IONE,  MCPL, VCPL  ,Avg Rate,,
,,,,,,,,,,,
GOPIS 30-04-2025 ,96.5,96.5,96.5,96.5,96.5,96.4,96.5,96.5,96.5,,
GOPIS 29-05-2025 ,99.25,99.25,99.25,99,98.5,99.3,99.25,99,99.17,,
GOPIS 24-06-2025 ,98.25,99.45,99.4,99.2,98.5,99.4,98.5,99.2,99.03,,
GOPISV-29-07-2025,99.3,99.5,99.35,99.35,99.25,99.5,99.35,99.35,99.37,,
GOPISF-29-07-2025,85,87,86.5,86,86,87,86,86,86.25,,
GOPISV-09-12-2025,99.7,99.9,99.85,99.7,99.5,99.9,99.7,99.75,99.77,,
GOPISV-05-01-2026,99.5,98.25,98.25,99,97,99,97.5,98.25,98.38,,
GOPISF-20-01-2026,86.5,87,93,90,94,90,89.5,90,89.92,,
GOPISV-06-10-2026,99.3,99.4,99.5,99.25,99,98.9,98.75,99.2,99.18,,
GOPISF-06-10-2026,88,89,92,90,93,90,86,90,89.83,,
GOPISV-29-10-2026,98.5,99.5,99.25,98.5,98.5,99.2,98.5,98.95,98.82,,
GOPISF-15-12-2026,89.5,92,91,91,90,92,90,91,90.83,,
GOPISF-27-04-2027,92,95,95,94,94,95,92,94,94,,
GOPISV-27-04-2027,98.6,98.5,98.5,98.5,98.5,98.5,98.7,98.5,98.52,,
GOPISV-26-10-2027,98.9,98.6,98.15,98.6,98.35,98.7,98.7,98.5,98.58,,
GOPISF-16-11-2027,95,97,97.75,97,98,97,97,96,96.96,,
                 ,      ,      ,       ,       ,      ,       ,       ,    <P,KNOTES>,,
                 ,      ,      ,       ,       ,      ,       ,       ,      ,       ,,#VALUE!
