,,,,,,,,,
User,AHL,BMA,CEL,CMKA,ICON,IONE,MCPL,VCPL,Fma
GOPIS-20-30-04-2025,96.75,96.75,97.00,96.40,96.40,96.80,96.85,96.65,96.70
GOPIS-21-29-05-2025,100.00,100.00,100.10,99.65,99.75,100.00,100.10,99.90,99.96
GOPIS-22-24-06-2025,99.60,99.60,99.70,99.55,99.40,100.00,99.70,99.50,99.61
GOPIS-VRR-29-07-2025,100.15,100.00,100.00,99.30,99.80,100.00,100.25,100.00,99.99
GOPIS-FRR-29-07-2025,88.70,88.00,88.50,89.00,88.00,89.00,89.00,88.00,88.53
GOPIS-VRR-09-12-2025,100.00,99.60,100.25,100.75,100.00,100.25,99.75,100.00,100.04
GOPIS-FRR-20-01-2026,93.50,93.00,93.70,90.75,93.00,92.50,93.70,93.25,93.16
GOPIS-VRR-06-10-2026,99.60,99.75,99.80,99.45,99.45,99.60,99.75,99.50,99.61
GOPIS-FRR-06-10-2026,92.30,92.00,93.00,90.00,90.50,92.75,93.00,91.00,91.93
GOPIS-VRR-29-10-2026,99.75,99.75,99.80,99.55,99.50,99.85,99.90,99.75,99.74
GOPIS-FRR-15-12-2026,95.80,96.00,96.00,94.50,95.50,96.00,96.00,95.50,95.80
GOPIS-FRR-27-04-2027,98.50,98.50,98.70,98.30,98.40,98.50,98.70,98.50,98.52
GOPIS-VRR-27-04-2027,100.00,99.90,100.10,99.60,99.60,99.90,100.10,99.95,99.91
GOPIS-VRR-26-10-2027,100.00,99.95,100.05,99.60,99.70,99.90,100.05,99.90,99.92
